0020_Raising_Arizona_01.13.19.309-01.13.19.927 	the abandoned trailer is perfectly quiet.
0021_Rear_Window_01.37.28.295-01.37.29.496 	stella has abandoned the shovel and left the flowers and dirt strewn over the walk.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_02.30.01.885-02.30.10.246 	sam sits up with a start.aragorn's head snaps round.his eyes fly to boromir's shield which lies abandoned by his camp bed.
0033_Amadeus_01.17.29.138-01.17.34.619 	also there are many empty wine bottles; musical instruments - among them a mandolin, a viola, a forte-piano with the black and white keys reversed - books and abandoned plates of food.
0051_Men_in_black_01.16.51.679-01.16.52.223 	behind him, abandoned on the front seat of the cab, we finally see the front of the postcard he's been carrying around.
1001_Flight_01.44.59.382-01.45.05.001 	he abandons it.
1005_Signs_00.57.49.730-00.57.56.660 	the kids gathered by french windows and point to the backyard, where tables laden with party food lie abandoned.
1031_Quantum_of_Solace_00.29.26.346-00.29.31.559 	rides over some crates, jumps onto another boat then abandons the machine.
1046_Australia_00.31.56.911-00.32.03.533 	his drovers abandon the cattle and ride off with him.
1056_Rambo_00.24.27.596-00.24.29.935 	a single corpse lies on the deck near the abandoned machine gun.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.40.35.000-00.40.37.000 	characters abandon the portraits and scuttle away.
1062_Day_the_Earth_stood_still_01.13.18.846-01.13.24.000 	they abandon the car and run off into the dense surrounding woodland.
2004_Juno_00.01.28.403-00.01.28.582 	we see a teacup poodle tethered in the yard a few feet away from the abandoned living room set.
