0001_American_Beauty_01.11.01.450-01.11.01.531 	ricky's lip is bleeding, but he maintains a steady gaze at his father during this violence.
0010_Frau_Ohne_Gewissen_01.44.39.185-01.44.39.546 	his shoulder is bleeding.
0011_Gandhi_00.15.36.065-00.15.38.407 	gandhi, his head bleeding badly now, rises to his knees -- a breath and he gropes around the ground for another card.
0014_Ist_das_Leben_nicht_schoen_01.37.13.633-01.37.15.645 	george's mouth is cut and bleeding.
0017_Pianist_01.07.29.674-01.07.32.087 	an ss lieutenant has entered the stores, sucking his finger, which is bleeding.
0023_THE_BUTTERFLY_EFFECT_00.32.24.355-00.32.26.370 	evan is sent sprawling backwards, his forehead bleeding freely.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.42.33.605-02.42.37.627 	frodo materializes as he drops to his knees, clutching his bleeding hand.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.44.42.470-02.44.44.874 	he can't reach with his bleeding hand, and falls back, still clinging valiantly to the rock with his good hand.
0032_The_Princess_Bride_01.26.55.045-01.26.57.933 	the great sword flashes again, and now there is a parallel slash bleeding on rugen's other cheek.
0033_Amadeus_00.02.17.384-00.02.22.339 	barely, we glimpse the room - an old chair, old tables piled with books, a forte- piano, a chamber-pot on the floor - as the valet and the cook struggle to lift their old master, and bind his bleeding throat with a napkin.
1037_The_Curious_Case_Of_Benjamin_Button_02.16.15.489-02.16.16.232 	she's bleeding.
1062_Day_the_Earth_stood_still_01.32.58.360-01.33.01.049 	jacob's nose is bleeding.
2034_Super_8_01.04.12.969-01.04.15.679 	louis is bleeding.
