0005_Chinatown_00.05.20.073-00.05.20.719 	duffy stops chewing.
0017_Pianist_00.48.56.981-00.49.04.963 	they all exchange a look, an acknowledgement of each other, almost like a toast, and then they chew, slowly, deliberately.
0019_Pulp_Fiction_00.43.25.805-00.43.28.876 	as he chews, his eyes scan the hellsapopinish restaurant.
1023_Horrible_Bosses_00.44.46.761-00.44.50.525 	chewing on snacks, they all share a look.
1030_Public_Enemies_00.53.24.584-00.53.26.478 	dillinger chews his gum.
1030_Public_Enemies_01.37.42.895-01.37.43.962 	billie hops in next to dillinger, who chews gum and smiles.
1040_The_Ugly_Truth_00.57.32.956-00.57.37.986 	she chews, winces, spits the caviar out, and grimaces.
1047_Defiance_00.30.55.079-00.30.58.638 	aron, chewing on a piece of bread, hands it to rachel, the teenage girl,
1048_Gran_Torino_00.34.19.071-00.34.26.142 	chewing on a plug of tobacco, he squares up to the three black guys.
1053_Harry_Potter_and_the_philosophers_stone_02.17.17.545-02.17.24.545 	he chews thoughtfully.
1055_Marley_and_me_01.09.00.000-01.09.02.685 	marley's chewing a toy on the sofa.
1062_Day_the_Earth_stood_still_01.21.49.308-01.21.54.033 	a road sign disintegrates, chewed to nothing.
