0011_Gandhi_00.12.52.533-00.12.53.341 	the flames engulf it.
0016_O_Brother_Where_Art_Thou_01.37.58.621-01.38.03.744 	it engulfs everything and everybody.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.44.02.956-02.44.19.348 	instantly engulfed in the churning lava!
0027_The_Big_Lebowski_00.30.44.818-00.30.45.503 	the largest--thumb--hole rolls directly over us, engulfing us once again in black.
0051_Men_in_black_01.22.38.339-01.22.38.850 	and a huge, slimy wad of goo shoots from him and engulfs both shotguns.
1002_Harry_Potter_and_the_Half-Blood_Prince_00.24.26.761-00.24.33.637 	suddenly darkness engulfs the carriage.
1009_Spider-Man3_02.03.26.708-02.03.33.461 	venom's tendrils engulf brock's face.
1014_2012_01.17.25.262-01.17.27.307 	the cloud engulfs the control tower.
1037_The_Curious_Case_Of_Benjamin_Button_02.03.13.510-02.03.16.299 	benjamin playfully engulfs her in a stripy towel.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_01.02.50.966-01.02.57.418 	the reward posters for harry undesirable number one swirl around the atrium almost engulfing yaxley.
2017_Bad_Santa_00.59.26.126-00.59.30.823 	cheering, the six bullies engulf the kid.
