0004_Charade_01.40.39.035-01.40.43.542 	The GENDARME opens the door for ADAM and escorts him out.
0009_Forrest_Gump_00.19.19.865-00.19.26.408 	A police officer escorts Jenny to her grandmother's trailer.
0016_O_Brother_Where_Art_Thou_01.06.37.828-01.06.38.343 	The first guard and two others who escorted in the convicts scan the theater.
0016_O_Brother_Where_Art_Thou_01.33.06.994-01.33.15.171 	A crowd carrying torches jogs behind a man in clanking leg irons and wrist manacles who is being escorted by four policemen trotting alongside, their nightsticks held across their chests in riot-ready formation.
0017_Pianist_01.09.35.225-01.09.38.893 	The Jewish workers, with their bundles of potatoes and bread, march back towards the ghetto gates escorted by the two Polish policemen.
0017_Pianist_01.14.31.373-01.14.43.421 	The moment it stops the shutters of the store are raised and Bogucki escorts Szpilman to the door, then quickly returns to the rickshaw, which moves off fast.
0017_Pianist_01.26.13.721-01.26.23.348 	In the street below, he sees SS men escorting two prisoners and shoving into a car.
0020_Raising_Arizona_00.00.59.851-00.01.01.367 	As Hi is escorted away from the camera toward his cell.
0020_Raising_Arizona_00.02.56.865-00.02.57.644 	As Hi is once again escorted toward his cell.
0020_Raising_Arizona_00.04.48.262-00.04.50.771 	Hi is being escorted past him to his cell.
0023_THE_BUTTERFLY_EFFECT_00.33.58.530-00.34.00.653 	Mrs. Kagan, grayer, fatter, opens the door and escorts Evan inside.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.26.43.784-00.26.47.546 	ARWEN -- escorted by a SMALL ENTOURAGE of ELVES -- rides through the gathering darkness of a PINE FOREST.
1057_Seven_pounds_00.41.40.790-00.41.54.028 	she escorts them out to their room, then returns.
1057_Seven_pounds_01.04.44.974-01.04.49.093 	ben escorts emily, as a nurse pushes her out of the hospital in a wheelchair.
1057_Seven_pounds_01.18.55.635-01.19.06.709 	ben leaves the workshop with duke, who escorts him down the side of the house to the gate.
1058_The_Damned_united_01.14.58.481-01.15.01.000 	the leeds fans cheer as brian escorts his team down the tunnel.
2017_Bad_Santa_00.30.12.677-00.30.28.681 	willie escorts the kid along a long walkway that leads to the front door of a large, opulent, new-money southwestern home.
2034_Super_8_00.47.16.025-00.47.23.298 	he heads for his office, seeing louis, who is being escorted out by an officer across the room.
