0001_American_Beauty_00.47.13.274-00.47.18.565 	He LAUGHS, and extends his hand to the Colonel.
0002_As_Good_As_It_Gets_00.10.28.109-00.10.30.093 	At times he places his palms together and extends his arms cutting a path through people.
0003_CASABLANCA_00.15.14.255-00.15.16.477 	Yvonne turns, looks at Sacha, and extends her glass to him.
0003_CASABLANCA_01.38.34.630-01.38.35.365 	Laszlo extends his hand to Rick, who grasps it firmly.
0004_Charade_00.55.36.236-00.55.37.196 	Working his arms between their two bodies, DYLE suddenly flails them out with all his strength and the hold is broken, but at the price of his coat and the flesh on his back as SCOBIE's metal claw rips through both, a wound extending from the center of DYLE's back to his shoulder.
0005_Chinatown_00.40.17.014-00.40.18.274 	The chain-link itself actually extends over the flood channel and down into it, making access along the channel itself impossible.
0007_DIE_NACHT_DES_JAEGERS_00.11.54.310-00.11.55.572 	As he leans and we TILT DOWN, he extends his large hands.
0011_Gandhi_00.42.07.949-00.42.08.972 	Another far less elaborate gangplank extends from the aft section of the ship.
0020_Raising_Arizona_01.21.54.502-01.21.55.364 	He wearily lifts a hand, defensively extending it in front of him - then stops, staring at.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.03.09.273-01.03.16.797 	THE WITCH KING extends a haggard hand towards Frodo, reaching for the ring on his finger.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.03.16.797-01.03.19.039 	Frodo's trembling hand extends forward as if by the pull of the ring.he slides to the ground, unable to pull his hand away.
0026_The_Big_Fish_00.11.28.693-00.11.34.003 	Yet Edward extends his hand, reaching closer and closer before he finally.
0027_The_Big_Lebowski_00.15.27.263-00.15.28.309 	She leans back and extends her leg toward the Dude.
0027_The_Big_Lebowski_01.11.10.487-01.11.12.749 	Throughout Walter has been staring at Larry with the homework extended towards him.
0030_The_Hustler_00.16.29.326-00.16.30.259 	Fats carefully extends his palms so that Henry may sprinkle on some talcum powder.
0030_The_Hustler_01.51.43.527-01.51.46.480 	It is a figure of Pan, with horns sticking up through his curly head, and the legs of a goat extending down below his waist.
0033_Amadeus_01.55.31.746-01.55.36.487 	On stage we see the huge figure of the Commendatore in robes and helmet, extending his arms and pointing in accusation.
0033_Amadeus_02.48.02.363-02.48.11.998 	She extends her hand for the Requiem, as she stands up.
0050_Indiana_Jones_and_the_last_crusade_00.26.06.302-00.26.08.581 	The Woman, DR. ELSA SCHNEIDER, extends her hand to Brody.
0050_Indiana_Jones_and_the_last_crusade_00.26.43.877-00.26.52.707 	Indy extends the scrap of paper to Brody.
0051_Men_in_black_00.46.20.893-00.46.25.852 	Kay pulls a black card from his wallet and extends it to her as she draws close.
0051_Men_in_black_01.22.23.630-01.22.34.167 	He extends both pincers to the sides, and, my God, his reach must be twelve feet across.
1058_The_Damned_united_01.09.14.000-01.09.16.672 	the brighton chairman extends his hand to shake.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.43.06.912-00.43.22.444 	a demetor flies past and is repelled by the ever-increasing mass as it extends to cover the school and the grounds, forming a protective shield
2004_Juno_00.28.35.195-00.28.36.173 	he glances sheepishly at vanessa upon hearing the penny saver mention, then extends his hand to mac and juno.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.02.23.145-00.02.25.821 	dudley blinks, waddles forward, and extends his plump palm obediently.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.22.55.732-00.22.56.627 	ron -- pale, nervous -- extends his hand.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.48.56.961-00.48.59.528 	filch extends a crooked finger.
2054_Harry_Potter_and_the_prisoner_of_azkaban_02.01.21.435-02.01.22.204 	harry stands utterly still, wand extended to the heavens.
