0007_DIE_NACHT_DES_JAEGERS_01.27.09.907-01.27.11.131 	she is flanked by rabid faces and by smiling loafers, one of whom carries an axe.
0011_Gandhi_00.02.50.465-00.02.52.121 	godse hesitates before approaching the two gardeners who nonchalantly flank the entrance.
0012_Get_Shorty_01.10.23.054-01.10.30.054 	two big guys in sunglasses flanking one smaller, older guy.
0020_Raising_Arizona_01.19.47.780-01.19.49.014 	he jerks the bike right, to where an alleyway flanks the side of the bank.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.50.14.900-00.50.18.515 	theoden striding purposefully outside, flanked by eomer and his soldiers.
0027_The_Big_Lebowski_01.20.46.395-01.20.48.933 	the title logo is a suggestively upright bowling pin flanked by a pair of bowling balls.
0032_The_Princess_Bride_01.18.48.010-01.18.49.087 	four guards are in position flanking the chapel door.
0033_Amadeus_01.32.00.263-01.32.02.323 	listening to him is a sizable audience, including the emperor, flanked by strack and von swieten.
0050_Indiana_Jones_and_the_last_crusade_01.08.39.542-01.08.45.508 	where high-ranking officers of the third reich stand flanking adolf hitler as they oversee the rally.
0050_Indiana_Jones_and_the_last_crusade_01.21.34.497-01.21.36.697 	the sultan is seated in his royal chair, flanked by walter donovan and vogel and surrounded by his minions.
0050_Indiana_Jones_and_the_last_crusade_01.43.57.799-01.44.08.077 	he walks to the entranceway, flanked by two stone lions.
1002_Harry_Potter_and_the_Half-Blood_Prince_01.01.56.444-01.02.03.184 	his green cape flapping behind him, he joins his teammates, who flank him as they charge for goal.
1004_Juno_00.27.45.780-00.27.54.319 	as the woman carefully adjust the buttons on her pristine white cuffs, mac and juno wearing everyday casual clothes stroll up to the double-fronted door flanked by two slim furs.
1009_Spider-Man3_00.46.40.241-00.46.46.944 	at the key of the city ceremony, gwen stacy is at the lectern flanked by city dignitaries.
1011_The_Help_02.18.06.689-02.18.34.200 	she smiles to herself, and as she walks on down the long, narrow road dappled with sunlight, flanked by tall trees and neat green verges, she has a spring in her step.
1014_2012_02.26.34.865-02.26.36.865 	it's flanked by an ark on either side.
1030_Public_Enemies_00.44.19.832-00.44.24.954 	an older, smartly dressed man with wizened features disembarks flanked by two associates.
1030_Public_Enemies_02.03.48.718-02.03.58.632 	gable makes his way down the cellblock, flanked by guards.
1039_The_Queen_01.12.40.489-01.12.46.713 	range rovers slowly emerge, flanked by four bodyguards.
1058_The_Damned_united_00.02.07.000-00.02.17.611 	burly, middle-aged don revie makes his way from the boardroom to a press conference, flanked by members of the leeds board.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.25.17.576-00.25.21.878 	at the slytherin table, draco malfoy, flanked by the ever- present crabbe and goyle, catches harry's eye, feigns a dead faint.
