0008_Fargo_00.28.31.284-00.28.36.854 	he forces a laugh.
0011_Gandhi_00.23.22.756-00.23.24.940 	a grin -- but forced.
0023_THE_BUTTERFLY_EFFECT_01.20.08.319-01.20.12.803 	evan locates an entry and concentrates on the words just as the other supremacists force the door open -- evan focuses on the words.
0032_The_Princess_Bride_00.19.03.286-00.19.06.873 	inigo, straining, forcing his body away from the cliff edge.
0050_Indiana_Jones_and_the_last_crusade_01.41.32.548-01.41.34.619 	two nazi soldiers force another turk forward.
1001_Flight_01.10.07.570-01.10.09.384 	whip forces a smile.
1002_Harry_Potter_and_the_Half-Blood_Prince_02.04.11.287-02.04.33.157 	harry returns again and again, forcing the liquid into dumbledore's mouth.
1006_Slumdog_Millionaire_00.02.25.587-00.02.36.512 	the policeman forces jamal's head into a bucket of water.
1011_The_Help_00.55.26.806-00.55.28.200 	she forces a smile at elizabeth's enthusiasm.
1019_Confessions_Of_A_Shopaholic_00.08.16.325-00.08.17.988 	rebecca forces a smile.
1020_Crazy_Stupid_Love_00.58.08.148-00.58.15.475 	kate forces a grin.
1028_No_Reservations_00.25.18.659-00.25.19.956 	she forces it open a crack.
1029_Pride_And_Prejudice_Disk_One_01.29.09.001-01.29.16.108 	the dance forces them away from each other.
1029_Pride_And_Prejudice_Disk_One_01.32.22.056-01.32.24.188 	once again, the dance forces them apart.
1034_Super_8_01.24.02.418-01.24.04.090 	nelec fires at the alien with the assault rifle as it forces its way into the bus.
1035_The_Adjustment_Bureau_01.12.39.491-01.12.42.506 	he forces a faint smile.
1040_The_Ugly_Truth_00.27.07.985-00.27.12.382 	abby roughly forces an earpiece into mike's ear.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_00.17.12.338-00.17.17.188 	harry grabs the handlebars, forcing the motorbike up into the air.
1051_Harry_Potter_and_the_goblet_of_fire_00.43.17.482-00.43.22.147 	the image of a face forces itself through the glowing embers.
1052_Harry_Potter_and_the_order_of_phoenix_00.03.42.822-00.03.49.677 	a dementor hovers in front of harry, forcing him against the wall with his bony fingers around his throat, attempting to suck out his life.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.10.48.585-01.11.00.953 	with determination and willpower, he gradually forces it to retreat inside the open trunk.
1060_Yes_man_00.30.44.685-00.30.48.448 	carl forces a grin.
1062_Day_the_Earth_stood_still_01.22.40.592-01.22.44.330 	they force open the door.
2026_Legion_00.58.12.318-00.58.14.766 	kyle and jeep grab her, forcing her to the ground.
2051_Harry_Potter_and_the_goblet_of_fire_00.58.24.200-00.58.35.641 	harry's forced to retreat behind a rock as the dragon flames him.
