0011_Gandhi_00.34.04.952-00.34.10.885 	the horses cannot bring themselves to gallop over the human carpet; they rear, plunge, swerve.
0011_Gandhi_00.34.34.680-00.34.39.561 	he turns his horse angrily and gallops back toward the factories.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.27.21.528-00.27.23.850 	a lone horseman gallops to the crest of a hill on the west road.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.29.21.718-00.29.24.708 	the black rider gallops away at speed.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.38.31.098-00.38.36.870 	gandalf is galloping along the outskirts of the ancient forest of fangorn.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.49.12.520-00.49.16.641 	the ringwraiths wheel their horses towards the north and gallop away along the river bank, quickly disappearing into the fog.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.10.06.400-01.10.11.408 	aerial: of arwen's white horse emerging from the trees.and galloping across the open land as the sun rises.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.10.26.390-01.10.34.110 	suddenly 2 galloping ringwraiths emerge from the trees behind!
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.10.42.482-01.10.49.137 	the white horse speeds out of the pine trees.the 4 ringwraiths close behind pan onto: 2 more ringwraiths galloping down the hillside!
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.12.10.080-00.12.14.569 	back shot - a group of riders gallop towards the rohan city of edoras.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.28.39.889-00.28.46.045 	arwen's horse gallops over the bridge and through the gates into rivendell.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.32.00.251-00.32.02.042 	shadowfax gallops up onto a low ridge.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.11.10.485-01.11.16.891 	aragorn, theoden, eomer, merry, legolas and gimli gallop into a vast camp beneath the cover of trees.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.30.54.578-02.31.02.406 	aragorn, gandalf, legolas, gimli, eomer, merry and pippin gallop back towards their small army as the orc masses slowly march toward them.
0032_The_Princess_Bride_00.29.27.388-00.29.27.960 	and he gallops off.
0033_Amadeus_00.03.54.260-00.03.55.212 	the wagon is galloping through the snowy streets of the city.
0050_Indiana_Jones_and_the_last_crusade_00.05.20.675-00.05.24.137 	fedora and his men arrive at the roof's edge in time to see indy climb into the saddle and gallop off.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.14.28.462-01.14.31.129 	the gypsies gallop on through the woods.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.15.02.462-01.15.06.129 	they gallop after him, catching him up.
1044_Pride_And_Prejudice_Disk_Two_00.45.01.220-00.45.03.720 	then suddenly, he sets the horse in motion again and gallops onwards.
1044_Pride_And_Prejudice_Disk_Two_01.05.02.612-01.05.11.049 	now, he's galloping through the grounds on his white horse, dressed immaculately in bottle-green frock coat, cream breeches, riding boots, and a top hat.
1044_Pride_And_Prejudice_Disk_Two_01.38.57.296-01.39.01.015 	a young man is galloping along on horseback in the bright sunshine.
1046_Australia_00.18.05.814-00.18.09.628 	the boy gallops on the horse, through the sparse trees.
1046_Australia_00.35.36.541-00.35.46.000 	sarah looks out of the door in amazement and stares straight into the eyes of the drover, galloping alongside the herd.
1046_Australia_00.41.18.144-00.41.20.977 	she gallops after the lone steer.
1046_Australia_01.05.37.000-01.05.41.464 	drover gallops to flynn, lying twisted and bloody in the dust.
1046_Australia_01.20.47.349-01.20.50.782 	they turn their horses and gallop off.
1046_Australia_01.47.46.000-01.47.49.080 	he stops his horse, checks his herd, then gallops off.
1052_Harry_Potter_and_the_order_of_phoenix_01.28.32.838-01.28.38.550 	a herd of creatures, half-man, half-horse, gallops past.
1054_Harry_Potter_and_the_prisoner_of_azkaban_02.08.41.948-02.08.47.565 	the ghostly horsemen gallop through the great hall.
