0005_Chinatown_00.15.22.877-00.15.26.179 	turns again and they row past mulwray and the girl, gittes again clicking off several fast shots.
0005_Chinatown_00.15.45.902-00.16.00.155 	move along the red tiled roof and down to a lower level of the roof where gittes' feet are hooked over the apex of the roof and gittes himself is stretched face downward on the tiles, pointing himself and his camera to a veranda below him where the girl and mulwray are eating.
0005_Chinatown_00.19.13.152-00.19.13.565 	she's so stunning that gittes nearly gasps.
0005_Chinatown_00.40.05.955-00.40.07.253 	it is dark now and gittes follows the channel with the car spotlight.
0005_Chinatown_00.43.00.400-00.43.03.281 	the sound of footsteps retreating, gittes gasping.
0005_Chinatown_00.47.34.191-00.47.35.178 	this subdues gittes a little.
0005_Chinatown_00.56.52.881-00.57.01.333 	sophie tries to tell him something but gittes goes on into his office.
0005_Chinatown_01.19.33.802-01.19.40.958 	with his jacket covering his face, gittes hammers away at mulvihlll, beating him against the glass door, along the wall, mercilessly pounding his fists into the cloth until the cloth turns red and mulvihill begins to sink to the red tile floor.
0005_Chinatown_01.39.30.645-01.39.33.471 	clearing the kitchen counter, gittes sees ida sessions lying on her back on the floor, surrounded by the groceries from a broken bag.
0005_Chinatown_01.43.48.279-01.43.51.967 	view widens to include escobar, gittes, and two plain clothesmen, standing and staring at the empty pipe as if they expect it to talk.
0005_Chinatown_01.58.26.980-01.58.29.175 	at the edge of the alley gittes looks back.
