0004_Charade_00.50.02.466-00.50.04.741 	dyle has hopped on the back of the bus as it pulls away.
0006_Clerks_00.08.11.712-00.08.12.687 	he then hops up quickly.
0006_Clerks_00.33.30.626-00.33.31.658 	he hops over the counter and whips the door open.
0006_Clerks_01.17.13.296-01.17.14.396 	randal hops off the freezer case and steps o.c.
0016_O_Brother_Where_Art_Thou_00.34.42.851-00.34.44.873 	the car screeches to a halt and george hops out, and the three convicts emerge to follow him.
0016_O_Brother_Where_Art_Thou_00.47.45.466-00.47.48.352 	the toad hops down the river bank.
0016_O_Brother_Where_Art_Thou_01.21.08.449-01.21.11.289 	stokes's pace is brisk and the midget hops awkwardly to keep up.
0017_Pianist_01.02.31.771-01.02.36.879 	the ss captain, with much jollity and jokes, hops up on to scaffolding and stands, beaming broadly, surveying the workers.
0019_Pulp_Fiction_01.10.41.374-01.10.50.107 	butch, soaking wet, naked except for trunks, shoes and gloves, hops in the backseat, slamming the door.
0021_Rear_Window_00.10.49.425-00.10.55.222 	he hops one step, then she lowers him, face down, on the divan.
0022_Reservoir_Dogs_01.14.40.414-01.14.44.271 	the camera follows freddy as he hops around the apartment getting everything he needs.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.19.49.685-00.19.53.354 	suddenly he hops out of bed and creeps towards the sleeping form of gandalf.
0026_The_Big_Fish_01.13.32.859-01.13.36.542 	sandra checks the mail, hoping for a letter from edward.
0031_The_Lost_Weekend_00.18.44.755-00.18.50.774 	helen turns away from wick, leans against the wall, hoping he won't see that she's crying.
0032_The_Princess_Bride_00.08.11.909-00.08.14.094 	vizzini hops onto the boat.
0041_The_Sixth_Sense_01.28.03.931-01.28.08.884 	tommy tammisimo is dressed in a mismatched costume -- he hops around, clearly embarrassed.
1003_How_to_Lose_Friends_and_Alienate_People_01.33.02.417-01.33.04.388 	he hops back down from the railing.
1003_How_to_Lose_Friends_and_Alienate_People_01.33.50.647-01.33.58.823 	reluctantly, he wrinkles his nose and snorts like a pig, hopping from one foot to another, his limp wrists held up to his chest.
1010_TITANIC_01.16.11.992-01.16.17.938 	outside, jack climbs a railing, then hops onto a deck where a boy wearing a cap winds a string around a top.
1024_Identity_Thief_01.33.15.409-01.33.18.076 	an officer hops out with his pistol drawn.
1030_Public_Enemies_00.13.50.578-00.13.56.371 	pete hops up on the counter, aiming his machine gun.
1030_Public_Enemies_01.27.29.369-01.27.36.769 	dillinger and red escape onto a rooftop and hop down to a dark yard at the other side of the launch.
1041_This_is_40_00.43.30.206-00.43.34.779 	debbie tosses her hat on the floor and hops onto a bed.
1041_This_is_40_01.25.11.106-01.25.14.659 	sadie hops out of bed and storms off down the hall.
1045_An_education_00.07.21.814-00.07.27.393 	she hops into the passenger seat.
1055_Marley_and_me_00.19.10.000-00.19.17.528 	up scatters the birds, hops down the beach full of sun bathers, and runs along the shoreline with john in pursuit.
1056_Rambo_00.56.49.462-00.56.53.619 	diaz hops over a timber fence and runs up the ladders to the volunteers cage.
1059_The_devil_wears_prada_01.29.03.546-01.29.09.536 	pulled on her clothes and is hopping around about trying to put her shoes on.
1060_Yes_man_00.32.16.859-00.32.19.805 	he moves quickly, hopping about its spinning around.
1060_Yes_man_01.32.13.785-01.32.20.637 	carl weaves precariously through traffic and hops onto a pavement.
2004_Juno_01.15.26.433-01.15.35.692 	she hops off the hood and scurries into the previa where she finds a crumpled up jiffy lube receipt.
2027_Les_Miserables_01.08.16.427-01.08.33.024 	still running with gavroche as he hops onto the back of another very grand carriage, the traffic now moving at last, hitching a ride on the back - one or two of his gang hop on back of carriage with him, the others run panting after to hear his political lecture.
