0014_Ist_das_Leben_nicht_schoen_01.25.36.848-01.25.40.668 	During this scene, George has been sitting in the chair, hugging Tommy to him, and crying quietly.
0014_Ist_das_Leben_nicht_schoen_02.04.15.644-02.04.18.454 	He is hugging them.
0019_Pulp_Fiction_00.26.04.649-00.26.07.771 	Vincent hugging and kissing the obscured figure that is Marsellus.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.51.44.266-02.52.12.384 	Laughter as MERRY and PIPPIN run in jumping on the bed and hugging FRODO.
0027_The_Big_Lebowski_00.03.54.763-00.03.55.228 	The paper bag hugged to his chest explodes milk as it hits the toilet rim and the satchel pulverizes tile as it crashes to the floor.
0049_Hannah_and_her_sisters_00.56.02.622-00.56.07.613 	Lee, fraught with emotion, briefly puts her outstretched hands on the refrigerator door, then turns around and leans against it, hugging herself, her blouse still unbuttoned, her hair still wet and bedraggled.
0049_Hannah_and_her_sisters_01.29.05.147-01.29.22.472 	Piano music is still heard very softly in the background as Hannah, hugging herself, walks slowly down the hallway into the living room.
1014_2012_02.22.41.778-02.22.46.315 	anheuser looks around at the people on the bridge cheering and hugging one another.
1015_27_Dresses_01.41.26.542-01.41.35.459 	the wedding party is led in by casey and tess in figure- hugging cream dresses, carrying bouquets of yellow and white flowers.
1026_Legion_00.27.29.535-00.27.34.541 	audrey sits on a bench seat, hugging her knees and shivering.
1042_Up_In_The_Air_00.19.16.027-00.19.22.051 	ryan takes out a large photo of a hugging couple stuck on a board.
2034_Super_8_01.40.21.118-01.41.22.215 	formed -- but here, as he is being hugged by his father, joe looks down: something in his pocket is moving -- he considers it, confused for a moment -- but he reaches in and pulls it out.
