0007_DIE_NACHT_DES_JAEGERS_00.24.35.956-00.24.37.751 	she is now running fast towards icey, who walks towards her with arms outstretched.
0013_Halloween_01.20.26.588-01.20.31.126 	then suddenly he freezes, hands outstretched, motionless, and falls into a heap on the floor.
0014_Ist_das_Leben_nicht_schoen_00.11.47.851-00.11.50.310 	suddenly, in action, as george stands with his arms outstretched in illustration, the picture freezes and becomes a still.
0019_Pulp_Fiction_01.52.06.758-01.52.13.003 	he throws himself against the back wall, gun outstretched in front of him, a look of yellow fear on his face, ready to blow in half anybody fool enough to stick their head through that door.
0022_Reservoir_Dogs_00.32.25.556-00.32.29.798 	the two men are with their guns outstretched, aiming at one another.
0033_Amadeus_00.45.33.956-00.45.44.433 	she moves toward mozart with arms outstretched in an absurd theatrical gesture, then sees the emperor.
1002_Harry_Potter_and_the_Half-Blood_Prince_00.52.10.496-00.52.19.519 	she shoots up into the air and hovers with arms outstretched, her mouth open in a muted scream.
1015_27_Dresses_00.08.10.212-00.08.17.929 	jane smiles in delight, arms outstretched, as the bridal bouquet is thrown and sails straight towards her.
1026_Legion_01.23.32.083-01.23.36.993 	michael lies with his arms outstretched, eyes wide open, twitching slightly, a bloody wound in his chest.
1029_Pride_And_Prejudice_Disk_One_01.26.20.536-01.26.25.569 	as they cross each other, briefly holding each other's outstretched hands, darcy seems to take more of an interest in them.
1043_Vantage_Point_00.59.02.484-00.59.08.333 	he taps the screen as the double steps up to the podium with his arm outstretched.
1049_Harry_Potter_and_the_chamber_of_secrets_01.13.28.311-01.13.30.898 	filling the archway is a huge stone statue of a griffin, with the head and outstretched wings of an eagle and the body of a lion.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_02.09.26.395-02.09.28.050 	dobby stands on a balustrade, his arms outstretched.
1051_Harry_Potter_and_the_goblet_of_fire_00.31.53.235-00.31.58.943 	arm outstretched, dumbledore approaches the goblet of fire.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.08.15.675-00.08.15.877 	wand outstretched.
