0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.44.00.918-00.44.05.866 	merry and pippin hurriedly gather their booty and race away.with frodo and sam on their heels.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.50.04.868-00.50.10.056 	the tall bree folk loom over the nervous little hobbits as frodo, sam, merry and pippin make their way through the narrow streets.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.51.46.256-00.51.49.430 	sam watches pippin rise unsteadily to his feet and head to the bar.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.57.54.390-00.57.54.932 	aerial on: strider leading frodo, sam, merry, and pippin across the windswept moors.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.01.25.745-01.01.30.994 	frodo, sam, merry, and pippin race into a ring of broken stones on the summit or weathertop, the ruined base of an ancient tower.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.54.39.930-01.54.49.024 	unnerved, pippin backs away nervously.he stumbles against the well, sending a precariously balanced armored skeleton tumbling in!.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.59.55.287-02.00.21.637 	sam slashes at the cave troll's knee, bringing him down.merry and pippin jump on him.legolas fires an arrow.and the cave troll topples, dead.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.09.58.820-00.10.01.337 	merry cuts pippin off before he can respond in kind.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.11.53.839-00.11.55.700 	reluctantly, pippin hands the palantir to gandalf.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.26.18.123-00.26.21.504 	shadowfax carried gandalf and pippin out of the gate and down the winding road towards the plains qf rohan.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.32.51.113-00.32.58.262 	aerial shot: shadowfax, carrying gandalf and pippin up towards the 7th level.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.33.26.505-00.33.34.317 	gandalf leads pippin across a flat court of white stones, surrounded by green lawns towards a great hall beneath.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.08.53.144-01.08.56.969 	fast push in to pippin looking on as denethor eats.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.54.53.333-01.54.59.640 	from the shadows pippin watches, aghast, as faramir is lain on a funeral pyre.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.02.03.370-02.02.09.071 	at that moment: gandalf and pippin burst into the hallows, astride shadowfax.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_03.00.25.352-03.00.33.887 	frodo, merry and pippin exchange smiles as.
