0001_American_Beauty_00.10.07.367-00.10.08.408 	his head suddenly jerks up and he looks at us, as if he realizes he's being watched.
0001_American_Beauty_00.25.56.289-00.25.56.933 	a beat, as ricky continues his calculations, before he realizes a response is expected from him.
0002_As_Good_As_It_Gets_00.26.55.071-00.26.59.050 	a short laugh makes us realize that melvin has witnessed and enjoyed frank's hostile mutterings.
0002_As_Good_As_It_Gets_00.36.57.805-00.37.03.653 	as he looks over at the dog, verdell trots over and, without realizing it, melvin smiles at him to frank's surprise.
0002_As_Good_As_It_Gets_01.03.37.093-01.03.40.369 	as she enters building and realizes it's not just that she's wet -- the thin summer dress is a winner in any wet t-shirt contest.
0003_CASABLANCA_00.04.45.809-00.04.51.159 	as he pats both his breast and pants pockets he realizes there is something missing.
0003_CASABLANCA_00.36.34.367-00.36.36.272 	sam now realizes rick is in a very grim mood.
0004_Charade_00.30.42.106-00.30.43.342 	reggie realizes that gideon no longer offers any resistance.
0004_Charade_00.31.12.641-00.31.15.108 	she realizes she has not pushed the button which takes her coin and allows the party at the other end to hear her voice.
0004_Charade_00.49.41.934-00.49.49.653 	realizing she has to do something before dyle spots her, she turns and takes the tourist's arm and starts walking with him back toward the cafe.
0009_Forrest_Gump_00.27.51.442-00.27.55.316 	jenny realizes that he is looking at her.
0014_Ist_das_Leben_nicht_schoen_00.07.47.979-00.07.51.356 	george looks curiously at gower, realizing that he is quite drunk.
0014_Ist_das_Leben_nicht_schoen_00.17.26.738-00.17.30.329 	he stops, realizing that he has hurt his father.
0014_Ist_das_Leben_nicht_schoen_00.54.45.497-00.54.47.245 	he realizes george has hung up, and clicks the phone furiously.
0020_Raising_Arizona_00.32.16.002-00.32.17.517 	nathan realizes that he's gotten ink from his fingerprinting all over the coat.
0020_Raising_Arizona_00.57.37.595-00.57.37.968 	as we come closer, eventually drawing in to a close shot of his face, we gradually realize something peculiar about his eyes: he seems to have none.
0021_Rear_Window_00.28.17.630-00.28.18.630 	lisa realizes she is getting nowhere.
0021_Rear_Window_01.52.02.292-01.52.11.941 	when she realizes he is asleep, she puts down the travel book and reaches for the latest copy of harper's bazaar.
0023_THE_BUTTERFLY_EFFECT_00.13.40.824-00.13.44.682 	evan gets up and starts running, then realizes he's not being followed.
0023_THE_BUTTERFLY_EFFECT_00.13.46.048-00.13.47.323 	evan realizes that lenny's completely dazed.
0023_THE_BUTTERFLY_EFFECT_00.31.31.654-00.31.39.869 	color drains from evan's face as he realizes what he's reading.
0023_THE_BUTTERFLY_EFFECT_01.27.22.907-01.27.24.998 	evan's hands instinctively reach for his throat, then he realizes his surroundings.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.45.01.408-00.45.04.312 	he realizes they are on a wooded road.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_02.23.19.018-02.23.21.039 	frodo realizes what her message is.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_02.30.13.762-02.30.15.454 	as he realizes boromir has gone.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.27.54.676-00.28.10.043 	arwen as she realizes she is staring at a future that can never be, the child she and aragorn will never have.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.19.02.663-02.19.04.240 	frodo as he realizes that he has been stripped down to his underwear.
0026_The_Big_Fish_00.28.51.542-00.28.52.718 	for the first time, he realizes the birds have stopped singing.
0026_The_Big_Fish_00.49.09.321-00.49.13.472 	angle on colossus, realizing the gig is up.
0026_The_Big_Fish_01.33.23.889-01.33.24.485 	realizing his plight, edward tries to remain calm.
0026_The_Big_Fish_01.38.22.965-01.38.25.555 	finally realizing who this woman is.
0026_The_Big_Fish_01.45.27.122-01.45.30.812 	he half-smiles, realizing the idiocy of his question.
0026_The_Big_Fish_01.49.44.290-01.49.48.494 	on will, realizing.
