0009_Forrest_Gump_01.35.54.655-01.36.01.651 	the anchorman is standing in front of the ruined pier and boats.
0017_Pianist_02.16.53.551-02.16.58.511 	szpilman bolts into the doorway of a ruined building.
0017_Pianist_02.16.59.664-02.17.02.455 	he peers out to see polish soldiers beginning to surround the ruined building, firing shots, lobbing in a grenade or two.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.10.14.774-01.10.15.789 	behind gothmog -- all over the ruined city -- 5000 orc archers rise to their feet.
1017_Bad_Santa_00.52.03.836-00.52.14.332 	calendar ruined, chocolate eaten, he picks up the vodka bottle and lurches towards the lounge.
1033_Sherlock_Holmes_A_Game_of_Shadows_00.48.13.345-00.48.18.983 	watson and holmes sit in the ruined lavatory of their carriage which is at the end of those still attached to the engine.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.25.37.110-01.25.41.040 	he climbs down from the platform and runs over to the now ruined building.
1051_Harry_Potter_and_the_goblet_of_fire_01.34.26.115-01.34.32.555 	he swims past ruined archways, their outline softened by algae and water weed.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.22.37.651-01.22.44.208 	hermione, harry and ron peer through a ruined archway.
1056_Rambo_00.45.17.000-00.45.22.995 	the mercenaries make a wary record of the ruined village.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.51.40.237-01.51.50.888 	outside in brilliant sunshine, the three friends stroll aimlessly along the ruined bridge, with its broken balustrades.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.53.53.431-01.54.13.674 	the ruined school behind them, they stand on the rubble- strewn bridge and gaze ahead.
