0011_Gandhi_01.49.45.691-01.49.46.599 	she strokes his head.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.14.35.899-02.14.42.495 	eowyn smiles down at him as she gently strokes his face.
0028_The_Crying_Game_01.34.09.159-01.34.14.787 	she still strokes his hand.
0028_The_Crying_Game_01.35.23.075-01.35.26.815 	he strokes her cheek.
0028_The_Crying_Game_01.41.53.466-01.41.57.605 	he strokes her hair.
0030_The_Hustler_00.05.41.401-00.05.51.185 	then he downs his drink and quickly strokes out his shot, the ball banking crisply and directly into the corner pocket.
1004_Juno_01.29.15.417-01.29.20.446 	she strokes the soft downy hair above his ear and cups his head in her hand.
1005_Signs_01.14.51.320-01.14.54.696 	he strokes her cheek.
1006_Slumdog_Millionaire_00.24.25.432-00.24.29.947 	the smaller man, maman, kneels at the entrance and strokes salim's foot.
1006_Slumdog_Millionaire_01.38.38.600-01.38.43.497 	he gently strokes her cheek near the scar.
1007_Spider-Man1_01.52.38.182-01.52.41.906 	she strokes his cheek with her gloved hand.
1011_The_Help_00.34.40.863-00.34.44.703 	the little girl strokes aibileen's cheek.
1027_Les_Miserables_00.28.10.761-00.28.13.361 	she strokes her short cropped hair.
1029_Pride_And_Prejudice_Disk_One_00.39.23.773-00.39.26.479 	she gently strokes her sleeping sister's face.
1031_Quantum_of_Solace_01.37.27.280-01.37.31.545 	she strokes his face.
1037_The_Curious_Case_Of_Benjamin_Button_02.05.22.497-02.05.25.055 	she strokes his cheek.
1040_The_Ugly_Truth_00.40.35.385-00.40.41.409 	she strokes his chest.
1041_This_is_40_01.03.20.496-01.03.24.987 	she strokes her forehead.
1046_Australia_00.03.21.000-00.03.24.316 	the horse swims towards him and he strokes its muzzle.
1046_Australia_02.32.12.796-02.32.18.000 	drover strokes his hair.
1047_Defiance_00.09.25.727-00.09.30.015 	the old man weeps and strokes the little girl's glossy dark hair.
1049_Harry_Potter_and_the_chamber_of_secrets_01.36.33.040-01.36.36.696 	harry gently strokes her outstretched hand.
1049_Harry_Potter_and_the_chamber_of_secrets_01.51.34.978-01.51.37.267 	harry gently strokes her hand.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_00.09.27.816-00.09.32.831 	voldemort strokes the snake.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_00.21.42.172-00.21.43.816 	mrs. weasley strokes george's brow.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_00.39.19.583-00.39.21.948 	he strokes her cheek.
1051_Harry_Potter_and_the_goblet_of_fire_00.55.35.839-00.55.38.410 	she strokes his cheek with her quill.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.32.25.988-00.32.31.142 	malfoy strokes his monster book, and it purrs contentedly.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.38.45.936-00.38.48.468 	he strokes its beak.
1055_Marley_and_me_01.46.22.001-01.46.25.171 	he gently strokes marley's head.
1056_Rambo_00.56.33.735-00.56.35.709 	the commander strokes the boy's head.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.14.04.000-01.14.05.493 	stroking his hair.
1062_Day_the_Earth_stood_still_01.07.49.000-01.07.52.729 	she strokes the boy's hair affectionately.
1062_Day_the_Earth_stood_still_01.38.18.599-01.38.20.685 	she strokes his hair.
