0002_As_Good_As_It_Gets_01.16.35.767-01.16.37.619 	frank stumbles back.
0002_As_Good_As_It_Gets_01.40.50.695-01.40.53.574 	she stumbles a bit -- flattered, momentarily moved and his for the taking.
0008_Fargo_00.19.50.800-00.19.56.686 	jean, screaming, tangled in the curtain, rips it off its rings and stumbles out into the bedroom.
0016_O_Brother_Where_Art_Thou_00.42.59.689-00.43.05.856 	before the car has even come to a stop pete's door flies open and he is stumbling down the bank to the river.
0017_Pianist_00.52.20.695-00.52.21.784 	szpilman turns and stumbles down the empty street.
0017_Pianist_01.27.44.015-01.27.47.551 	the hammering continues as szpilman stumbles into the room, looks around, confused, not knowing what to do.
0019_Pulp_Fiction_00.59.39.092-00.59.42.091 	jody stumbles back in the room, hanging back from the action.
0022_Reservoir_Dogs_01.08.37.480-01.08.40.198 	he's reading it pretty good, but he's still reading it from the page, and every once in a while he stumbles over his words.
0023_THE_BUTTERFLY_EFFECT_01.08.57.352-01.08.59.636 	tommy blindly stumbles around, madly swinging the tire thumper.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_02.11.18.920-02.11.27.022 	aragorn scours ahead of the company, as they stumble on in the fading light.in the distance the shimmer of a large forest can be seen.lothlorien.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.41.06.838-00.41.08.632 	sam runs after frodo, catching him in his arms as he stumbles.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.43.33.029-01.43.34.652 	frodo stumbles out of shelob's lair.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.45.03.963-01.45.15.147 	frodo, overcome with exhaustion, stumbles down the steep stairs of cirith ungol.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.28.54.840-02.28.57.908 	frodo is walking half-bowed, often stumbling.
0028_The_Crying_Game_00.36.25.855-00.36.27.209 	jody stumbles forward.
0030_The_Hustler_00.35.22.438-00.35.43.655 	the blinds are drawn and the light strikes eddie in the eyes, but still he stumbles after fats, holding his money out before him, pleading.
0031_The_Lost_Weekend_01.00.52.052-01.01.02.718 	in a stupor of shame and misery he stumbles over to the living room couch, flings himself down on it and lies covering his face with his arms.
0032_The_Princess_Bride_00.22.48.829-00.22.54.873 	the two men are almost flying across the rocky terrain, never losing balance, never coming close to stumbling; the battle rages with incredible finesse, first one and then the other gaining the advantage, and by now, it's clear that this isn't just two athletes going at it, it's a lot more that that.
0032_The_Princess_Bride_00.34.55.542-00.35.01.451 	the man in black comes running into view, still dragging buttercup, who sometimes stumbles, but he keeps forcing her along.
0038_Psycho_01.17.27.505-01.17.33.916 	he stumbles back and staggers down the whole of the staircase.
0041_The_Sixth_Sense_00.08.00.583-00.08.02.045 	malcolm stumbles back onto the edge of the bed.
0041_The_Sixth_Sense_00.44.14.265-00.44.16.088 	he stumbles into the darkness of the crawl space.
0041_The_Sixth_Sense_01.15.08.212-01.15.10.423 	he stumbles out.
0043_Thelma_and_Luise_00.18.13.932-00.18.17.826 	she stumbles a step and drops her beer bottle.
1002_Harry_Potter_and_the_Half-Blood_Prince_01.38.56.403-01.38.58.300 	draco stumbles back and falls into the water accumulating on the floor from a burst pipe.
1003_How_to_Lose_Friends_and_Alienate_People_00.37.29.369-00.37.32.736 	she stumbles and falls down in a heap in front of him.
1005_Signs_00.37.24.893-00.37.36.164 	struggling through the unbending forest until he stumbles out onto a pathway running between two areas of maize.
1009_Spider-Man3_00.29.53.863-00.30.12.831 	he stumbles as he finds his footing, then slowly steps forward, gradually becoming more human until he looks exactly as he did before the change, right down to his brown hair, green and black striped t-shirt, and beige chinos.
1010_TITANIC_02.03.45.765-02.03.49.400 	he stumbles back and touches his bloody nose.
1012_Unbreakable_01.15.31.194-01.15.36.273 	he staggers towards it, stumbling on his knees, crawling.
1024_Identity_Thief_00.49.06.675-00.49.10.561 	stumbling back, chuck pulls up his pants.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.38.41.170-01.38.52.080 	delegates are arriving at the castle, expanding their back falls, which stumble hundreds of feet vertically down the mountainside.
1034_Super_8_00.38.26.756-00.38.30.185 	he stumbles and runs back into the shop.
1035_The_Adjustment_Bureau_01.11.00.376-01.11.02.159 	as thompson stumbles back, two men in the waiting room rise, their eyes on david.
1037_The_Curious_Case_Of_Benjamin_Button_00.10.01.428-00.10.07.679 	he tears through the street, stumbling as he pushes past revelers, one of whom swigs from a bottle of booze.
1037_The_Curious_Case_Of_Benjamin_Button_02.12.08.674-02.12.13.259 	he watches as she tries to turn but instead stumbles awkwardly, flexing her bad leg.
1043_Vantage_Point_00.35.53.349-00.35.57.327 	panicking people flee and stand on the ones who are stumbled.
1047_Defiance_00.18.15.839-00.18.18.086 	stumbling through the dark forest.
1047_Defiance_00.23.21.492-00.23.28.392 	zus walks away, stumbling into the undergrowth.
