0001_American_Beauty_00.36.17.414-00.36.30.666 	he turns, and is instantly transfixed by: angela leans against the counter, twirling her hair.
0021_Rear_Window_00.05.10.088-00.05.13.256 	she now twirls over toward a table at the other side of the room on which is an open package of bread slices, some butter nearby.
0029_The_Graduate_01.00.36.453-01.00.42.123 	she is twirling the tassels.
1003_How_to_Lose_Friends_and_Alienate_People_01.44.13.399-01.44.21.579 	he twirls her around slowly, and they shuffle back and forth.
1010_TITANIC_01.25.14.987-01.25.18.239 	holding a kimono close with one hand, rose lifts a sash and twirls it.
1010_TITANIC_03.04.49.737-03.04.57.390 	the necklace twirls down to the dark ocean depths.
1019_Confessions_Of_A_Shopaholic_00.50.29.103-00.50.33.167 	holding both her hands in his, he twirls her towards him, twisting her arms across her waist.
1019_Confessions_Of_A_Shopaholic_01.01.43.143-01.01.45.637 	she twirls around.
1019_Confessions_Of_A_Shopaholic_01.34.40.521-01.34.47.149 	she turns towards the street, where the bag lady, standing with her trolley, twirls around in rebecca's favorite pattern jacket.
1024_Identity_Thief_00.47.16.168-00.47.21.835 	spinning around, diana bends over and big chuck twirls his cowboy hat behind her like riding a bronco.
1035_The_Adjustment_Bureau_01.07.37.708-01.07.44.325 	as they twirl gracefully, male dancers leap across the other section, then drop to their knees and spin.
1038_The_Great_Gatsby_00.20.32.550-00.20.35.469 	tom picks nick up and twirls him around.
1041_This_is_40_01.12.52.366-01.12.55.465 	debbie twirls her long, sweaty hair.
1045_An_education_00.48.27.978-00.48.31.702 	he takes her hand and twirls her around.
1047_Defiance_01.10.18.396-01.10.20.133 	chaya in a chair is lifted up to shoulder height and twirled around.
1060_Yes_man_00.32.26.351-00.32.29.456 	he moves nimbly then twirls with his leg out.
2051_Harry_Potter_and_the_goblet_of_fire_00.18.35.521-00.19.05.057 	a series of older boys walk up the aisle brandishing bo staffs, twirling them around and periodically stabbing them into the ground with a spark effect.
