0016_O_Brother_Where_Art_Thou_00.49.33.511-00.49.33.957 	Watching Everett fan his money.
0020_Raising_Arizona_00.09.53.996-00.09.54.432 	Watching intently.
0027_The_Big_Lebowski_01.43.17.349-01.43.17.709 	Watching Dieter's charge, is caught off-guard.
0029_The_Graduate_00.21.16.994-00.21.17.384 	Watching from across the fence on one side of the house: the young girl from next door and her boy friend.
0033_Amadeus_00.40.41.271-00.40.51.926 	Watching the performance - which is conducted by Mozart from the clavier in the midst of the orchestra - we note Von Strack, Orsini-Rosenberg, Bonno and Von Swieten, all grouped around the Emperor, in a box.
1010_TITANIC_01.07.48.631-01.07.56.765 	watching him rose, pulls off her shoes, tosses them to a nearby woman, then holds up the hem of her dress
1010_TITANIC_01.37.43.174-01.37.52.873 	watching from the crow's nest, another man, fleet, looks down and taps his comrade, lee, on the arm.
1014_2012_01.45.00.952-01.45.04.618 	watching from up above, tamara sobs.
1024_Identity_Thief_01.38.45.169-01.38.48.871 	watching her go, trish clutches a plate and drying cloth.
1029_Pride_And_Prejudice_Disk_One_00.01.38.203-00.01.44.340 	watching from a distance, as the two horses thunder across the fields, is a young woman, elizabeth bennet.
1029_Pride_And_Prejudice_Disk_One_00.21.19.633-00.21.28.659 	watching her pass by, his eyes linger on her for a long moment as she talks to charlotte.
1038_The_Great_Gatsby_00.34.38.637-00.34.40.361 	watching from an upstairs window, gatsby lowers a telephone.
1038_The_Great_Gatsby_00.57.49.731-00.57.52.121 	watching from the door, nick takes off his boater and gestures for gatsby to tidy his hair.
1038_The_Great_Gatsby_01.07.40.712-01.07.43.471 	watching them, nick has a grave, serious expression.
1038_The_Great_Gatsby_01.33.34.445-01.33.35.437 	watching from the upstairs window, myrtle looks desperate and tearful.
1042_Up_In_The_Air_01.25.13.560-01.25.18.221 	watching from the doorway, kara glances at ryan.
1053_Harry_Potter_and_the_philosophers_stone_02.03.51.920-02.03.55.683 	watching the merciless white queen, harry suddenly understands the game that ron is playing.
1058_The_Damned_united_00.06.40.226-00.06.44.575 	watching at home, a livid don storms to the phone and dials.
2026_Legion_00.11.05.720-00.11.09.294 	watching the scintillating action from a booth across the diner is a conservatively dressed suburban couple.
1053_Harry_Potter_and_the_philosophers_stone_02.03.51.920-02.03.55.683 	watching the merciless white queen, harry suddenly understands the game that ron is playing.
1058_The_Damned_united_00.06.40.226-00.06.44.575 	watching at home, a livid don storms to the phone and dials.
2026_Legion_00.11.05.720-00.11.09.294 	watching the scintillating action from a booth across the diner is a conservatively dressed suburban couple.
2034_Super_8_00.59.57.330-01.00.02.628 	watching his mother, joe is quietly stunned.
