1007_Spider-Man1_00.22.51.868-00.22.53.357 	it's attached to web like threads coming from his wrist.
1007_Spider-Man1_01.22.26.377-01.22.31.960 	spider-man is zooming along the streets, leaping from web to web way above the traffic.
1007_Spider-Man1_01.24.50.693-01.24.56.334 	he whips back up, smashes the goblin in the face, pulls him back with a webbed thread and then volleys him with his left foot through a partition.
1008_Spider-Man2_01.47.07.282-01.47.17.889 	as the train hurdles towards the river, a desperate looking spider-man fires webs at buildings.
1009_Spider-Man3_00.01.59.089-00.02.05.194 	spider-man in his skintight red and blue webbed suit swings lively from thread to thread like a trapeze artist.
1009_Spider-Man3_00.10.04.606-00.10.12.807 	peter, smiling happily, slides down a thread of webbing with mary jane, unaware of the tendrils crawling up a nearby ridge like a huge black spider.
1009_Spider-Man3_00.17.23.808-00.17.26.958 	swinging from the thread, he shoots webbing balls.
1009_Spider-Man3_00.20.46.268-00.20.50.951 	peter swings backwards, shooting webbing at the bombs and disabling them.
1009_Spider-Man3_01.54.47.881-01.54.50.000 	spider-man's wrists are lashed to the web with webbing fired by brock, who lands on top of him and tears off the spider- man mask.
1051_Harry_Potter_and_the_goblet_of_fire_01.36.38.427-01.36.47.875 	as harry struggles towards the surface with ron and the little girl, he notices his hands are no longer webbed.
2051_Harry_Potter_and_the_goblet_of_fire_01.32.00.660-01.32.20.851 	underwater the effects of gilliweed take hold, harry's hands and feet become webbed.
