0003_CASABLANCA_00.28.05.958-00.28.08.178 	Strasser waits to be asked to seat himself.
0006_Clerks_00.38.12.569-00.38.23.761 	A series of people addressing the camera, asking the dumb questions.
0006_Clerks_00.38.29.037-00.38.51.556 	A series of people standing in various locations throughout the convenience store, asking truly dumb questions.
0008_Fargo_00.58.26.272-00.58.28.668 	Bewildered, he looks about, then asks a mechanic passing by, his voice raised over the din of the shop.
0009_Forrest_Gump_01.29.27.354-01.29.30.106 	A guy asks a girl to dance.
0017_Pianist_00.17.40.912-00.17.48.113 	As they walk, carrying the basket between them, passing beggars and children asking for food.
0019_Pulp_Fiction_01.22.25.216-01.22.30.841 	She walks out of the bathroom to ask Butch a question, only to find him sound asleep in bed.
0021_Rear_Window_01.14.28.877-01.14.29.877 	He asks tersely.
0021_Rear_Window_01.14.38.877-01.14.42.377 	Before Doyle can comment, Jeff asks impatiently.
0030_The_Hustler_01.22.17.387-01.22.18.923 	He looks quickly at her, without asking directly for the match.
0049_Hannah_and_her_sisters_00.16.47.933-00.16.57.468 	The movie cuts back and forth between Mickey in his phone booth asking questions and Dr. Wilkes in his office answering them.
0050_Indiana_Jones_and_the_last_crusade_00.23.22.430-00.23.28.618 	As Indy asks the question, he turns to a PAINTING on the wall: A depiction of Christ on the Cross, his blood being captured in a golden chalice.
1003_How_to_Lose_Friends_and_Alienate_People_00.34.34.090-00.34.40.087 	Sophie and Eleanor lead the way outside where a bustling crowd of press photographers asking for Sophie's attention.
1006_Slumdog_Millionaire_00.54.18.337-00.54.22.702 	Jamal asks another woman and she pats his cheek.
1043_Vantage_Point_00.32.58.900-00.33.00.948 	he asks her her name.
1044_Pride_And_Prejudice_Disk_Two_01.34.34.981-01.34.39.277 	when he reaches a corner, a young beggar girl stops him to ask for money.
1044_Pride_And_Prejudice_Disk_Two_01.34.39.399-01.34.40.839 	as he searches his pockets for coins, he asks her for directions.
1051_Harry_Potter_and_the_goblet_of_fire_01.20.01.865-01.20.07.594 	parvati is asked to dance.
1055_Marley_and_me_01.03.48.812-01.03.52.914 	jenny spots him sitting in the car and gestures to him, asking if he's actually going to come indoors.
1060_Yes_man_00.23.51.711-00.23.53.549 	it asks if he wants credit.
1055_Marley_and_me_01.03.48.812-01.03.52.914 	jenny spots him sitting in the car and gestures to him, asking if he's actually going to come indoors.
1060_Yes_man_00.23.51.711-00.23.53.549 	it asks if he wants credit.
