0006_Clerks_00.46.11.250-00.46.15.130 	The ball sails off the court, through the air, and into a faraway yard.
0011_Gandhi_02.20.57.005-02.21.05.124 	Gandhi, Mirabehn and Gandhi's secretary, Desai, waving goodbye from the boat deck of their ship as it sails -- Mirabehn is holding the tether of a goat -- all of them smiling at the camera like voyagers everywhere.
0020_Raising_Arizona_01.19.39.701-01.19.42.932 	It sails off a step into the sunken atrium, and lands with a CRASH amidst the hayseeds.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.15.27.580-00.15.35.020 	A tiny sailing ship with masts and sails glides through the Center of Bilbo's smoke ring.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.38.31.225-00.38.34.102 	CORSAIR SHIPS sail up the RIVER.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_03.10.07.527-03.10.16.484 	The WHITE BOAT sails away towards the HEADLANDS, disappearing into the GOLDEN LIGHT of the SETTING SUN.
0032_The_Princess_Bride_00.09.46.074-00.09.50.932 	As they sail off, we hear their voices as the boat recedes.
0032_The_Princess_Bride_00.13.23.754-00.13.27.740 	The boat at dawn, being followed closely by the black sailboat, which we can see for the first time is being sailed by a MAN IN BLACK, and his boat almost seems to be flying.
0032_The_Princess_Bride_00.13.42.672-00.13.45.500 	in a wild race for the Cliffs and the Man In Black is closing faster than ever, but not fast enough, the lead was too great to overcome, and as Inigo sails with great precision straight at the Cliffs.
0038_Psycho_01.03.52.400-01.04.00.583 	He nods, takes down the closed-for-lunch sign, sails it to the counter, opens door, goes out into the street.
0050_Indiana_Jones_and_the_last_crusade_01.35.39.914-01.35.41.026 	Vogel's hat sails in and falls to the floor.
0051_Men_in_black_01.08.37.912-01.08.46.775 	Her face goes beatifically blank as she sails through a massive starfield, millions of stars, billions of green, verdant planets, all racing by her at the speed of light.
1053_Harry_Potter_and_the_philosophers_stone_01.17.58.471-01.18.01.671 	and the quaffle sails straight through the middle.
1053_Harry_Potter_and_the_philosophers_stone_01.19.33.595-01.19.35.709 	a slytherin sails over the beaters head and shoots accurately at the hoop.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.05.33.662-00.05.37.168 	she sails out into the garden.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.36.25.473-00.36.33.969 	they sail between the towers and turrets of hogwarts school and soar above the craggy hillside.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.58.40.349-00.58.50.159 	the bird approaches the school in a heavy snowstorm and sails past the clock tower.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.04.40.592-00.05.03.519 	-- a button on her dress sails into the air.
