0006_Clerks_00.04.36.887-00.04.44.005 	DANTE stands on a garbage can and tucks a corner of the sheet under the awning.
0012_Get_Shorty_00.32.17.569-00.32.18.569 	Ronnie opens his coat so that Harry can see a gun tucked in his belt.
0012_Get_Shorty_01.18.47.054-01.18.49.289 	Ronnie opens his jacket so that Ray Bones can see the .357 Ronnie's got tucked into his belt.
0020_Raising_Arizona_00.44.07.513-00.44.08.607 	Hi is approaching the check-out island with a gun in one hand, the carton of Huggies tucked under the other.
0020_Raising_Arizona_00.45.00.529-00.45.01.006 	The carton of Huggies is still tucked under one arm.
0023_THE_BUTTERFLY_EFFECT_01.45.12.374-01.45.13.775 	He tucks it into his sock but it won't fit.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_02.45.47.068-02.45.49.511 	With renewed determination, Frodo tucks the ring inside his vest pocket.
0026_The_Big_Fish_00.08.30.687-00.08.32.277 	Her head is propped against Will's shoulder, her hands tucked under her belly.
0026_The_Big_Fish_01.22.01.933-01.22.08.249 	Looking for a place to put it, he tucks it into a strange mechanical hand on the desk.
0027_The_Big_Lebowski_00.03.51.371-00.03.52.695 	His head is grabbed from behind and tucked into an armpit.
0030_The_Hustler_01.20.15.891-01.20.26.246 	She opens the door, then looks up to see him leaning against the wall, his arms tucked into his chest, with one hand covering the other.
0030_The_Hustler_01.40.27.767-01.40.31.399 	He tucks his cue case under his arm and turns to Bert and Sarah who join him.
0030_The_Hustler_02.04.08.483-02.04.11.618 	Eddie, his cue case tucked under his arm, walks straight toward him.
0031_The_Lost_Weekend_00.57.25.474-00.57.32.140 	He pulls it to his armpit and holds it there, tucked close to his ribs.
0032_The_Princess_Bride_00.01.13.275-00.01.16.260 	He has a wrapped package tucked under one arm as be immediately goes to The Kid, pinches his cheek.
0032_The_Princess_Bride_00.07.50.153-00.07.53.023 	Vizzini rips some tiny pieces of fabric from an army jacket and tucks them along the saddle of Buttercup's horse.
0033_Amadeus_00.12.40.001-00.12.40.617 	Father Salieri sits at the head of the table, a napkin tucked into his chin.
0043_Thelma_and_Luise_00.03.29.250-00.03.30.576 	Thelma has the phone tucked under her chin, as she cuts out coupons from the newspaper and pins them on a bulletin board already covered with them.
0049_Hannah_and_her_sisters_01.21.13.912-01.21.16.783 	It's Mickey, as the camera soon shows, wearing a short-sleeved shirt, a paper tucked under his arm.
0050_Indiana_Jones_and_the_last_crusade_01.20.23.329-01.20.24.898 	Indy reaches for his gun, tucked in his pants.
1004_Juno_01.15.11.793-01.15.20.840 	 On the bonnet of the van, her head resting on the sloping front windscreen, with her hands tuck behind her back staring up at the sky.
1005_Signs_01.11.52.470-01.11.55.707 	Merrill watches in disbelief as Graham tucks into his mount of food.
1005_Signs_01.12.19.601-01.12.25.537 	Merrill is staring self-consciously at his plate when Graham's hand reaches out, and tucks him in the family embrace.
