21_JUMP_STREET.srt 	21_JUMP_STREET_DVS455 	01:14:40,00 --> 01:14:45,50 	someone aims out the driver side window.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS568 	01:28:54,00 --> 01:28:59,50 	the bikers aim guns at someone.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS573 	01:29:44,00 --> 01:29:49,50 	the long-haired thug aims at the guys.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS575 	01:29:57,00 --> 01:30:00,50 	he turns and aims his gun.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS602 	01:33:18,00 --> 01:33:25,50 	getting up, he aims his gun at a departing biker with a topknot braid.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS648 	01:37:45,00 --> 01:37:49,50 	they aim their guns at the corrupt coach.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS124 	00:32:56,00 --> 00:33:00,50 	someone aims at someone.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS176 	00:46:18,00 --> 00:46:23,50 	someone aims at a security guard.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS240 	00:57:35,00 --> 00:57:39,50 	he aims a pistol.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS285 	01:05:33,00 --> 01:05:37,50 	someone aims his pistol at the major's back.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS324 	01:13:03,00 --> 01:13:07,50 	he aims his gun.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS204 	00:17:38,00 --> 00:17:45,50 	in the courtroom, the masked men scour the someone, aiming flashlight-mounted rifles.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS238 	00:19:38,00 --> 00:19:43,50 	someone aims at his father's head.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS279 	00:24:01,00 --> 00:24:07,50 	a man emerges from the roof with an rpg and aims at someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS651 	01:07:03,00 --> 01:07:11,50 	someone cautiously enters in front of his dad, aiming a flashlight-mounted rifle around the decaying room.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS776 	01:17:05,00 --> 01:17:09,50 	someone aims toward someone.
