21_JUMP_STREET.srt 	21_JUMP_STREET_DVS149 	00:23:36,00 --> 00:23:41,50 	she arrives before a handsome boy.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS168 	00:29:28,00 --> 00:29:33,50 	the teacher arrives.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS247 	00:40:57,00 --> 00:41:07,50 	now at school, someone arrives at a classroom door colorfully labeled science.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS331 	00:55:02,00 --> 00:55:07,50 	someone arrives as they bump fists.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS361 	01:00:00,00 --> 01:00:08,50 	now in a humble house, the three nerds play music as someone arrives with energy drinks.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS405 	01:08:37,00 --> 01:08:48,50 	now, someone's maroon sedan arrives at a highway underpass where the biker gang, the one-percenter's awaits the young dealer and his friend.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS235 	00:56:11,00 --> 00:56:19,50 	as someone's car arrives, someone grabs the garbage back from atop the mustang's trunk.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS16 	00:03:35,00 --> 00:03:45,50 	a tattooed stock guy, someone, arrives.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS147 	00:28:01,00 --> 00:28:09,50 	they arrive at a kitchen display.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS162 	00:14:51,00 --> 00:14:57,50 	as the sedans arrive at the military checkpoint.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS334 	00:29:47,00 --> 00:29:55,50 	below, a police cruiser arrives at the crash site.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS396 	00:36:06,00 --> 00:36:11,50 	as they arrive in a shadowy market with closed doors, someone brings someone to a bench.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS670 	01:09:00,00 --> 01:09:06,50 	an armed man in a ski mask arrives, and someone aims.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS188 	00:25:36,00 --> 00:25:42,50 	arriving, stibble kicks it away and strikes him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS362 	00:51:35,00 --> 00:51:40,50 	now a carriage arrives at a building.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS535 	01:15:46,00 --> 01:15:53,50 	she keeps her melancholy gaze averted as someone arrives.
BAD_TEACHER.srt 	BAD_TEACHER_DVS38 	00:13:01,00 --> 00:13:08,50 	someone arrives.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS135 	00:20:11,00 --> 00:20:15,50 	a taxi van arrives.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS314 	00:51:33,00 --> 00:51:37,50 	a beautiful young woman arrives.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS522 	01:21:51,00 --> 01:21:55,50 	someone arrives.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS563 	01:28:16,00 --> 01:28:20,50 	someone arrives.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS596 	01:33:40,00 --> 01:33:47,50 	someone arrives.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS619 	01:36:13,00 --> 01:36:17,50 	someone arrives.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS631 	01:37:29,00 --> 01:37:36,50 	someone arrives.
BLINDDATING.srt 	BLINDDATING_DVS288 	01:11:57,00 --> 01:12:13,50 	someone arrives outside the glass pane door.
BLINDDATING.srt 	BLINDDATING_DVS349 	01:23:30,00 --> 01:23:36,50 	meanwhile, the bus arrives at a terminal.
BURLESQUE.srt 	BURLESQUE_DVS451 	01:01:37,00 --> 01:01:42,50 	someone arrives at someone's side.
BURLESQUE.srt 	BURLESQUE_DVS468 	01:04:41,00 --> 01:04:46,50 	his eyes open as someone arrives home.
BURLESQUE.srt 	BURLESQUE_DVS482 	01:06:59,00 --> 01:07:07,50 	someone arrives.
BURLESQUE.srt 	BURLESQUE_DVS516 	01:11:09,00 --> 01:11:13,50 	someone arrives.
BURLESQUE.srt 	BURLESQUE_DVS523 	01:11:58,00 --> 01:12:02,50 	someone arrives at her side.
BURLESQUE.srt 	BURLESQUE_DVS552 	01:19:58,00 --> 01:20:04,50 	now someone arrives home in a red clingy dress.
