21_JUMP_STREET.srt 	21_JUMP_STREET_DVS178 	00:30:27,00 --> 00:30:36,50 	yeah you are dumbass.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS439 	01:13:03,00 --> 01:13:10,50 	someone replies, "i'll be there fairy soon."
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS657 	01:38:43,00 --> 01:38:49,50 	someone remembers being gun-shy in the park.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS307 	01:10:11,00 --> 01:10:30,50 	someone repeatedly pokes at someone's face, which is covered in a slayer t-shirt.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS140 	00:27:00,00 --> 00:27:05,50 	day 282 and a tap isn't working.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS165 	00:30:28,00 --> 00:30:32,50 	there are signs on the store wall,"ikea stockholm.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS180 	00:31:48,00 --> 00:31:55,50 	the reflection he sees is harrison ford as someone solo winking back at him.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS192 	00:32:48,00 --> 00:32:56,50 	the large crowd of dancers is joined by a marching band in full colorful military style uniform.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS275 	00:52:24,00 --> 00:52:36,50 	someone and someone are at an art gallery.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS284 	00:53:19,00 --> 00:53:24,50 	the film is black and white and the star is someone.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS284 	00:53:19,00 --> 00:53:24,50 	the film is black and white and the star is someone.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS285 	00:53:22,00 --> 00:53:26,50 	subtitles read, "he is broken, more than broken, he is alone".
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS285 	00:53:22,00 --> 00:53:26,50 	subtitles read, "he is broken, more than broken, he is alone".
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS363 	01:05:59,00 --> 01:06:05,50 	the nighttime dance floor is festooned with bright lights.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS379 	01:08:38,00 --> 01:08:44,50 	he acknowledgment was in expectations.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS399 	01:10:34,00 --> 01:10:38,50 	which is then erased,
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS405 	01:10:54,00 --> 01:10:59,50 	it's 7:00 am.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS407 	01:11:01,00 --> 01:11:07,50 	it's 7:00 am.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS483 	01:20:07,00 --> 01:20:11,50 	there are lines through many of them.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS491 	01:20:38,00 --> 01:20:43,50 	nighttime traffic is a blur of speeded up light.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS494 	01:20:54,00 --> 01:20:59,50 	which is his bedroom artwork.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS495 	01:20:57,00 --> 01:21:02,50 	someone's being fitted for a wedding dress.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS496 	01:21:01,00 --> 01:21:06,50 	the chiffon veil is lowered over someone's face.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS536 	01:27:45,00 --> 01:27:49,50 	a young woman is on a sofa also, waiting.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS602 	01:02:01,00 --> 01:02:05,50 	the file is in the inner vault.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS838 	01:23:06,00 --> 01:23:21,50 	there is a small arms fire coming from the roof.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS900 	01:26:55,00 --> 01:27:07,50 	this is for you, papa.
BAD_TEACHER.srt 	BAD_TEACHER_DVS221 	01:01:11,00 --> 01:01:29,50 	a sticker on someone's desk reads, "learning is funtastic."
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS570 	01:29:14,00 --> 01:29:19,50 	the house is full of enthused faces.
BLINDDATING.srt 	BLINDDATING_DVS353 	01:26:34,00 --> 01:26:39,50 	her face is in his hands.
BRUNO.srt 	BRUNO_DVS75 	00:16:13,00 --> 00:16:18,50 	a nude man is covered in sushi.
BRUNO.srt 	BRUNO_DVS96 	00:21:44,00 --> 00:21:55,50 	it was worse than cancer."
BRUNO.srt 	BRUNO_DVS142 	00:33:54,00 --> 00:34:07,50 	someone, here it is.
BRUNO.srt 	BRUNO_DVS146 	00:37:22,00 --> 00:37:26,50 	aita was adopted baby.
BRUNO.srt 	BRUNO_DVS182 	00:48:39,00 --> 00:48:47,50 	both men are wrapped in gray blankets.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS49 	00:06:57,00 --> 00:07:03,50 	a snake is curled around one of the tree's roots.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS57 	00:08:06,00 --> 00:08:12,50 	a brooch of the tentacled skull is pinned on his lapel.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS96 	00:15:10,00 --> 00:15:15,50 	it is illegal to falsify your enlistment form.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS324 	01:01:31,00 --> 01:01:38,50 	one hydra soldier shoots several prisoners before being tackled to the ground.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS373 	01:07:32,00 --> 01:07:39,50 	the exit is on the other side of a chasm spanned by a thin metal beam.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS374 	01:07:36,00 --> 01:07:43,50 	on the roof, a bridge slides away from the aircraft which is shaped like an upright torpedo.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS626 	01:45:12,00 --> 01:45:19,50 	someone is gone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS654 	01:49:48,00 --> 01:49:54,50 	she picks up the classified file which is marked captain america,
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS666 	01:52:18,00 --> 01:52:28,50 	a moment later, their bodies fly through a false wall revealing the hospital room to be inside a warehouse.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS397 	00:37:08,00 --> 00:37:13,50 	the next page is blank as well as the pages after it.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1003 	01:37:43,00 --> 01:37:47,50 	one stumbles over sideways, soon both are lost in a white thundering plume of water.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1146 	01:49:13,00 --> 01:49:18,50 	he was 22 years old.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS358 	01:27:39,00 --> 01:27:53,50 	someone and another worker climb out from the grave which is filled with a long row of coffins.
DEAR_JOHN.srt 	DEAR_JOHN_DVS424 	01:03:47,00 --> 01:03:54,50 	rises and sets for both of us, is what helps me survive day to day.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS36 	00:02:41,00 --> 00:02:48,50 	mice are posed spinning hula-hoops and riding on a roundabout.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS37 	00:02:52,00 --> 00:03:02,50 	the man uses a gas lighter to light little balls that one of the bespectacled male mice is juggling.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS40 	00:03:10,00 --> 00:03:17,50 	two more mice are posed with their hands in each other's back pockets.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS42 	00:03:21,00 --> 00:03:30,50 	all the separate but identical mouse couples are revealed in their places on the diorama.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS47 	00:05:11,00 --> 00:05:19,50 	they enter a plush open-plan area at the end of which is a glass-walled boardroom,
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS48 	00:05:16,00 --> 00:05:21,50 	in which several executives are gathered.
