21_JUMP_STREET.srt 	21_JUMP_STREET_DVS210 	00:36:00,00 --> 00:36:05,50 	the coach's head becomes an ice cream cone.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS105 	00:17:32,00 --> 00:17:37,50 	day 27 becomes day 28.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS119 	00:24:30,00 --> 00:24:34,50 	day 28 becomes day 31
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS398 	01:10:31,00 --> 01:10:36,50 	the city becomes a grey, black and white drawing
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS469 	01:19:01,00 --> 01:19:08,50 	day 450 becomes days 456 to 476.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS514 	01:23:40,00 --> 01:23:44,50 	becoming serious, he stares at her.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS544 	01:30:28,00 --> 01:30:33,50 	day 500 becomes day 1.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS396 	00:56:25,00 --> 00:56:32,50 	the high mural becomes an animated depiction of slavery throughout world history.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS509 	01:11:39,00 --> 01:11:55,50 	our view zooms in on a red stain north of gettysburg which becomes a smoking field beneath an overcast sky.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS562 	01:18:45,00 --> 01:18:56,50 	it becomes a locomotive speeding along a track in the darkness.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS33 	00:09:10,00 --> 00:09:22,50 	as we peer out from the lobby through its glass doors, day becomes night.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS206 	00:32:48,00 --> 00:32:54,50 	part of his face becomes skeletal then morphs back.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS298 	00:46:01,00 --> 00:46:07,50 	his expression becomes flat and he stares out lifelessly.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS301 	00:46:21,00 --> 00:46:27,50 	the left side of someone's face becomes withered and wrinkled,
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS315 	00:47:46,00 --> 00:47:53,50 	he presses a hand to the man's face which becomes dark with rotting flesh.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS323 	00:48:54,00 --> 00:49:02,50 	someone glances at the passing landscape, his face becoming somber.
HUGO.srt 	HUGO_DVS52 	00:06:12,00 --> 00:06:22,50 	as he rapidly flips the pages, the drawings become an animation of the automaton turning its head.
HUGO.srt 	HUGO_DVS412 	01:01:03,00 --> 01:01:11,50 	the flipping pages become an animation of the dragon breathing fire.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS412 	01:17:32,00 --> 01:17:37,50 	someone sad face becomes someone's.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS64 	00:07:49,00 --> 00:07:56,50 	instructions on a cubicle wall read, "do not become emotionally involved."
KARATE_KID.srt 	KARATE_KID_DVS227 	00:19:50,00 --> 00:19:59,50 	our view slowly spins above him, and the circle becomes a peephole in their apartment door, marked 305.
KARATE_KID.srt 	KARATE_KID_DVS842 	01:09:39,00 --> 01:09:48,50 	now, a second sparkler dramatizing the puppets' kiss blurs to become sparks thrown by a welding torch in someone's grip.
