A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS34 	00:09:02,00 --> 00:09:06,50 	someone begins to quiver.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS182 	00:34:22,00 --> 00:34:27,50 	christian smiles, then begins to dance with him.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS183 	00:34:38,00 --> 00:34:44,50 	samantha frowns at someone, who begins to shimmy.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS402 	01:10:20,00 --> 01:10:25,50 	someone gazes up at the bare branches, then begins to cry.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS414 	01:12:05,00 --> 01:12:11,50 	someone picks up the book, sits against the base of the tree and begins to read.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS471 	01:21:07,00 --> 01:21:12,50 	someone looks up as it begins to rain.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS640 	01:30:19,00 --> 01:31:04,50 	more sparks fly as the train begins to slide backward.
BURLESQUE.srt 	BURLESQUE_DVS479 	01:06:18,00 --> 01:06:23,50 	a dance begins.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS178 	00:32:29,00 --> 00:32:34,50 	someone glances at someone, then begins to undress.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS618 	01:44:15,00 --> 01:44:28,50 	someone flings his shield, striking someone and smashing him into the energy mechanism which begins to spark and flicker with blue light.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS624 	01:44:53,00 --> 01:45:01,50 	an intensifying beam shoots out of the top of the cube and someone's fingers begin to smoke.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS47 	00:03:21,00 --> 00:03:27,50 	as a 15-foot wave begins to crest, he drops down through the face of it.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1102 	01:45:21,00 --> 01:45:26,50 	the foursome look patiently out to sea where another swell begins to build.
DEAR_JOHN.srt 	DEAR_JOHN_DVS434 	01:04:33,00 --> 01:04:47,50 	he kicks it under his cot as he begins to write a reply on a pad of paper.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS319 	01:17:59,00 --> 01:18:05,50 	he begins sweeping everything off his bench into the bin.
FLIGHT.srt 	FLIGHT_DVS101 	00:17:56,00 --> 00:18:04,50 	the yoke slips out of ken's hands as someone struggles to gain control, and the plane begins to dive.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS352 	01:33:38,00 --> 01:33:50,50 	patrons at the nearby tables begin to stare.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS214 	00:34:18,00 --> 00:34:45,50 	someone begins to change as he races through the warehouse's abandoned rooms.
HUGO.srt 	HUGO_DVS244 	00:35:01,00 --> 00:35:08,50 	a few more gears within the complicated mechanism begin to spin.
HUGO.srt 	HUGO_DVS346 	00:53:16,00 --> 00:53:23,50 	they rush back to the table as the automaton begins writing again.
HUGO.srt 	HUGO_DVS347 	00:53:20,00 --> 00:53:27,50 	moving its hand, it begins connecting the various shapes and scribbles together with lines.
HUGO.srt 	HUGO_DVS394 	00:59:43,00 --> 00:59:49,50 	someone sets a chair in front of the armoire and begins to climb onto it.
HUGO.srt 	HUGO_DVS567 	01:23:18,00 --> 01:23:24,50 	one rail begins to vibrate.
IN_TIME.srt 	IN_TIME_DVS555 	00:59:39,00 --> 00:59:47,50 	as her clock begins to count down, someone lifts her head off the pillow and gazes at it.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS41 	00:10:22,00 --> 00:10:30,50 	she begins to fiddle with a piece of equipment.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS308 	01:11:12,00 --> 01:11:19,50 	bradford stands and moves aside as someone begins applying someone's makeup.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS149 	00:19:05,00 --> 00:19:11,50 	someone crosses himself and prays as his family begins dining.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS500 	01:00:39,00 --> 01:00:43,50 	an egg begins to hatch.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS228 	00:54:39,00 --> 00:54:47,50 	someone sits up excitedly as the concert begins.
PROMETHEUS.srt 	PROMETHEUS_DVS977 	01:47:32,00 --> 01:47:38,50 	the upright ship begins to tip her way.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS389 	01:14:44,00 --> 01:14:59,50 	as the audience members settle their eyes back toward the front, the lights fade down and a new story begins.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS317 	01:16:32,00 --> 01:16:43,50 	turning on the spot as rain begins to fall upon the fields.
SANCTUM.srt 	SANCTUM_DVS560 	01:42:03,00 --> 01:42:08,50 	he begins to sink downward.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS540 	00:36:10,00 --> 00:36:16,50 	she dips a brush in ink, then begins to write on a fan spread open before her.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS561 	00:37:36,00 --> 00:37:41,50 	she opens it and begins to read.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS717 	00:47:10,00 --> 00:47:14,50 	someone begins to write.
SUPER_8.srt 	SUPER_8_DVS341 	01:01:29,00 --> 01:01:35,50 	both children turn as the white cube on someone's desk begins to vibrate.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS550 	01:16:32,00 --> 01:16:38,50 	someone salaad gestures to someone, who begins to sing.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS271 	00:52:11,00 --> 00:52:20,50 	closing her eyes, she begins to dance in front of someone.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS339 	01:06:17,00 --> 01:06:53,50 	taking an essay test he begins an answer with a mention of someone bacon and someone hockney.
