30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS97 	00:22:45,00 --> 00:22:49,50 	someone checks his wallet.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS179 	00:31:46,00 --> 00:31:51,50 	he pauses to check his look in a shop window.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS160 	00:14:44,00 --> 00:14:50,50 	in the truck, a dark-haired man checks the timer on his watch.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS363 	00:33:26,00 --> 00:33:33,50 	someone checks an ammo cartridge in the handle of a small switchblade.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS401 	00:37:00,00 --> 00:37:04,50 	someone checks the gun's chamber and clip, then holsters it in his waistband.
BAD_TEACHER.srt 	BAD_TEACHER_DVS207 	00:57:33,00 --> 00:57:43,50 	bathroom stall, yawning as she checks her cell phone.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS150 	00:24:04,00 --> 00:24:09,50 	he checks out beauties on the quad.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS439 	01:10:13,00 --> 01:10:19,50 	nearby, scratch and rembrandt check out girls.
BLINDDATING.srt 	BLINDDATING_DVS225 	00:55:33,00 --> 00:55:37,50 	he checks his list.
BLINDDATING.srt 	BLINDDATING_DVS324 	01:17:41,00 --> 01:17:48,50 	someone checks his eyes.
BRUNO.srt 	BRUNO_DVS78 	00:16:36,00 --> 00:16:41,50 	someone tilts his head, checking out someone's.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS223 	00:39:31,00 --> 00:39:41,50 	someone checks his rear-view mirror as he negotiates the bullet-ridden taxi down crowded city streets.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS228 	00:40:03,00 --> 00:40:09,50 	someone checks his rear-view mirror again as someone gains on him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS463 	00:44:59,00 --> 00:45:05,50 	stopping, someone exhales and checks his watch.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS639 	01:02:08,00 --> 01:02:13,50 	someone checks his wristwatch.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS872 	01:25:10,00 --> 01:25:16,50 	he curls in his finger, surfaces and checks his watch.
CHRONICLE.srt 	CHRONICLE_DVS148 	00:22:52,00 --> 00:22:56,50 	as she checks an item on a shelf.
CHRONICLE.srt 	CHRONICLE_DVS252 	00:37:44,00 --> 00:37:48,50 	someone checks his cellphone.
CHRONICLE.srt 	CHRONICLE_DVS285 	00:43:53,00 --> 00:43:57,50 	now, someone checks a tightrope.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS38 	00:08:23,00 --> 00:08:37,50 	he checks his fake tooth in a mirror rubbing it with a forefinger.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS278 	01:07:27,00 --> 01:07:33,50 	inside, someone walks to the door and checks the peephole.
COLOMBIANA.srt 	COLOMBIANA_DVS237 	00:20:00,00 --> 00:20:07,50 	in the corridor, her escort checks her watch then peers inside the restroom.
COLOMBIANA.srt 	COLOMBIANA_DVS409 	00:36:18,00 --> 00:36:22,50 	he checks on someone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS145 	00:35:08,00 --> 00:35:12,50 	he checks the phone's memory.
DISTRICT_9.srt 	DISTRICT_9_DVS46 	00:06:20,00 --> 00:06:25,50 	a worker checks a helicopter, and soldiers gear up.
FLIGHT.srt 	FLIGHT_DVS210 	00:47:38,00 --> 00:47:44,50 	he plugs in a charger, and checks his iphone.
FLIGHT.srt 	FLIGHT_DVS919 	01:49:22,00 --> 01:49:26,50 	someone checks the time.
FLIGHT.srt 	FLIGHT_DVS1106 	02:01:06,00 --> 02:01:13,50 	someone slips on her glasses and checks her notes, as someone glances at someone and someone.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS308 	01:21:13,00 --> 01:21:28,50 	she checks her cellphone.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS155 	01:27:14,00 --> 01:27:18,50 	she checks her cell.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS179 	01:39:48,00 --> 01:39:55,50 	someone checks a bedside clock.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS153 	00:23:48,00 --> 00:24:12,50 	she pauses by a car, checking its doors.
GREEN_ZONE.srt 	GREEN_ZONE_DVS38 	00:08:52,00 --> 00:08:57,50 	one guy checks out a stack of crates.
GREEN_ZONE.srt 	GREEN_ZONE_DVS235 	00:57:49,00 --> 00:57:57,50 	someone checks his watch.
