30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS208 	00:51:38,00 --> 00:51:42,50 	they climb out of the wreck.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS237 	00:56:24,00 --> 00:56:28,50 	someone climbs out.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS374 	01:07:58,00 --> 01:08:05,50 	expectations appears as a subtitle on a split screen as someone climbs the stairs.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS186 	00:16:35,00 --> 00:16:41,50 	someone climbs to his feet and jumps through the chaos.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS283 	00:24:31,00 --> 00:24:36,50 	climbing down, someone lands hard on his back.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS825 	01:22:20,00 --> 01:22:27,50 	someone continues sprinting up the stairs, as someone climbs into the cargo hold.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS54 	00:05:20,00 --> 00:05:25,50 	someone climbs down from the loft.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS74 	00:08:27,00 --> 00:08:34,50 	as someone heads inside, someone climbs up a ladder to the dock.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS415 	00:59:26,00 --> 00:59:31,50 	now as someone climbs into an attic.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS565 	01:18:59,00 --> 01:19:06,50 	he climbs back into the engine car where someone writes in his journal.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS608 	01:24:36,00 --> 01:25:32,50 	someone spots a vampire climbing on to the roof.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS609 	01:25:30,00 --> 01:25:49,50 	as someone climbs back onto the roof, someone hurls a knife.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS640 	01:30:19,00 --> 01:31:04,50 	as the remaining bridge buckles, the locomotive struggles to climb the increasingly inclined track.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS640 	01:30:19,00 --> 01:31:04,50 	just before it slips off the edge, the locomotive starts to climb the angled track.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS69 	00:10:55,00 --> 00:11:02,50 	he climbs out with his briefcase, sweeping his cautious gaze around the area.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS92 	00:13:32,00 --> 00:13:38,50 	the informant climbs out of his car.
