40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS76 	00:40:29,00 --> 00:40:39,50 	he closes his mouth and stuffs his hands in his pockets.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS307 	00:26:58,00 --> 00:27:07,50 	he quickly soars on to another highway, as the armored truck closes in.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS79 	00:21:22,00 --> 00:21:29,50 	he flips through its pages, glances around himself, then closes it.
BAD_TEACHER.srt 	BAD_TEACHER_DVS184 	00:51:58,00 --> 00:52:02,50 	she closes her lips.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS119 	00:16:25,00 --> 00:16:35,50 	someone shoots through the windshield, then jumps away as the suv closes in.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS280 	00:47:59,00 --> 00:48:06,50 	someone closes his magazine and extends his hand.
BRUNO.srt 	BRUNO_DVS112 	00:24:38,00 --> 00:24:43,50 	the middle-aged psychic closes his eyes.
BRUNO.srt 	BRUNO_DVS113 	00:24:49,00 --> 00:24:54,50 	someone closes his eyes, and strokes a leather collar.
BRUNO.srt 	BRUNO_DVS114 	00:25:16,00 --> 00:25:41,50 	with his eyes closed, he laps at the air.
BURLESQUE.srt 	BURLESQUE_DVS311 	00:43:27,00 --> 00:43:32,50 	she backs into his bedroom and closes the doors.
BURLESQUE.srt 	BURLESQUE_DVS724 	01:49:06,00 --> 01:49:10,50 	then closes it again.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS54 	00:07:46,00 --> 00:07:51,50 	the nazi officer closes the box's lid.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS240 	00:41:42,00 --> 00:41:54,50 	someone hops in to the single person sub and closes its canopy as the craft descends.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS372 	01:07:22,00 --> 01:07:34,50 	handing someone a set of keys, someone walks toward the aircraft as the elevator closes.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS594 	01:41:35,00 --> 01:41:44,50 	someone hops into the now empty cockpit and closes the canopy.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS640 	01:47:31,00 --> 01:47:36,50 	someone closes her eyes and smiles.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS553 	00:53:24,00 --> 00:53:29,50 	he shoves the money inside and closes it.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS127 	00:28:32,00 --> 00:28:42,50 	closing his eyes, he wraps his arms around her.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS372 	01:31:50,00 --> 01:31:54,50 	he closes the window blinds.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS375 	01:32:26,00 --> 01:32:30,50 	he closes the drapes.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS422 	01:42:02,00 --> 01:42:07,50 	someone closes the apartment door behind him.
COLOMBIANA.srt 	COLOMBIANA_DVS167 	00:14:53,00 --> 00:14:58,50 	the motorcyclist closes in.
COLOMBIANA.srt 	COLOMBIANA_DVS783 	01:15:44,00 --> 01:15:51,50 	as she lays her head on the old woman's shoulder, mama nuzzles against her and closes her eyes.
COLOMBIANA.srt 	COLOMBIANA_DVS978 	01:33:58,00 --> 01:34:03,50 	someone closes himself inside.
COLOMBIANA.srt 	COLOMBIANA_DVS1002 	01:35:31,00 --> 01:35:38,50 	someone squeezes his eyes closed as her bullets hit the floor near his feet.
DEAR_JOHN.srt 	DEAR_JOHN_DVS383 	01:00:09,00 --> 01:00:13,50 	with a wistful look, she closes her eyes.
DEAR_JOHN.srt 	DEAR_JOHN_DVS434 	01:04:33,00 --> 01:04:47,50 	then closes the lid.
DEAR_JOHN.srt 	DEAR_JOHN_DVS445 	01:05:29,00 --> 01:05:36,50 	she closes her eyes regretfully.
DEAR_JOHN.srt 	DEAR_JOHN_DVS559 	01:18:23,00 --> 01:18:32,50 	someone closes the envelopes flap, and tucks the letter against the side of his body.
DEAR_JOHN.srt 	DEAR_JOHN_DVS777 	01:41:51,00 --> 01:41:56,50 	and blissfully closes her eyes.
