500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS252 	00:47:22,00 --> 00:47:27,50 	he continues down the many flights of wooden stairs.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS331 	01:01:06,00 --> 01:01:11,50 	someone continues glumly down the train.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS492 	01:20:43,00 --> 01:20:51,50 	nighttime traffic continues to blur through the city at super speed.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS137 	00:13:07,00 --> 00:13:13,50 	fixing his suit jacket he continues downstairs.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS143 	00:13:26,00 --> 00:13:32,50 	the black sedans continue in an evenly spaced line.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS148 	00:13:54,00 --> 00:14:01,50 	the prisoners continue through two lines of darkly clad armed guards.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS156 	00:14:27,00 --> 00:14:34,50 	from overhead, the three black sedans round the corner and continue down a one-way street.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS181 	00:16:10,00 --> 00:16:17,50 	the three sedans remain still as the court session continues inside.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS206 	00:17:46,00 --> 00:17:51,50 	they continue searching as the masked brunette enters.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS260 	00:22:36,00 --> 00:22:49,50 	the chase continues on a narrow street between two rows of cars parked on an angle.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS273 	00:23:33,00 --> 00:23:37,50 	he continues down an onramp.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS301 	00:26:23,00 --> 00:26:31,50 	ramping off the end, someone continues on top of more tractor-trailers stuck in standstill traffic.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS305 	00:26:50,00 --> 00:26:57,50 	speeds away from the halted traffic and continues the pursuit.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS525 	00:50:56,00 --> 00:51:08,50 	someone retreats from the ballroom, as someone and someone continue their barrage.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS807 	01:20:41,00 --> 01:20:47,50 	inside, the hoses continue releasing gas.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS880 	01:25:50,00 --> 01:26:00,50 	someone continues to the opposite side.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS93 	00:10:27,00 --> 00:10:33,50 	he lingers for a moment then continues on.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS404 	00:58:27,00 --> 00:58:39,50 	it loses a wheel as it speeds out, but continues down the dirt path.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS238 	00:38:49,00 --> 00:38:53,50 	the guard continues dancing.
BURLESQUE.srt 	BURLESQUE_DVS55 	00:05:22,00 --> 00:05:30,50 	later still, she xs out two more ads for singers and dancers as she continues down the boulevard.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS607 	01:43:30,00 --> 01:43:36,50 	now in free fall, the two men continue to fight as they float weightlessly.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS636 	01:46:50,00 --> 01:46:56,50 	someone continues to stare at the photo as the plane descends.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS914 	01:29:37,00 --> 01:29:44,50 	now, a wave several stories tall fills our view as it continues to gather mass.
DISTRICT_9.srt 	DISTRICT_9_DVS719 	01:25:00,00 --> 01:25:10,50 	someone continues.
DISTRICT_9.srt 	DISTRICT_9_DVS722 	01:25:16,00 --> 01:25:21,50 	the gunfight outside continues.
DISTRICT_9.srt 	DISTRICT_9_DVS792 	01:33:52,00 --> 01:33:56,50 	continuing their assault.
DISTRICT_9.srt 	DISTRICT_9_DVS826 	01:37:23,00 --> 01:37:39,50 	hundreds of feet above, the command module continues its steady ascent.
DISTRICT_9.srt 	DISTRICT_9_DVS833 	01:38:11,00 --> 01:38:18,50 	on his belly, someone continues doggedly through a patch of yellow weeds.
DISTRICT_9.srt 	DISTRICT_9_DVS864 	01:43:37,00 --> 01:43:51,50 	district 10 now houses 2.5 million aliens and continues to grow.
FLIGHT.srt 	FLIGHT_DVS660 	01:29:39,00 --> 01:29:45,50 	she ends a call, and continues packing her things in the bedroom.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS39 	00:25:06,00 --> 00:25:12,50 	someone stalks off as someone continues to grin.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS186 	00:29:46,00 --> 00:30:06,50 	someone and someone both stare then continue the chase.
IN_TIME.srt 	IN_TIME_DVS731 	01:17:58,00 --> 01:18:06,50 	the run around the corner of a chain link fence and continue behind a solid wall.
INSIDE_MAN.srt 	INSIDE_MAN_DVS262 	01:20:43,00 --> 01:21:07,50 	the detective continues onward.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS145 	00:48:01,00 --> 00:48:09,50 	she waves back and someone continues to his car.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS177 	00:55:56,00 --> 00:56:05,50 	she manages a brief tearful smile and continues.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS79 	00:17:42,00 --> 00:17:47,50 	someone continues his call in the kitchen.
KARATE_KID.srt 	KARATE_KID_DVS27 	00:02:43,00 --> 00:02:48,50 	vanishing from view, as the van continues onward.
KARATE_KID.srt 	KARATE_KID_DVS121 	00:11:08,00 --> 00:11:13,50 	the maintenance men continue to stare.
KARATE_KID.srt 	KARATE_KID_DVS544 	00:49:04,00 --> 00:49:10,50 	someone continues to clean his dingy workroom.
KARATE_KID.srt 	KARATE_KID_DVS856 	01:10:33,00 --> 01:10:38,50 	as he continues the routine, someone strolls outside with a mug.
KARATE_KID.srt 	KARATE_KID_DVS951 	01:17:53,00 --> 01:18:02,50 	someone continues up without breaking his stride.
KARATE_KID.srt 	KARATE_KID_DVS1314 	01:46:02,00 --> 01:46:28,50 	back in the courtyard, the pupil and teacher continue to spar.
KARATE_KID.srt 	KARATE_KID_DVS1408 	01:53:35,00 --> 01:53:52,50 	as the match continues, the fighting someone wraps his legs around his opponent's neck, and swings him to the mat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS160 	00:21:37,00 --> 00:21:42,50 	someone continues into a caged area.
