21_JUMP_STREET.srt 	21_JUMP_STREET_DVS671 	01:41:40,00 --> 01:41:45,50 	she cracks a smile.
CHRONICLE.srt 	CHRONICLE_DVS379 	00:58:05,00 --> 00:58:09,50 	he cracks his knuckles.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS159 	00:28:34,00 --> 00:28:38,50 	she cracks an egg into the water.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS204 	00:47:12,00 --> 00:47:16,50 	now someone cracks an egg.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS154 	00:54:39,00 --> 00:54:47,50 	daytime, someone peers out the cracked open door of the guest bedroom while on his cell.
SALT.srt 	SALT_DVS288 	00:50:38,00 --> 00:50:56,50 	in the crypt, a door cracks open and someone peeks out.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS546 	00:36:33,00 --> 00:36:39,50 	someone spies on him from a cracked open door.
SPARKLE_2012.srt 	SPARKLE_2012_DVS565 	01:33:17,00 --> 01:33:21,50 	someone cracks a smile.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS570 	01:19:01,00 --> 01:19:06,50 	the lenses of someone salaad's eyeglasses crack.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS80 	00:18:10,00 --> 00:18:20,50 	he cracks a smile.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1174 	02:05:28,00 --> 02:05:34,50 	someone studies his prisoner, cracking a subtle smile.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS33 	00:09:42,00 --> 00:09:45,50 	he cracks his knuckles.
THE_VOW.srt 	THE_VOW_DVS248 	00:31:15,00 --> 00:31:19,50 	someone cracks up.
THE_VOW.srt 	THE_VOW_DVS463 	01:06:38,00 --> 01:06:42,50 	they both crack up.
THOR.srt 	THOR_DVS660 	01:39:09,00 --> 01:39:15,50 	he swings his hammer down upon the bridge, cracking it.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS708 	01:03:58,00 --> 01:04:06,50 	in the atrium, someone stomps his foot and a glowing pulse of energy cracks the floor underneath.
