21_JUMP_STREET.srt 	21_JUMP_STREET_DVS67 	00:07:35,00 --> 00:07:40,50 	a fat bearded biker crosses the bridge.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS20 	00:03:47,00 --> 00:03:53,50 	the mustang crosses a truss bridge over a river.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS118 	00:31:06,00 --> 00:31:12,50 	he crosses to a window and spots a van outside.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS142 	00:38:22,00 --> 00:38:29,50 	someone crosses to a counter and peeks inside a green bag.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS159 	00:41:56,00 --> 00:42:04,50 	now someone sprints across a bridge, crossing the river in his buttoned up green army jacket.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS213 	00:52:13,00 --> 00:52:17,50 	they cross the street.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS221 	00:53:48,00 --> 00:53:52,50 	they cross the street.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS298 	01:07:27,00 --> 01:07:34,50 	he searches a workbench, then crosses the room and ransacks a bookshelf.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS433 	00:42:00,00 --> 00:42:07,50 	they cross a brief red-carpeted lobby.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS529 	00:51:18,00 --> 00:51:26,50 	inside the hotel, someone and someone jump over the bar and cross the hazy room.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS227 	00:44:13,00 --> 00:44:17,50 	he crosses his heart.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS315 	00:57:15,00 --> 00:57:19,50 	someone crosses his hands over his chest.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS181 	00:24:35,00 --> 00:24:43,50 	he crosses the floor between two service counters quickening his pace as he nears the back.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS314 	00:45:43,00 --> 00:45:55,50 	as someone crosses to the dark haired woman, a dazed someone rises to his feet but struggles to maintain his balance.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS331 	00:47:24,00 --> 00:47:30,50 	now through a downpour, the tall, young man crosses a street.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS483 	01:07:50,00 --> 01:07:58,50 	someone crosses to his lifelong friend and drapes his jacket around his shoulders.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS621 	01:27:25,00 --> 01:27:35,50 	he tosses the rock and crosses to another crate.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS634 	01:29:31,00 --> 01:29:41,50 	emerging from thick smoke, he crosses the support structure and kicks out a beam.
BAD_TEACHER.srt 	BAD_TEACHER_DVS187 	00:52:39,00 --> 00:52:46,50 	she crosses out fucking.
BLINDDATING.srt 	BLINDDATING_DVS150 	00:40:19,00 --> 00:40:29,50 	she crosses the grass to him.
BLINDDATING.srt 	BLINDDATING_DVS267 	01:05:37,00 --> 01:05:47,50 	later, crossing to the waiting room doors, someone stumbles on a toy dump truck.
BLINDDATING.srt 	BLINDDATING_DVS284 	01:11:03,00 --> 01:11:20,50 	a laser dot crosses an x-ray of someone's skull and dr.
BLINDDATING.srt 	BLINDDATING_DVS322 	01:17:28,00 --> 01:17:36,50 	a hint of a smile crosses his lips.
BLINDDATING.srt 	BLINDDATING_DVS337 	01:20:43,00 --> 01:20:49,50 	a little smile briefly crosses someone's lips.
BURLESQUE.srt 	BURLESQUE_DVS54 	00:05:18,00 --> 00:05:25,50 	the blonde enters another building, then exits and crosses off the ad in her paper.
BURLESQUE.srt 	BURLESQUE_DVS655 	01:41:18,00 --> 01:41:25,50 	inside someone crosses a dim hallway adorned with memorabilia.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS458 	00:44:32,00 --> 00:44:38,50 	at home, he crosses week two off his maverick's chart.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS559 	00:53:55,00 --> 00:54:02,50 	later, he crosses week four off the chart and colors the breath-holding graph just under two minutes.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS921 	01:30:12,00 --> 01:30:18,50 	crossing the room, he flips open the lid and dumps out its contents.
CHRONICLE.srt 	CHRONICLE_DVS281 	00:43:16,00 --> 00:43:21,50 	someone starts to cross the stage with the cards.
CHRONICLE.srt 	CHRONICLE_DVS290 	00:44:18,00 --> 00:44:24,50 	with small heel-toe steps, he crosses the rope nimbly.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS169 	00:36:06,00 --> 00:36:22,50 	in her sweater and scarf, someone crosses the snow to an alcove between buildings.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS189 	00:39:55,00 --> 00:40:03,50 	men and women in elegant attire carry wrapped presents as they cross from under an awning to a rolls royce.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS276 	01:06:50,00 --> 01:07:20,50 	someone crosses a carpet to a residential building's posh entry.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS323 	01:20:42,00 --> 01:21:11,50 	the bulldog grins, blood trickling from his mouth as he crosses the ring.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS374 	01:32:16,00 --> 01:32:22,50 	scowling, someone's manager watches mills cross the room.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS405 	01:38:03,00 --> 01:38:10,50 	winks as he crosses the room with a group of well-dressed friends.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS413 	01:40:23,00 --> 01:40:30,50 	a smile crosses his face.
COLOMBIANA.srt 	COLOMBIANA_DVS291 	00:24:16,00 --> 00:24:22,50 	she crosses to the girl and kneels before her.
COLOMBIANA.srt 	COLOMBIANA_DVS444 	00:39:15,00 --> 00:39:22,50 	crossing to the roof's edge, she leaps over and grabs onto a pipe just beneath the other side.
COLOMBIANA.srt 	COLOMBIANA_DVS484 	00:42:58,00 --> 00:43:04,50 	she discreetly brushes her hair over her face as she crosses the polished floor.
COLOMBIANA.srt 	COLOMBIANA_DVS513 	00:46:42,00 --> 00:46:50,50 	she pauses, most of her hair tucked under a hat and her features disguised by large sunglasses pushing them up on her nose, she crosses the sunny atrium.
COLOMBIANA.srt 	COLOMBIANA_DVS522 	00:47:12,00 --> 00:47:19,50 	she eats some with her hands as she crosses to a complex media console
DEAR_JOHN.srt 	DEAR_JOHN_DVS296 	00:45:55,00 --> 00:46:24,50 	a horse-drawn cart, a woman on a bicycle, and a man on a scooter crosses path.
DEAR_JOHN.srt 	DEAR_JOHN_DVS392 	01:00:45,00 --> 01:00:51,50 	as the couple draws closer, a grin crosses someone's face.
DISTRICT_9.srt 	DISTRICT_9_DVS285 	00:31:53,00 --> 00:32:13,50 	now he crosses the office floor.
DISTRICT_9.srt 	DISTRICT_9_DVS548 	01:04:39,00 --> 01:04:44,50 	someone crosses a dirt road.
DISTRICT_9.srt 	DISTRICT_9_DVS604 	01:11:04,00 --> 01:11:07,50 	they cross the lab.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS324 	01:26:30,00 --> 01:26:35,50 	at night, someone cries as she crosses a street.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS391 	01:42:39,00 --> 01:42:46,50 	someone and someone cross the street to pershing square central cafe and have their date.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS55 	00:09:50,00 --> 00:09:56,50 	now pedestrians cross a bustling town square.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS109 	00:17:47,00 --> 00:18:11,50 	our vision doubles as the thug's eyes cross and he sinks down.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS594 	01:25:29,00 --> 01:25:47,50 	in the light of a high bright sun, ghost rider crosses his arms over his chest.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS618 	01:27:42,00 --> 01:27:48,50 	someone crosses a protective arm over her son.
GREEN_ZONE.srt 	GREEN_ZONE_DVS25 	00:07:10,00 --> 00:07:14,50 	the warehouse and cross over to the alley.
GREEN_ZONE.srt 	GREEN_ZONE_DVS118 	00:28:27,00 --> 00:28:31,50 	the pickup crosses to a dirty
GREEN_ZONE.srt 	GREEN_ZONE_DVS348 	01:18:48,00 --> 01:19:14,50 	someone crosses another intersection, his gaze searching for a visual on the stranger.
GREEN_ZONE.srt 	GREEN_ZONE_DVS416 	01:32:14,00 --> 01:32:23,50 	the general and his aide cross a dim alcove and disappear through a bead curtain doorway.
GROWN_UPS.srt 	GROWN_UPS_DVS76 	00:22:15,00 --> 00:22:21,50 	she crosses the porch.
GROWN_UPS.srt 	GROWN_UPS_DVS206 	00:56:33,00 --> 00:56:39,50 	someone crosses to his beaming wife.
HUGO.srt 	HUGO_DVS437 	01:03:43,00 --> 01:03:49,50 	later, he crosses a cobble-stoned street near a statue of a lion.
IN_TIME.srt 	IN_TIME_DVS99 	00:10:48,00 --> 00:10:58,50 	now, in a large abandoned space, someone shoves the stranger onto a leather bench, then crosses to a wall of dirty broken windows.
INSIDE_MAN.srt 	INSIDE_MAN_DVS48 	00:13:06,00 --> 00:13:19,50 	a brunette woman clad in pastels acknowledges a valet as she crosses toward a lone figure at a full-length window.
INSIDE_MAN.srt 	INSIDE_MAN_DVS336 	01:37:35,00 --> 01:37:41,50 	cross the alcove to the safety deposit room.
INSIDE_MAN.srt 	INSIDE_MAN_DVS368 	01:46:43,00 --> 01:46:59,50 	now, he descends a half moon spiral staircase, crossing a floors elevator lobby to another flight.
IRON_MAN_2.srt 	IRON_MAN_2_DVS635 	01:47:48,00 --> 01:47:56,50 	someone crosses his wrists and fires a repulsor beam which swivels, hits the remaining drones, and slices a tree in half.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS41 	00:10:22,00 --> 00:10:30,50 	in a doctor's examining room, someone crosses her jittery legs.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS55 	00:16:08,00 --> 00:16:12,50 	later, they cross the hotel lobby.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS204 	01:01:23,00 --> 01:01:30,50 	he dashes away, hiding his face with his hand he crosses toward the reception desk.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS379 	01:46:28,00 --> 01:46:38,50 	now at someone's architecture firm, someone enters and crosses the bustling floor to someone's office.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS393 	01:50:01,00 --> 01:50:07,50 	someone crosses the walkway, sets down her purse,
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS495 	01:34:46,00 --> 01:34:52,50 	now, someone and someone cross a train station.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS499 	01:36:23,00 --> 01:36:29,50 	with open arms, the two cross the floor and embrace.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS103 	00:38:37,00 --> 00:38:45,50 	in slow motion, someone, someone and the kids try to cross the parking lot.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS134 	00:47:56,00 --> 00:48:15,50 	someone and someone check her out as they cross the sand.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS150 	00:57:22,00 --> 00:57:29,50 	now as all six of them cross a rope bridge, a family of four spots them from below.
