ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS397 	00:57:01,00 --> 00:57:06,50 	he crouches beside someone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS476 	01:07:17,00 --> 01:07:24,50 	then crouches at his toys.
BLINDDATING.srt 	BLINDDATING_DVS291 	01:12:30,00 --> 01:12:40,50 	someone crouches down beside a conscious someone as dr.
BRUNO.srt 	BRUNO_DVS64 	00:13:35,00 --> 00:13:39,50 	he crouches on all fours.
BURLESQUE.srt 	BURLESQUE_DVS512 	01:10:47,00 --> 01:10:58,50 	the doorman crouches between them.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS244 	00:19:07,00 --> 00:19:13,50 	crouched in nearby brush, someone creeps closer.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS424 	00:40:02,00 --> 00:40:06,50 	they crouch down together.
COLOMBIANA.srt 	COLOMBIANA_DVS319 	00:27:57,00 --> 00:28:01,50 	he crouches before the girl.
DISTRICT_9.srt 	DISTRICT_9_DVS741 	01:27:27,00 --> 01:27:47,50 	someone crouches with his men between two shacks.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS95 	00:14:51,00 --> 00:14:56,50 	someone crouches beside someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS505 	01:12:55,00 --> 01:13:03,50 	he peeks around a corner then crouches with his partner.
IN_TIME.srt 	IN_TIME_DVS77 	00:08:48,00 --> 00:08:54,50 	crouching at a toilet, the rich man vomits.
IN_TIME.srt 	IN_TIME_DVS133 	00:15:22,00 --> 00:15:27,50 	someone creeps over to someone and crouches at his side.
KARATE_KID.srt 	KARATE_KID_DVS360 	00:32:10,00 --> 00:32:17,50 	someone maintains his slumbering charade as she crouches beside him.
KARATE_KID.srt 	KARATE_KID_DVS497 	00:44:33,00 --> 00:44:38,50 	someone crouches to someone.
KARATE_KID.srt 	KARATE_KID_DVS1429 	01:55:48,00 --> 01:55:59,50 	the fighting someone finally crouches into a ready stance, then flails wildly at someone.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS163 	00:46:27,00 --> 00:46:32,50 	she crouches in front of one boy.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS92 	00:30:04,00 --> 00:30:13,50 	with wide eyes, he crouches down in front of the mysterious package.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS164 	00:22:28,00 --> 00:22:34,50 	someone crouches before the gate with someone kneeling behind.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS996 	01:37:56,00 --> 01:38:02,50 	he crouches down and ties it around a thick root.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS123 	00:45:23,00 --> 00:45:36,50 	he crouches then inspects someone's hidden bag.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS87 	00:13:14,00 --> 00:13:21,50 	eyeing the penguin he cautiously crouches down and pokes its white chest.
PROMETHEUS.srt 	PROMETHEUS_DVS911 	01:40:45,00 --> 01:40:51,50 	now the engineer crouches over the holographic orb.
PROMETHEUS.srt 	PROMETHEUS_DVS1052 	01:54:38,00 --> 01:54:43,50 	someone crouches over his head.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS481 	01:31:11,00 --> 01:31:17,50 	lead agent doffs his hat and crouches down to his fading colleague.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS269 	01:04:49,00 --> 01:04:57,50 	backs away and crouches at a wooden cage.
