21_JUMP_STREET.srt 	21_JUMP_STREET_DVS90 	00:11:53,00 --> 00:12:00,50 	so does an asian woman with bleached hair.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS229 	00:38:15,00 --> 00:38:21,50 	in the band room someone does kung fu moves with a cymbal in each hand.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS274 	00:47:43,00 --> 00:47:48,50 	they each do a shot.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS320 	00:53:48,00 --> 00:53:56,50 	someone and someone swap uneasy looks as someone does a weird humping dance with the nerd.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS356 	00:59:18,00 --> 00:59:23,50 	"don't wait up.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS100 	00:23:22,00 --> 00:23:27,50 	someone does some clumsy jump kicks.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS79 	00:41:00,00 --> 00:41:06,50 	someone does the same.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS45 	00:03:21,00 --> 00:03:25,50 	the girl does a cartwheel.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS92 	00:13:21,00 --> 00:13:26,50 	he rubs out what he's done so far on the new picture.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS102 	00:16:25,00 --> 00:16:29,50 	but she doesn't even glance in his direction.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS165 	00:30:28,00 --> 00:30:32,50 	we don't make fancy quality, we make true every day quality".
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS246 	00:46:12,00 --> 00:46:16,50 	with an ice pack to his cheek, someone doesn't know what to say.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS539 	01:27:50,00 --> 01:27:54,50 	they don't acknowledge one another.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS354 	00:50:41,00 --> 00:50:48,50 	someone stands nearby, as do several masked vampires.
BAD_TEACHER.srt 	BAD_TEACHER_DVS258 	01:09:53,00 --> 01:10:00,50 	by her pet tortoise at home, someone does sit-ups with an ab roller.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS190 	00:32:08,00 --> 00:32:13,50 	one pirouettes, the other does a high kick.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS251 	00:42:09,00 --> 00:42:14,50 	the girls rise to their feet, someone does the same.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS299 	00:49:36,00 --> 00:49:45,50 	as they lie on the floor, someone does one arm push-ups.
BLINDDATING.srt 	BLINDDATING_DVS186 	00:48:17,00 --> 00:48:23,50 	below him, someone does bench presses.
BRUNO.srt 	BRUNO_DVS239 	01:05:41,00 --> 01:05:49,50 	now, a voluptuous woman does reverse cowgirl with a red-haired guy.
BRUNO.srt 	BRUNO_DVS268 	01:16:23,00 --> 01:16:29,50 	someone does a little dance.
BURLESQUE.srt 	BURLESQUE_DVS103 	00:12:37,00 --> 00:12:42,50 	as someone does the dancer's hair, the blonde approaches.
BURLESQUE.srt 	BURLESQUE_DVS514 	01:10:58,00 --> 01:11:07,50 	one does a handstand and wraps her thighs around the doorman.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS189 	00:14:42,00 --> 00:14:48,50 	now, he does a floater, riding along the top of the curl.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS455 	00:44:13,00 --> 00:44:18,50 	at home, someone does push-ups.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS641 	01:02:14,00 --> 01:02:19,50 	lifting his contented gaze, the teen does a double take.
CHRONICLE.srt 	CHRONICLE_DVS205 	00:30:11,00 --> 00:30:17,50 	someone does a high, rapid back flip, and slams to the ground.
CHRONICLE.srt 	CHRONICLE_DVS292 	00:44:27,00 --> 00:44:31,50 	he does turns.
COLOMBIANA.srt 	COLOMBIANA_DVS157 	00:14:02,00 --> 00:14:08,50 	then passes a row of women doing laundry in plastic tubs.
DEAR_JOHN.srt 	DEAR_JOHN_DVS507 	01:13:51,00 --> 01:13:55,50 	someone doesn't budge.
DEAR_JOHN.srt 	DEAR_JOHN_DVS773 	01:41:38,00 --> 01:41:43,50 	noticing her, he does a double take,
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS87 	00:19:40,00 --> 00:19:45,50 	but done with stuffed mice.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS234 	00:58:40,00 --> 00:58:46,50 	someone opens his eyes but doesn't see someone is behind him.
DISTRICT_9.srt 	DISTRICT_9_DVS121 	00:14:12,00 --> 00:14:22,50 	i don't live here.
DISTRICT_9.srt 	DISTRICT_9_DVS472 	00:54:45,00 --> 00:54:50,50 	you, what do you want?
DISTRICT_9.srt 	DISTRICT_9_DVS512 	00:59:47,00 --> 00:59:52,50 	the transformation is accelerating, you do not have much time.
EASY_A.srt 	EASY_A_DVS168 	00:53:44,00 --> 00:53:52,50 	micah does the same.
EASY_A.srt 	EASY_A_DVS309 	01:27:33,00 --> 01:27:38,50 	someone raises an arm victoriously, and so does someone.
FLIGHT.srt 	FLIGHT_DVS591 	01:21:22,00 --> 01:21:27,50 	someone does not raise his hand, crosses his arms.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS153 	00:23:48,00 --> 00:24:12,50 	they don't budge.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS200 	00:32:20,00 --> 00:32:28,50 	i don't want these idiots robbing me.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS428 	01:01:46,00 --> 01:01:51,50 	"take them away until the thing is done."
HUGO.srt 	HUGO_DVS111 	00:14:40,00 --> 00:14:48,50 	hurrying his pace, he falls in step beside the man - who doesn't acknowledge someone's presence.
IN_TIME.srt 	IN_TIME_DVS33 	00:03:58,00 --> 00:04:02,50 	her clock doesn't move.
IN_TIME.srt 	IN_TIME_DVS147 	00:16:04,00 --> 00:16:09,50 	"don't waste my time."
INSIDE_MAN.srt 	INSIDE_MAN_DVS108 	00:33:04,00 --> 00:33:12,50 	we never leave until the job is done.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS157 	00:31:49,00 --> 00:31:53,50 	someone does a raise the roof dance.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS208 	00:40:25,00 --> 00:40:31,50 	his suv hits a postal box and does a 360.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS261 	00:52:04,00 --> 00:52:08,50 	he does a head spin.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS263 	00:52:12,00 --> 00:52:19,50 	she does an awkward dance, patting her elbows then shimmies her ample bosom.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS266 	00:52:23,00 --> 00:52:28,50 	she does a cossack dance, kicking out one foot at a time.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS369 	01:08:42,00 --> 01:08:46,50 	they do shots.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS449 	01:22:59,00 --> 01:23:07,50 	now green and done up in topiary hearts.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS64 	00:07:49,00 --> 00:07:56,50 	instructions on a cubicle wall read, "do not become emotionally involved."
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS168 	00:30:38,00 --> 00:30:47,50 	i still don't understand why you're doing this.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS168 	00:30:38,00 --> 00:30:47,50 	i still don't understand why you're doing this.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS581 	01:54:35,00 --> 01:54:43,50 	someone does the same.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS20 	00:05:00,00 --> 00:05:06,50 	p.s, thanks for not beating me like my wife does.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS240 	01:24:11,00 --> 01:24:15,50 	he does cpr.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS259 	01:27:23,00 --> 01:27:34,50 	she shrugs her shoulders, then does a break dancing arm wave, and stops facing someone.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS263 	01:28:08,00 --> 01:28:16,50 	someone does the same, until someone does an aerial cartwheel, twirls and drops into a split.
