21_JUMP_STREET.srt 	21_JUMP_STREET_DVS418 	01:10:47,00 --> 01:10:59,50 	someone observes an instruction card, before you drive fasten seatbelt, check mirrors, hands on ten and two.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS442 	01:13:23,00 --> 01:13:29,50 	they drive off in her pink volkswagen beetle toward a bridge.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS18 	00:03:39,00 --> 00:03:46,50 	now the mustang drives an empty road lined with abandoned warehouses.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS134 	00:37:27,00 --> 00:37:35,50 	the mustang drives off.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS355 	01:17:59,00 --> 01:18:05,50 	as the mustang drives away, the picture cuts to black.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS179 	01:28:21,00 --> 01:28:27,50 	now someone drives someone in her mother's car.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS233 	00:43:32,00 --> 00:43:37,50 	they have fun chatting as they drive through the sunny city.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS234 	00:43:41,00 --> 00:43:45,50 	they drive into a tunnel.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS243 	00:20:10,00 --> 00:20:24,50 	someone eyes the truck in his rear view mirror as he drives over a cobblestone courtyard.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS257 	00:22:23,00 --> 00:22:30,50 	reversing, someone whips around and drives off with a determined stare.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS302 	00:26:37,00 --> 00:26:44,50 	he drives out of a gravel truck and onto the tops of civilian cars.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS329 	00:29:12,00 --> 00:29:18,50 	meanwhile, someone drives the van with a weary glare.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS589 	01:00:15,00 --> 01:00:21,50 	now they drive on a rain slicked country road in a maybach.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS855 	01:24:17,00 --> 01:24:24,50 	someone drives the truck out of the cargo hold, tilting the chopper's nose upward.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS152 	00:30:19,00 --> 00:30:26,50 	a car drives over the man's cane, snapping it in half.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS309 	00:44:42,00 --> 00:45:03,50 	he slashes a second attacker's kicking leg, then drives his blade through the vampire's palm and flips him onto his back.
BAD_TEACHER.srt 	BAD_TEACHER_DVS191 	00:53:10,00 --> 00:53:21,50 	while driving someone lights a joint, then eats a cheeseburger.
BRUNO.srt 	BRUNO_DVS76 	00:16:23,00 --> 00:16:27,50 	now, they drive off.
BURLESQUE.srt 	BURLESQUE_DVS497 	01:09:17,00 --> 01:09:22,50 	now he drives someone in his vintage convertible.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS512 	01:32:03,00 --> 01:32:09,50 	several hydra troopers on motorcycles drive onto the road behind him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS573 	01:39:18,00 --> 01:39:26,50 	someone drives past the propellers.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS52 	00:03:41,00 --> 00:03:48,50 	the man drives them along a coastal road in his boxy white van.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS323 	00:28:09,00 --> 00:28:15,50 	as someone drives away, a grin spreads across someone's features.
CHRONICLE.srt 	CHRONICLE_DVS20 	00:02:45,00 --> 00:02:49,50 	later, they drive past a forest.
CHRONICLE.srt 	CHRONICLE_DVS145 	00:22:38,00 --> 00:22:44,50 	now, they drive through a shopping center's parking lot.
COLOMBIANA.srt 	COLOMBIANA_DVS785 	01:15:51,00 --> 01:15:55,50 	later, he drives mama.
COLOMBIANA.srt 	COLOMBIANA_DVS969 	01:33:23,00 --> 01:33:30,50 	it continues to reverse, driving over the mercedes's hood and crushing it.
DEAR_JOHN.srt 	DEAR_JOHN_DVS76 	00:10:46,00 --> 00:10:52,50 	later they drive.
DEAR_JOHN.srt 	DEAR_JOHN_DVS218 	00:34:23,00 --> 00:34:29,50 	his image recedes as she drives away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS602 	01:23:19,00 --> 01:23:26,50 	now, the soldier drives his car with a stoic frown.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS277 	01:09:49,00 --> 01:09:53,50 	she drives away.
EASY_A.srt 	EASY_A_DVS136 	00:43:05,00 --> 00:43:11,50 	a chubby guy drives off behind her.
EASY_A.srt 	EASY_A_DVS311 	01:27:42,00 --> 01:27:48,50 	they drive onward, keeping their fists in the air.
FLIGHT.srt 	FLIGHT_DVS355 	00:58:16,00 --> 00:58:20,50 	he drives with groggy eyed.
FLIGHT.srt 	FLIGHT_DVS683 	01:32:33,00 --> 01:32:37,50 	the van drives off.
FLIGHT.srt 	FLIGHT_DVS772 	01:37:18,00 --> 01:37:24,50 	some reporters spot him, so he reverses and drives back onto the main road.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS72 	00:11:43,00 --> 00:11:54,50 	they drive away.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS194 	00:30:37,00 --> 00:30:54,50 	now someone rides shotgun and his henchman drives the hippy-dippy vehicle.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS246 	00:39:10,00 --> 00:39:20,50 	the missile drives him high into the sky.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS265 	00:41:36,00 --> 00:41:41,50 	someone drives off with someone in the flatbed truck.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS566 	01:21:18,00 --> 01:21:51,50 	he drives his fist through the cracks, shattering the windshield.
GREEN_ZONE.srt 	GREEN_ZONE_DVS190 	00:49:09,00 --> 00:49:16,50 	now the white jeep splashes through a puddle as it drives down a desolate road.
GREEN_ZONE.srt 	GREEN_ZONE_DVS330 	01:14:31,00 --> 01:14:45,50 	the vehicles drive onward through the shadows then slow to a stop.
HUGO.srt 	HUGO_DVS808 	01:57:45,00 --> 01:57:59,50 	a carriage drives into the mouth of a volcano spewing smoke and embers.
IN_TIME.srt 	IN_TIME_DVS248 	00:25:29,00 --> 00:25:43,50 	now, the luxury vehicle drives down a street in a clean, well-maintained city with elegant towering skyscrapers.
IN_TIME.srt 	IN_TIME_DVS887 	01:33:48,00 --> 01:33:55,50 	a security gate at the parking booth lifts and someone drives a limo out of the garage.
INSIDE_MAN.srt 	INSIDE_MAN_DVS406 	01:55:08,00 --> 01:55:13,50 	outside, the black suv drives off.
IRON_MAN_2.srt 	IRON_MAN_2_DVS66 	00:11:04,00 --> 00:11:09,50 	someone drives off.
IRON_MAN_2.srt 	IRON_MAN_2_DVS173 	00:32:22,00 --> 00:32:39,50 	as someone drives past, someone swings the whip in his left hand and slices off the front of someone's car.
IRON_MAN_2.srt 	IRON_MAN_2_DVS189 	00:35:05,00 --> 00:35:12,50 	as someone drives forward and back, crushing someone, someone reaches for the red case in the back seat.
IRON_MAN_2.srt 	IRON_MAN_2_DVS405 	01:15:57,00 --> 01:16:04,50 	driving the white convertible, someone speeds along a highway above the ocean.
IRON_MAN_2.srt 	IRON_MAN_2_DVS409 	01:16:24,00 --> 01:16:28,50 	someone drives off.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS93 	00:27:35,00 --> 00:27:40,50 	now, someone drives his car.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS275 	01:17:40,00 --> 01:17:45,50 	they nod then drive off.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS296 	00:56:35,00 --> 00:56:40,50 	someone drives someone home.
KARATE_KID.srt 	KARATE_KID_DVS29 	00:02:49,00 --> 00:02:54,50 	they drive past urban apartment buildings and parks.
KARATE_KID.srt 	KARATE_KID_DVS31 	00:03:03,00 --> 00:03:14,50 	now, the taxi drives past tall warehouses and over a set of train tracks.
KARATE_KID.srt 	KARATE_KID_DVS79 	00:06:51,00 --> 00:07:00,50 	the van drives past.
KARATE_KID.srt 	KARATE_KID_DVS480 	00:43:26,00 --> 00:43:32,50 	someone drives his fist into someone's stomach.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS22 	00:06:49,00 --> 00:06:59,50 	now traffic lines up behind someone as he drives his suv with a stunned gaze.
MORNING_GLORY.srt 	MORNING_GLORY_DVS222 	00:49:31,00 --> 00:49:37,50 	the taxi drives off without her.
