21_JUMP_STREET.srt 	21_JUMP_STREET_DVS183 	00:31:18,00 --> 00:31:24,50 	now they enter a darkened classroom with the window blinds drawn.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS270 	00:47:05,00 --> 00:47:12,50 	at the police station someone enters an evidence locker while someone keeps lookout.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS276 	00:47:53,00 --> 00:47:57,50 	someone high fives them as they enter.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS544 	01:23:58,00 --> 01:24:05,50 	someone and someone enter a ballroom filled with celebrating students.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS319 	01:11:39,00 --> 01:11:45,50 	someone enters the code into a keypad on the wired vest.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS13 	00:02:52,00 --> 00:03:04,50 	he enters a store called smart tech carrying his front bicycle tire and bag.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS60 	00:34:54,00 --> 00:34:59,50 	now they enter in a salon.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS123 	01:05:24,00 --> 01:05:30,50 	she enters her bathroom in her black bra and panties.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS58 	00:04:16,00 --> 00:04:22,50 	through a curtain, the young man enters the hopping nightclub.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS174 	00:15:40,00 --> 00:15:47,50 	as the checkpoint bar rises, the black sedans enter the restricted area beneath the rooftop snipers.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS566 	00:54:41,00 --> 00:54:49,50 	now, someone and someone enter a defunct department store, full of mannequins and dusty display cases.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS651 	01:07:03,00 --> 01:07:11,50 	someone cautiously enters in front of his dad, aiming a flashlight-mounted rifle around the decaying room.
