30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS188 	00:49:22,00 --> 00:49:26,50 	they exit.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS316 	01:11:06,00 --> 01:11:11,50 	someone exits the van in his mask.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS128 	00:12:19,00 --> 00:12:23,50 	someone exits the cab.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS762 	01:15:38,00 --> 01:15:43,50 	outside, someone exits the chopper.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS821 	01:21:49,00 --> 01:22:09,50 	someone sprints up the stairs as his father exits the building.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS569 	01:28:52,00 --> 01:28:59,50 	someone bows, then exits the stage with the other dancers.
BLINDDATING.srt 	BLINDDATING_DVS125 	00:33:30,00 --> 00:33:36,50 	as someone exits the clinic, someone hurries after him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS538 	00:52:17,00 --> 00:52:22,50 	later at pleasure pizza, someone exits the back door with his bike.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS77 	00:14:34,00 --> 00:14:39,50 	now a woman exits the shop.
COLOMBIANA.srt 	COLOMBIANA_DVS104 	00:08:28,00 --> 00:08:35,50 	outside, someone's men exit the sedan.
COLOMBIANA.srt 	COLOMBIANA_DVS148 	00:13:28,00 --> 00:13:34,50 	someone sprints through an apartment then exits onto a balcony.
COLOMBIANA.srt 	COLOMBIANA_DVS1066 	01:39:48,00 --> 01:39:53,50 	meanwhile, someone exits the mansion.
DEAR_JOHN.srt 	DEAR_JOHN_DVS229 	00:35:34,00 --> 00:35:41,50 	someone exits the aircraft, squinting in the sun and proceeds across the tarmac.
DISTRICT_9.srt 	DISTRICT_9_DVS387 	00:43:01,00 --> 00:43:14,50 	someone glances down at his son-in-law's extended arm, then exits as well.
FLIGHT.srt 	FLIGHT_DVS595 	01:22:46,00 --> 01:22:51,50 	someone exits the bar.
GREEN_ZONE.srt 	GREEN_ZONE_DVS51 	00:10:45,00 --> 00:10:49,50 	an arabic man exits a plane.
GREEN_ZONE.srt 	GREEN_ZONE_DVS204 	00:53:29,00 --> 00:53:34,50 	as someone exits the building, the white jeep
GREEN_ZONE.srt 	GREEN_ZONE_DVS234 	00:57:46,00 --> 00:57:51,50 	he exits.
GREEN_ZONE.srt 	GREEN_ZONE_DVS324 	01:12:40,00 --> 01:12:45,50 	someone exits the palace.
GROWN_UPS.srt 	GROWN_UPS_DVS15 	00:05:26,00 --> 00:05:32,50 	a young girl exits the car.
INSIDE_MAN.srt 	INSIDE_MAN_DVS89 	00:23:14,00 --> 00:23:25,50 	now, one of the young criminals exits the bank.
INSIDE_MAN.srt 	INSIDE_MAN_DVS177 	00:51:07,00 --> 00:51:11,50 	someone exits the truck.
