21_JUMP_STREET.srt 	21_JUMP_STREET_DVS126 	00:20:35,00 --> 00:20:43,50 	in the morning, someone and someone wake to find someone's father using an elliptical machine at their feet.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS185 	00:31:24,00 --> 00:31:32,50 	moving further inside the two undercover cops find the handsome, sensitive teen
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS369 	01:00:56,00 --> 01:01:03,50 	bringing up an email account he finds several messages from cooldeets88.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS453 	01:14:30,00 --> 01:14:35,50 	someone finds a four-shot pistol.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS302 	01:07:40,00 --> 01:07:51,50 	searching the contents of a folder he finds a hand-drawn schematic showing the scrapyard, the bank and someone's tantastic tan salon.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS85 	00:43:20,00 --> 00:43:26,50 	someone answers the door and finds someone.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS216 	01:43:51,00 --> 01:43:56,50 	he finds someone at a book
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS99 	00:16:04,00 --> 00:16:09,50 	someone finds the smiths on his itunes.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS456 	01:18:03,00 --> 01:18:08,50 	someone finds the ringo starr record.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS187 	00:16:43,00 --> 00:16:50,50 	inside, someone kicks the grate off his cell and finds someone hunched next to his.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS205 	00:17:43,00 --> 00:17:49,50 	their boss finds the glass cells with no one inside.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS379 	00:34:52,00 --> 00:34:59,50 	someone finds an assault rifle.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS587 	00:59:58,00 --> 01:00:03,50 	they find a stockpile of guns.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS676 	01:09:27,00 --> 01:09:37,50 	now someone and someone find a large indoor pool, filled with leaves and dark stagnant water.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS392 	01:09:02,00 --> 01:09:08,50 	someone finds a roll of duct tape and wraps up the phone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS48 	00:04:41,00 --> 00:04:48,50 	on returning his attention to her bedside, he finds someone gaze on him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS108 	00:11:39,00 --> 00:11:46,50 	weakly clutching his bruised side, he crosses to a desk where he finds his journal.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS114 	00:12:17,00 --> 00:12:23,50 	he finds a naked woman straddling someone in a bathtub.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS121 	00:13:35,00 --> 00:13:42,50 	someone swipes items from his desk, finds sunscreen and puts it on.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS214 	00:29:51,00 --> 00:29:57,50 	the hunter reaches in his pocket, but finds no more grain.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS242 	00:33:55,00 --> 00:34:03,50 	six headless bodies found near springfield.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS367 	00:51:56,00 --> 00:52:01,50 	now someone finds someone in his study.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS369 	00:52:06,00 --> 00:52:14,50 	he finds a flowery invitation inside.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS381 	00:53:28,00 --> 00:53:35,50 	peering in, they find white people waltzing with slaves at a ball.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS393 	00:55:20,00 --> 00:55:46,50 	someone beheads his foe and finds someone in pants, swirling her long skirt like a cape.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS393 	00:55:20,00 --> 00:55:46,50 	slicing through it he finds her gone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS408 	00:58:47,00 --> 00:59:01,50 	the three man dash from the riverbank and find the raft waiting for them.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS436 	01:02:34,00 --> 01:02:46,50 	as he draws near, we find him aged and distinguished.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS472 	01:06:59,00 --> 01:07:07,50 	stretching, he finds someone sleeping on the bed cradling their son in her arms.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS509 	01:11:39,00 --> 01:11:55,50 	swooping low, we find confederate soldiers charging recklessly over the grass as cannon balls touch down all around them.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS518 	01:12:53,00 --> 01:13:00,50 	the general turns and finds the thin soldier spitting up blood beside him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS528 	01:14:36,00 --> 01:15:00,50 	as we peer down through the clouds, we find carts loaded with silver twinkling in the sunlight as they travel through the streets.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS605 	01:23:59,00 --> 01:24:15,50 	he goes to finish his enemy but finds only shards of wood on the floor.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS614 	01:26:34,00 --> 01:26:41,50 	someone sinks his teeth into flesh, but finds himself biting someone's arm.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS621 	01:27:25,00 --> 01:27:35,50 	inspecting the cargo, he finds more rocks in place of the silver.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS628 	01:28:22,00 --> 01:28:33,50 	making his way through the railcars, someone finds a floor strewn with broken wood.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS645 	01:31:35,00 --> 01:31:42,50 	drawing back, we find someone lying on the twisted end of the track.
BAD_TEACHER.srt 	BAD_TEACHER_DVS207 	00:57:33,00 --> 00:57:43,50 	now, she returns to the office finding someone semi reclined on the desk.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS235 	00:38:37,00 --> 00:38:44,50 	he peers through a window to find the security guard dancing with a screwdriver in his mouth.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS246 	00:40:41,00 --> 00:40:49,50 	wearing a nightgown, someone finds nine girls seating at a round table topped with candles.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS315 	00:51:44,00 --> 00:51:48,50 	someone quickly finds a seat.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS404 	01:05:20,00 --> 01:05:26,50 	as the fbi agent shifts to another window trying to find the guard,
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS474 	01:13:45,00 --> 01:13:51,50 	snatching the bag away, someone searches it and finds a bag of bird seed.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS514 	01:20:59,00 --> 01:21:03,50 	they find it empty.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS528 	01:22:47,00 --> 01:22:54,50 	the agent in drag runs outside to find the henchmen about 50 yards away.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS567 	01:28:39,00 --> 01:28:43,50 	someone finds them.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS660 	01:40:37,00 --> 01:40:42,50 	someone finds someone outside the library.
BLINDDATING.srt 	BLINDDATING_DVS32 	00:11:41,00 --> 00:11:48,50 	in the lobby, someone finds a glass door and enters.
BLINDDATING.srt 	BLINDDATING_DVS83 	00:25:08,00 --> 00:25:12,50 	he finds the limo's door.
BLINDDATING.srt 	BLINDDATING_DVS101 	00:28:06,00 --> 00:28:17,50 	someone pats his plate and finds a salad fork.
BLINDDATING.srt 	BLINDDATING_DVS105 	00:28:37,00 --> 00:28:45,50 	right in front of him, he finds her breasts.
BLINDDATING.srt 	BLINDDATING_DVS228 	00:56:03,00 --> 00:56:12,50 	someone reaches to his right and finds an arm.
BURLESQUE.srt 	BURLESQUE_DVS50 	00:05:00,00 --> 00:05:08,50 	she lifts her gaze from an issue of back stage magazine in her hand and finds a sign for hollywood boulevard.
BURLESQUE.srt 	BURLESQUE_DVS101 	00:11:27,00 --> 00:11:37,50 	the blonde visitor finds the bald stage manager conferring with the diva.
BURLESQUE.srt 	BURLESQUE_DVS104 	00:12:41,00 --> 00:12:47,50 	she finds someone applying makeup at a mirror and leans over her shoulder.
BURLESQUE.srt 	BURLESQUE_DVS174 	00:25:10,00 --> 00:25:20,50 	someone finds her door broken in.
BURLESQUE.srt 	BURLESQUE_DVS175 	00:25:17,00 --> 00:25:22,50 	she finds the empty sandwich baggie on the floor.
BURLESQUE.srt 	BURLESQUE_DVS176 	00:25:23,00 --> 00:25:31,50 	on the bed, someone finds her photograph under broken glass, halfway out of its now-bent frame.
BURLESQUE.srt 	BURLESQUE_DVS298 	00:40:43,00 --> 00:40:50,50 	now someone reaches out of the shower and finds bras and stockings hanging on a hook.
BURLESQUE.srt 	BURLESQUE_DVS340 	00:46:42,00 --> 00:46:49,50 	meanwhile, someone finds someone backstage.
BURLESQUE.srt 	BURLESQUE_DVS372 	00:51:21,00 --> 00:51:28,50 	now someone exits the backstage area and finds someone waiting for her.
BURLESQUE.srt 	BURLESQUE_DVS502 	01:09:46,00 --> 01:09:55,50 	at home, someone finds a note taped to a mirror written on sheet music paper: going out.
BURLESQUE.srt 	BURLESQUE_DVS554 	01:20:07,00 --> 01:20:11,50 	she finds someone sleeping in the bed.
BURLESQUE.srt 	BURLESQUE_DVS627 	01:33:49,00 --> 01:33:58,50 	scanning the living room, she finds an article of clothing.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS27 	00:03:57,00 --> 00:04:06,50 	they'll never find it.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS505 	01:29:46,00 --> 01:29:53,50 	someone steps through a doorway and finds someone drinking whiskey at a table near the bar.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS203 	00:16:27,00 --> 00:16:33,50 	he races through an open door to find someone on the kitchen floor.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS248 	00:19:36,00 --> 00:19:42,50 	creeping around a knoll, we find them descending a winding path
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS251 	00:19:44,00 --> 00:19:51,50 	peering over a ridge, someone finds the men approaching a small isolated beach at the base of the slope.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS260 	00:20:12,00 --> 00:20:18,50 	staggering, he finds his balance then gazes out.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS387 	00:36:29,00 --> 00:36:35,50 	heading out the door, someone finds a set of keys on a table.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS610 	00:58:41,00 --> 00:58:48,50 	coming in, she glances down the hall and finds no sign of anyone.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS611 	00:58:45,00 --> 00:58:52,50 	she moves to the kitchen and finds someone and someone renovating the cabinets.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS626 	01:00:26,00 --> 01:00:32,50 	someone finds a roll of cash on the floor and thrusts it as his chest.
