21_JUMP_STREET.srt 	21_JUMP_STREET_DVS79 	00:08:54,00 --> 00:09:00,50 	someone fires his gun skyward and the families flee.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS336 	00:30:00,00 --> 00:30:07,50 	someone fires up at someone, who ducks behind the metal railings.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS380 	00:34:59,00 --> 00:35:11,50 	he fires on the men, as his son crawls with someone across the floor.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS526 	00:51:05,00 --> 00:51:12,50 	as someone fires a few more bullets, father and son survey the scene.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS797 	01:20:03,00 --> 01:20:14,50 	someone quickly fires, then retracts behind a cement pillar.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS797 	01:20:03,00 --> 01:20:14,50 	as the bald shirtless thug fires wildly, bullets pierce the hoses, spraying chemicals into the air.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS836 	01:22:58,00 --> 01:23:06,50 	someone blindly fires.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS847 	01:23:46,00 --> 01:23:52,50 	someone fires his pistol in the air.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS510 	01:11:53,00 --> 01:11:59,50 	union soldiers fire the canons from a high ridge.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS511 	01:11:56,00 --> 01:12:16,50 	a row of cannon barrels amid smoke and sparks as they fire.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS593 	01:21:57,00 --> 01:22:03,50 	he fires a gun in each hand then scrambles free.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS664 	01:33:35,00 --> 01:33:48,50 	a union infantry fires on a confederate blitz, their bullets tearing through the vampires bodies.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS620 	01:36:15,00 --> 01:36:24,50 	someone shoots at someone, who leaps behind the librarian's desk, then fires at someone and someone.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS652 	01:39:52,00 --> 01:39:58,50 	a taser fires its electrodes.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS332 	01:02:23,00 --> 01:02:31,50 	dugan drives forward as a gunner fires a blaster mounted on the top of the armored vehicle.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS333 	01:02:28,00 --> 01:02:38,50 	inside the facility, escaped prisoners fire on a group of guards as explosions rip through the compound.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS475 	01:24:19,00 --> 01:24:26,50 	in his compartment, someone leans out from behind the crates and returns fire with a pistol.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS513 	01:32:11,00 --> 01:32:21,50 	someone fires hooks attached to a cable into trees on either side of the road.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS515 	01:32:46,00 --> 01:33:01,50 	a cannon blaster fires bolts of energy which strike the ground and trees around him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS518 	01:33:05,00 --> 01:33:10,50 	troopers fire at him with blasters.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS560 	01:37:47,00 --> 01:38:04,50 	propellers lining the back of the boomerang-shaped bomber spin to life as the plane fires twin thrusters and rolls down the hangar's runway.
COLOMBIANA.srt 	COLOMBIANA_DVS113 	00:09:09,00 --> 00:09:20,50 	someone retreats up the stairs, still firing his shotgun.
COLOMBIANA.srt 	COLOMBIANA_DVS971 	01:33:31,00 --> 01:33:35,50 	she fires at the car.
DEAR_JOHN.srt 	DEAR_JOHN_DVS480 	01:10:57,00 --> 01:11:05,50 	someone fires back, then talks into his radio.
DISTRICT_9.srt 	DISTRICT_9_DVS157 	00:18:17,00 --> 00:18:31,50 	now an armed alien fires an alien rifle.
DISTRICT_9.srt 	DISTRICT_9_DVS165 	00:19:27,00 --> 00:19:32,50 	helicopter, the sniper fires warning shots in the air.
DISTRICT_9.srt 	DISTRICT_9_DVS363 	00:40:09,00 --> 00:40:14,50 	bits of light burst from the gun as it fires into the pig.
DISTRICT_9.srt 	DISTRICT_9_DVS631 	01:13:55,00 --> 01:14:00,50 	a guard fires at their vehicle.
DISTRICT_9.srt 	DISTRICT_9_DVS779 	01:32:18,00 --> 01:32:28,50 	as someone and someone pass, he fires.
DISTRICT_9.srt 	DISTRICT_9_DVS817 	01:36:19,00 --> 01:36:24,50 	kneeling, someone fires a rocket
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS94 	00:14:33,00 --> 00:14:46,50 	it fires into the rocky ground.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS113 	00:18:36,00 --> 00:18:49,50 	they both fire.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS114 	00:18:47,00 --> 00:18:55,50 	someone fires a grenade.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS231 	00:37:23,00 --> 00:37:39,50 	he fires and the missile arcs high into the air.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS239 	00:38:06,00 --> 00:38:30,50 	as ghost rider advances on a line of guards, they fire their assault rifles.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS330 	00:50:06,00 --> 00:50:11,50 	someone mimes firing her gun with her fingers.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS562 	01:20:11,00 --> 01:20:32,50 	a gunman ahead fires rounds from a mounted cannon.
HUGO.srt 	HUGO_DVS629 	01:31:18,00 --> 01:31:27,50 	a gunner lights a fuse on the cannon, which fires the capsule into outer space.
HUGO.srt 	HUGO_DVS690 	01:40:09,00 --> 01:40:17,50 	a cannon fires.
IN_TIME.srt 	IN_TIME_DVS595 	01:03:35,00 --> 01:03:44,50 	she fires her gun.
IRON_MAN_2.srt 	IRON_MAN_2_DVS312 	00:56:55,00 --> 00:57:07,50 	someone's thrusters fire up.
IRON_MAN_2.srt 	IRON_MAN_2_DVS328 	00:58:58,00 --> 00:59:06,50 	they fire their palm weapons at each other.
IRON_MAN_2.srt 	IRON_MAN_2_DVS537 	01:36:32,00 --> 01:36:50,50 	someone and the drones fire their guns at someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS537 	01:36:32,00 --> 01:36:50,50 	onstage, someone's thrusters fire up.
IRON_MAN_2.srt 	IRON_MAN_2_DVS543 	01:37:06,00 --> 01:37:12,50 	someone's suit fires the gatling gun at someone, who maneuvers through the sky.
IRON_MAN_2.srt 	IRON_MAN_2_DVS545 	01:37:13,00 --> 01:37:27,50 	firing their weapons, the air force drones zip through the sky after someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS555 	01:38:21,00 --> 01:38:28,50 	firing their guns, the air force drones trail someone around expo buildings as they zip through the sky.
IRON_MAN_2.srt 	IRON_MAN_2_DVS568 	01:39:26,00 --> 01:39:35,50 	at the expo, a navy drone marches and fires its guns.
IRON_MAN_2.srt 	IRON_MAN_2_DVS594 	01:41:47,00 --> 01:42:29,50 	a drone on the ground fires at someone, then rockets skyward.
IRON_MAN_2.srt 	IRON_MAN_2_DVS607 	01:44:32,00 --> 01:44:41,50 	someone aims and fires the gatling gun at someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS626 	01:47:11,00 --> 01:47:29,50 	the drones fire their guns as they charge toward the two men.
IRON_MAN_2.srt 	IRON_MAN_2_DVS626 	01:47:11,00 --> 01:47:29,50 	one drone fires a missile at someone, who dodges it.
IRON_MAN_2.srt 	IRON_MAN_2_DVS626 	01:47:11,00 --> 01:47:29,50 	someone fires a blast at the drone, which explodes, also destroying two other drones flanking it.
IRON_MAN_2.srt 	IRON_MAN_2_DVS634 	01:47:40,00 --> 01:47:49,50 	someone sweeps both arms out around himself as he fires.
IRON_MAN_2.srt 	IRON_MAN_2_DVS655 	01:49:45,00 --> 01:50:04,50 	someone fires his gatling gun at someone, who slices the gun off someone's shoulder with a pulse whip.
IRON_MAN_2.srt 	IRON_MAN_2_DVS656 	01:50:02,00 --> 01:50:10,50 	someone leaps out of the way as a drone fires a missile then explodes near someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS689 	01:54:02,00 --> 01:54:08,50 	someone fires his thrusters and rockets upward.
KARATE_KID.srt 	KARATE_KID_DVS174 	00:14:49,00 --> 00:14:57,50 	someone dodges and cowers as the man fires the ball at him repeatedly.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS417 	01:39:20,00 --> 01:39:39,50 	the someone fires, but the water rushes in at him.
PROMETHEUS.srt 	PROMETHEUS_DVS806 	01:26:25,00 --> 01:26:32,50 	meanwhile,  crewmen fire flamethrowers and guns at the mutant.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS33 	00:05:42,00 --> 00:05:48,50 	getaway car, another guard fires a rifle.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS52 	00:09:14,00 --> 00:09:19,50 	flyod runs backwards firing wildly.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS92 	00:15:14,00 --> 00:15:19,50 	officer fires first.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS445 	01:25:31,00 --> 01:25:37,50 	in the barroom, baby face returns fire through a window.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS447 	01:25:59,00 --> 01:26:04,50 	for the car shells fires from the lawn.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS495 	01:33:35,00 --> 01:33:40,50 	agent someone fires at someone empties his pistol into the man.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS27 	00:04:19,00 --> 00:04:24,50 	in slow motion, he fires.
SALT.srt 	SALT_DVS204 	00:35:01,00 --> 00:35:06,50 	someone, as he fires again.
SALT.srt 	SALT_DVS488 	01:24:58,00 --> 01:25:03,50 	someone fires a handgun at the bulletproof window.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS66 	00:13:18,00 --> 00:13:22,50 	he fires it at someone.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS278 	00:40:22,00 --> 00:40:29,50 	someone fires his pistol behind himself as he rounds a corner.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS402 	00:59:25,00 --> 00:59:29,50 	the pirate ship fires a volley.
THE_WATCH.srt 	THE_WATCH_DVS51 	00:06:40,00 --> 00:06:45,50 	firing wild, he backs away.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS39 	00:04:54,00 --> 00:05:10,50 	now a blonde with pixie-like features fires a blowtorch at frying pans.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS464 	01:21:59,00 --> 01:22:19,50 	on the road, a gunman in one suv fires on the jeep which evades to the right.
