21_JUMP_STREET.srt 	21_JUMP_STREET_DVS449 	01:13:57,00 --> 01:14:05,50 	the tanker slows to a stop gushing oil and fuel as sparks fly from the tumbling motorcycle.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS460 	01:15:02,00 --> 01:15:08,50 	the truck explodes and chicken feathers fly into the beetle.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS336 	01:15:15,00 --> 01:15:21,50 	it explodes sending someone flying off his feet.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS196 	00:33:04,00 --> 00:33:09,50 	it winks down at him as it flies off.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS546 	01:30:33,00 --> 01:30:39,50 	blossoms bloom on the tree and birds fly in the sky.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS248 	00:20:50,00 --> 00:20:55,50 	the armored truck sends a parked car flying.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS289 	00:24:55,00 --> 00:25:00,50 	flying off the hood, someone rolls on the hard pavement.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS535 	00:51:56,00 --> 00:52:03,50 	flying low over city rooftops, the helicopter banks to its left.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS666 	01:08:32,00 --> 01:08:42,50 	dust swirls as the chopper flies the tank above its landing zone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS668 	01:08:49,00 --> 01:08:57,50 	as the chopper flies away, someone's men reverse a large eight-wheel vehicle to the tank's hitch.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS882 	01:26:00,00 --> 01:26:06,50 	flailing, he flies towards an enormous window in slow motion.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS103 	00:26:54,00 --> 00:26:59,50 	more leaves fly from someone's mouth.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS136 	00:16:51,00 --> 00:17:01,50 	woodchips fly from the cut and the tree topples to the ground.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS602 	01:23:09,00 --> 01:23:40,50 	in slow motion, the monster flies past him spraying blood.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS604 	01:23:45,00 --> 01:24:02,50 	sparks fly from a wheel of the train.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS34 	00:02:52,00 --> 00:03:02,50 	someone tackles him to the ground, sending envelopes flying into the air.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS118 	00:16:16,00 --> 00:16:26,50 	bullets hit the hood, sending sparks flying.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS476 	01:13:55,00 --> 01:13:59,50 	a rooster flies out.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS542 	01:24:09,00 --> 01:24:19,50 	sparks fly as someone regains control of the vehicle.
BURLESQUE.srt 	BURLESQUE_DVS433 	00:59:58,00 --> 01:00:05,50 	now as she rides with someone on his motorcycle, her sheer scarf flies away.
BURLESQUE.srt 	BURLESQUE_DVS437 	01:00:29,00 --> 01:00:35,50 	her pearl briefs fly off.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS418 	01:16:03,00 --> 01:16:08,50 	an explosion inside the chamber blows out the glass and sends stark and the engineer flying backward across the room.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS514 	01:32:23,00 --> 01:32:44,50 	the troopers in front duck, but two troopers in the back strike the cable and fly off their bikes.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS587 	01:41:08,00 --> 01:41:14,50 	the flying bomb's wings unfold and a rear propeller spins.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS594 	01:41:35,00 --> 01:41:44,50 	he steers the flying bomb clockwise around someone's plane.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS596 	01:41:56,00 --> 01:42:02,50 	someone dodges the blasts, then flies in behind the bomber.
CHRONICLE.srt 	CHRONICLE_DVS144 	00:22:26,00 --> 00:22:31,50 	chips fly from a pringles can into his mouth.
CHRONICLE.srt 	CHRONICLE_DVS153 	00:23:24,00 --> 00:23:33,50 	he flies forward, knocking a shelf over.
CHRONICLE.srt 	CHRONICLE_DVS216 	00:31:25,00 --> 00:31:31,50 	they fly 10 thousand feet above populated terrain.
CHRONICLE.srt 	CHRONICLE_DVS350 	00:52:42,00 --> 00:52:46,50 	someone flies up.
CHRONICLE.srt 	CHRONICLE_DVS409 	01:01:15,00 --> 01:01:20,50 	he mimes shooting and the thug flies backward.
CHRONICLE.srt 	CHRONICLE_DVS411 	01:01:25,00 --> 01:01:33,50 	the teen sends him flying back into the camera.
CHRONICLE.srt 	CHRONICLE_DVS468 	01:07:57,00 --> 01:08:01,50 	we fly past skyscrapers.
CHRONICLE.srt 	CHRONICLE_DVS477 	01:08:56,00 --> 01:09:00,50 	he flies back toward the needle.
CHRONICLE.srt 	CHRONICLE_DVS487 	01:10:43,00 --> 01:10:52,50 	the vehicle flies through the air and careens into a building's fifth story.
CHRONICLE.srt 	CHRONICLE_DVS497 	01:11:27,00 --> 01:11:34,50 	someone flies up through the apartment's floor and ceiling.
CHRONICLE.srt 	CHRONICLE_DVS500 	01:11:41,00 --> 01:11:51,50 	as someone dodges them, someone flies back into a lamppost.
CHRONICLE.srt 	CHRONICLE_DVS509 	01:12:55,00 --> 01:13:05,50 	someone waves his arms forward, sending the two cruisers flying back.
CHRONICLE.srt 	CHRONICLE_DVS521 	01:14:14,00 --> 01:14:20,50 	the car skid backwards and the humans fly through the air.
COLOMBIANA.srt 	COLOMBIANA_DVS169 	00:15:02,00 --> 00:15:07,50 	the colorful chili peppers fly into the air.
COLOMBIANA.srt 	COLOMBIANA_DVS196 	00:16:53,00 --> 00:17:03,50 	dust billows into the air from their flying bullets.
COLOMBIANA.srt 	COLOMBIANA_DVS264 	00:22:00,00 --> 00:22:05,50 	another punch sends thick streams of his blood flying.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS354 	01:25:34,00 --> 01:25:39,50 	mice fly in a bike lane.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS360 	01:27:00,00 --> 01:27:09,50 	someone stacks the various dioramas into a pyramid and places a mouse flying a kite on the top.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS413 	01:42:45,00 --> 01:42:50,50 	the vulture flies out of the window.
DISTRICT_9.srt 	DISTRICT_9_DVS166 	00:19:30,00 --> 00:19:35,50 	the helicopter flies off.
DISTRICT_9.srt 	DISTRICT_9_DVS633 	01:14:13,00 --> 01:14:20,50 	a helicopter flies over district 9.
DISTRICT_9.srt 	DISTRICT_9_DVS638 	01:15:02,00 --> 01:15:06,50 	outside, the helicopter flies over
DISTRICT_9.srt 	DISTRICT_9_DVS739 	01:27:07,00 --> 01:27:28,50 	outside, choppers fly toward the mothership.
DISTRICT_9.srt 	DISTRICT_9_DVS797 	01:34:30,00 --> 01:34:41,50 	they fly through a sheet metal wall.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS113 	00:18:36,00 --> 00:18:49,50 	the shots send the rider flying.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS242 	00:38:46,00 --> 00:39:00,50 	the flaming skeleton waits as bullets fly in.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS259 	00:41:02,00 --> 00:41:13,50 	it crushes the supplier in a burst of flames which sends someone flying back.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS532 	01:15:42,00 --> 01:15:55,50 	with a swipe of his hand, he sends someone flying off the stage.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS564 	01:20:37,00 --> 01:20:55,50 	the driver flies from the truck, landing in the dirt.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS566 	01:21:18,00 --> 01:21:51,50 	someone shields her face from the flying glass shards.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS573 	01:22:20,00 --> 01:22:29,50 	the mad angel leaps from the bed and together they fly through darkness.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS579 	01:24:04,00 --> 01:24:10,50 	someone lurches and the auto part flies past the rider.
HUGO.srt 	HUGO_DVS410 	01:00:55,00 --> 01:01:00,50 	papers fly out and swirl around the room.
HUGO.srt 	HUGO_DVS800 	01:57:09,00 --> 01:57:17,50 	next, a fleet of airships, dirigibles, and hot air balloons fly across a cloudy sky.
HUGO.srt 	HUGO_DVS806 	01:57:37,00 --> 01:57:43,50 	a witch rides on a flying broomstick through a thunderstorm.
IRON_MAN_2.srt 	IRON_MAN_2_DVS39 	00:04:38,00 --> 00:04:48,50 	flying sparks illuminate the cockatoo perched near a computer screen nearby.
IRON_MAN_2.srt 	IRON_MAN_2_DVS39 	00:04:38,00 --> 00:04:48,50 	the bird flies off.
IRON_MAN_2.srt 	IRON_MAN_2_DVS217 	00:42:04,00 --> 00:42:12,50 	the jet flies over orange-tinged clouds.
IRON_MAN_2.srt 	IRON_MAN_2_DVS303 	00:56:03,00 --> 00:56:11,50 	upstairs, someone blasts another flying bottle.
IRON_MAN_2.srt 	IRON_MAN_2_DVS312 	00:56:55,00 --> 00:57:07,50 	he and someone fly backward through a wall, then through a window.
IRON_MAN_2.srt 	IRON_MAN_2_DVS326 	00:58:34,00 --> 00:58:41,50 	someone flies head-first into a fireplace.
IRON_MAN_2.srt 	IRON_MAN_2_DVS537 	01:36:32,00 --> 01:36:50,50 	someone flies out through the opening in the glass roof.
IRON_MAN_2.srt 	IRON_MAN_2_DVS539 	01:36:50,00 --> 01:36:57,50 	the air force drones fly through the roof, breaking more glass.
IRON_MAN_2.srt 	IRON_MAN_2_DVS575 	01:39:59,00 --> 01:40:03,50 	someone flies off.
IRON_MAN_2.srt 	IRON_MAN_2_DVS594 	01:41:47,00 --> 01:42:29,50 	on the arena stage, the marine drones' thrusters fire as the drones fly straight up.
IRON_MAN_2.srt 	IRON_MAN_2_DVS605 	01:44:10,00 --> 01:44:16,50 	above the expo grounds, someone flies alone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS678 	01:51:59,00 --> 01:52:06,50 	someone flies away from the fiery expo park and lands atop a tall building.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS247 	00:49:27,00 --> 00:49:32,50 	poopsie flies off, waking someone on an inflatable mattress.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS271 	00:52:41,00 --> 00:52:48,50 	as she kicks, her shoe flies off.
KARATE_KID.srt 	KARATE_KID_DVS139 	00:12:13,00 --> 00:12:24,50 	he pinches the dead fly off with his chopsticks.
KARATE_KID.srt 	KARATE_KID_DVS352 	00:31:35,00 --> 00:31:45,50 	with a kick, he sends someone's bag flying high.
KARATE_KID.srt 	KARATE_KID_DVS502 	00:44:48,00 --> 00:45:01,50 	two boys' fists fly toward mr.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS142 	00:51:13,00 --> 00:51:23,50 	someone, someone, and someone stare helplessly as the predator flies away with the device.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS721 	01:14:59,00 --> 01:15:07,50 	the frothy surface seethes around the boat as countless flying fish skip along the water.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS797 	01:21:45,00 --> 01:21:50,50 	a flock of seagulls fly along with them.
MORNING_GLORY.srt 	MORNING_GLORY_DVS81 	00:14:20,00 --> 00:14:26,50 	pigeons fly off.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS238 	00:34:52,00 --> 00:34:58,50 	it flies off, and captain watches, its flippers flapping.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS164 	00:37:03,00 --> 00:37:09,50 	later, he flies to a fence and burps.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS497 	01:40:28,00 --> 01:40:36,50 	our gaze flies along the contraption to three brushes, each scratching a piglet.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS26 	00:04:28,00 --> 00:04:36,50 	the hundreds of broken pieces fly back up and reform the door, sealing off the light.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS57 	00:13:27,00 --> 00:13:37,50 	she flies out, smashing through a high window.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS259 	01:07:32,00 --> 01:07:37,50 	but he flies out of its path.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS385 	01:35:22,00 --> 01:35:31,50 	sparks fly as someone deflects his blow with a lightning bolt.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS396 	01:36:58,00 --> 01:37:05,50 	a flying someone knocks him from the ledge, and they plummet past the observation deck,
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS414 	01:38:55,00 --> 01:39:05,50 	the tank's cap flies off and its contents gush out in a swirling arc.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS420 	01:40:06,00 --> 01:40:13,50 	catching the someone around the throat it sends him flying out into a river.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS421 	01:40:17,00 --> 01:40:24,50 	catching the someone around the throat it sends him flying out into a river.
PROMETHEUS.srt 	PROMETHEUS_DVS320 	00:31:10,00 --> 00:31:20,50 	spinning, they shine red scanner beams in all directions as they fly down the corridor.
PROMETHEUS.srt 	PROMETHEUS_DVS328 	00:31:42,00 --> 00:31:47,50 	in the 3-d holograph flying red beacons map out a tunnel system.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS124 	00:32:26,00 --> 00:32:31,50 	he eyes a bug flying near his face.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS116 	00:23:24,00 --> 00:23:28,50 	his hand and a knife flies into it.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS133 	00:25:10,00 --> 00:25:16,50 	commands a newspaper to fly flat onto the train driver's
SPARKLE_2012.srt 	SPARKLE_2012_DVS104 	00:17:28,00 --> 00:17:33,50 	someone's hands fly to her glasses.
SUPER_8.srt 	SUPER_8_DVS264 	00:44:45,00 --> 00:44:51,50 	automobile frames and other large objects fly into the night sky.
SUPER_8.srt 	SUPER_8_DVS344 	01:01:59,00 --> 01:02:06,50 	the cube flies across the room and punches a hole through a poster of the space shuttle on someone's bedroom wall.
