21_JUMP_STREET.srt 	21_JUMP_STREET_DVS395 	01:07:05,00 --> 01:07:10,50 	he glances nervously at ms.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS454 	01:14:32,00 --> 01:14:40,50 	he glances at his partner.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS195 	00:50:10,00 --> 00:50:18,50 	someone glances out the back window.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS310 	01:10:35,00 --> 01:10:40,50 	who glances determinedly at his best friend beside him.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS311 	01:10:39,00 --> 01:10:44,50 	someone glances back.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS340 	01:15:38,00 --> 01:15:42,50 	he glances at his van.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS111 	00:57:13,00 --> 00:57:18,50 	he glances over his shoulder.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS93 	00:13:28,00 --> 00:13:36,50 	he glances around the office then screws up his piece of paper into a ball.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS102 	00:16:25,00 --> 00:16:29,50 	but she doesn't even glance in his direction.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS367 	01:06:17,00 --> 01:06:22,50 	he glances down at her with a pensive smile.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS125 	00:10:18,00 --> 00:10:24,50 	the driver glances back with a quizzical frown.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS316 	00:28:06,00 --> 00:28:11,50 	someone glances back at the van.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS374 	00:34:24,00 --> 00:34:30,50 	glancing aside, he pauses and fixes a grave stare.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS806 	01:20:38,00 --> 01:20:44,50 	glancing back, she enters past the truck.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS194 	00:36:45,00 --> 00:36:49,50 	someone flinches, then glances at someone.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS246 	00:47:34,00 --> 00:47:42,50 	he glances over his shoulder, clasps his hands, and then taps his own chest.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS68 	00:07:25,00 --> 00:07:31,50 	he glances at the stranger then picks up his weapon and stumbles off.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS90 	00:10:09,00 --> 00:10:15,50 	someone glances back at someone who remains flat on his back.
