21_JUMP_STREET.srt 	21_JUMP_STREET_DVS505 	01:19:33,00 --> 01:19:43,50 	as someone turns to leave, someone arrives in his maroon sedan accompanied by his dark haired friend.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS76 	00:10:06,00 --> 00:10:14,50 	someone, in shirt and cardigan with a loosely knotted tie, studiously ignores the dark haired large-eyed someone.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS325 	00:59:57,00 --> 01:00:03,50 	someone stares at auburn haired someone, then grins tipsily.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS513 	00:50:04,00 --> 00:50:12,50 	someone stabs a blonde haired man in the leg, then takes his weapon and uses him as a human shield.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS46 	00:13:27,00 --> 00:13:39,50 	he steps up to someone, his grayed haired mother and kisses her on the forehead.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS57 	00:15:56,00 --> 00:16:01,50 	he peers down at his dark haired gardener.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS189 	00:35:28,00 --> 00:35:33,50 	someone shakes black haired gil's hand, then gestures to someone.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS241 	00:46:30,00 --> 00:46:35,50 	someone and brown haired sharon work at a clothing store.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS304 	00:44:13,00 --> 00:44:19,50 	the dark haired woman sits back and someone hands her a gun.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS314 	00:45:43,00 --> 00:45:55,50 	as someone crosses to the dark haired woman, a dazed someone rises to his feet but struggles to maintain his balance.
BLINDDATING.srt 	BLINDDATING_DVS18 	00:05:23,00 --> 00:05:29,50 	a dark haired man in a suit enters.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS45 	00:03:12,00 --> 00:03:19,50 	a shaggy haired man with the same colored beard lays the boy, face first, on his surfboard.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS72 	00:06:08,00 --> 00:06:15,50 	beyond a window, a demure, dark haired woman bounces a crying baby in her arms.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS101 	00:07:50,00 --> 00:07:56,50 	in his dimly hit kitchen, the sandy haired man unscrews the top of a canister.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS103 	00:07:57,00 --> 00:08:01,50 	the dark haired woman peeks in.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS127 	00:09:57,00 --> 00:10:05,50 	now, in a baggy black wet suit, he lugs the board over to the shaggy haired man's house.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS244 	00:19:07,00 --> 00:19:13,50 	on a ridge ahead, three athletic dark haired men in wetsuits wait with surfboards.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1034 	01:40:02,00 --> 01:40:10,50 	on a fishing boat, a white haired photographer with a battered baseball cap aims his lens.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS183 	00:39:11,00 --> 00:39:16,50 	window, a chestnut haired clerk counts out
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS333 	01:23:47,00 --> 01:24:20,50 	later, at the chestnut haired clerk's window, he places a form on the counter then sets down a roll of cash bound in rubber bands.
COLOMBIANA.srt 	COLOMBIANA_DVS262 	00:21:47,00 --> 00:21:55,50 	the man steps into a dingy room where a tall dark haired figure punches a guy sitting in a chair.
COLOMBIANA.srt 	COLOMBIANA_DVS825 	01:19:39,00 --> 01:19:47,50 	she races to a door, unlocks it, and slips into a living room where a long haired man watches tv.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS20 	00:03:12,00 --> 00:03:21,50 	the wavy haired man taps him with his revolver, then points the gun at the clergyman's head.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS23 	00:03:35,00 --> 00:03:57,50 	the wavy haired man rides shotgun.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS27 	00:04:10,00 --> 00:04:29,50 	the wavy haired man hangs out the passenger window with his revolver in hand.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS68 	00:11:11,00 --> 00:11:21,50 	the wavy haired man and his men watch from their own vehicles.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS88 	00:13:58,00 --> 00:14:03,50 	their wavy haired leader steps close.
