21_JUMP_STREET.srt 	21_JUMP_STREET_DVS342 	00:56:51,00 --> 00:57:00,50 	someone and the third nerd, a red-haired kid slap hands then have an imaginary light saber duel.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS137 	00:26:27,00 --> 00:26:33,50 	someone nods awkwardly and has no idea what to say.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS202 	00:33:27,00 --> 00:33:41,50 	his boss has a new assistant with a large afro.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS270 	00:50:53,00 --> 00:50:58,50 	someone has a large bulge in the crotch of his leather trousers.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS537 	01:27:47,00 --> 01:27:51,50 	she has long dark hair.
BAD_TEACHER.srt 	BAD_TEACHER_DVS172 	00:47:26,00 --> 00:47:30,50 	she has a dodgeball in her hand.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS59 	00:08:54,00 --> 00:08:58,50 	he has a contract in hand.
BLINDDATING.srt 	BLINDDATING_DVS216 	00:54:15,00 --> 00:54:20,50 	someone has a condom in his hand.
BLINDDATING.srt 	BLINDDATING_DVS347 	01:23:22,00 --> 01:23:29,50 	she has a gloomy expression.
BRUNO.srt 	BRUNO_DVS77 	00:16:26,00 --> 00:16:36,50 	angelina jolie's has a black x over it.
BURLESQUE.srt 	BURLESQUE_DVS594 	01:27:49,00 --> 01:27:53,50 	someone still has her back to him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS27 	00:03:57,00 --> 00:04:06,50 	they have before, not like this.
CHRONICLE.srt 	CHRONICLE_DVS258 	00:39:09,00 --> 00:39:13,50 	each has a fast food drink.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS79 	00:14:42,00 --> 00:14:47,50 	later, someone has dinner with someone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS156 	00:37:19,00 --> 00:37:23,50 	someone has called someone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS261 	01:03:07,00 --> 01:03:13,50 	he has 45 missed calls.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS444 	01:48:21,00 --> 01:48:27,50 	it has someone and someone in it.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS135 	00:36:18,00 --> 00:36:27,50 	later they have sex in his bed.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS138 	00:36:49,00 --> 00:36:53,50 	they chew gum as they have sex.
