21_JUMP_STREET.srt 	21_JUMP_STREET_DVS332 	00:55:09,00 --> 00:55:15,50 	as someone heads off, someone grins at someone and pumps his fists.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS425 	01:11:21,00 --> 01:11:30,50 	heading up a clogged freeway onramp they jam the breaks, stopping an inch shy of a station wagon full of kids.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS678 	01:42:10,00 --> 01:42:14,50 	they head off.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS37 	00:07:43,00 --> 00:07:47,50 	he heads out.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS182 	00:47:39,00 --> 00:47:43,50 	she heads for the vault.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS281 	01:05:21,00 --> 01:05:27,50 	he heads towards a giant framed michigan lottery check adorning the wall.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS283 	01:05:29,00 --> 01:05:33,50 	he heads down a set of steps.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS96 	00:50:49,00 --> 00:50:54,50 	later, the guys head for the exit.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS536 	00:52:05,00 --> 00:52:13,50 	someone watches as the helicopter makes a graceful wide turn and heads back in the direction of the hotel.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS72 	00:08:10,00 --> 00:08:16,50 	someone spies on the couple as they head off.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS111 	00:11:54,00 --> 00:12:02,50 	he heads up a staircase, stopping after only a few steps to peek at an upper floor.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS265 	00:38:55,00 --> 00:39:00,50 	someone glances at his mentor then heads off.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS365 	00:51:45,00 --> 00:51:52,50 	as he heads off, someone reads from the book leaning against the wall.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS602 	01:23:09,00 --> 01:23:40,50 	someone heads back inside as his friend climbs up to the rail car's roof.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS38 	00:03:28,00 --> 00:03:33,50 	he peeks into the vacant living room, then heads upstairs.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS398 	01:04:49,00 --> 01:04:58,50 	someone watches through the binoculars as someone glances around, heading to his on-campus apartment.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS444 	01:11:07,00 --> 01:11:11,50 	the couple heads away.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS526 	01:22:36,00 --> 01:22:40,50 	he heads out.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS549 	01:25:25,00 --> 01:25:30,50 	as someone heads out, someone rolls his eyes.
BLINDDATING.srt 	BLINDDATING_DVS86 	00:25:27,00 --> 00:25:44,50 	now, as the limo heads down the street, someone dabs her nose with a tissue.
BLINDDATING.srt 	BLINDDATING_DVS130 	00:35:39,00 --> 00:35:47,50 	now, someone heads out of the crimson elephant.
BLINDDATING.srt 	BLINDDATING_DVS326 	01:17:53,00 --> 01:18:00,50 	on another night, someone and someone lie head to toe on someone's bed.
BURLESQUE.srt 	BURLESQUE_DVS74 	00:06:36,00 --> 00:06:42,50 	as she heads down a staircase, she eyes the lounge's stage through a window.
BURLESQUE.srt 	BURLESQUE_DVS264 	00:37:40,00 --> 00:37:46,50 	as someone pulls on her sweater, the other dancers head out of the dressing room.
BURLESQUE.srt 	BURLESQUE_DVS640 	01:37:24,00 --> 01:37:27,50 	he heads off.
BURLESQUE.srt 	BURLESQUE_DVS665 	01:43:05,00 --> 01:43:15,50 	they head across the street to the high-rise of luxury condos.
BURLESQUE.srt 	BURLESQUE_DVS734 	01:50:14,00 --> 01:50:19,50 	heading for the door, he pauses.
