21_JUMP_STREET.srt 	21_JUMP_STREET_DVS289 	00:49:52,00 --> 00:49:58,50 	listening, someone bursts back in on the nerds, hitting someone with the door.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS297 	00:51:16,00 --> 00:51:21,50 	someone hits someone as someone fights his friends.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS433 	01:12:12,00 --> 01:12:27,50 	using a tennis racket, someone hits a golf ball into his head.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS605 	01:33:26,00 --> 01:33:32,50 	it hits the base of the biker's neck and he turns.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS661 	01:38:57,00 --> 01:39:02,50 	someone fires hitting someone in the groin.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS133 	00:37:21,00 --> 00:37:26,50 	pulling back out, someone almost hits a passing truck.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS162 	01:21:37,00 --> 01:21:45,50 	his front tire hits a pothole when he gets launched over the handle
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS190 	01:34:14,00 --> 01:34:19,50 	intersection cars nearly hit him.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS110 	00:22:22,00 --> 00:22:27,50 	as someone and someone try to think, mackenzie hits the stage.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS252 	00:21:56,00 --> 00:22:05,50 	as someone speeds through a stop sign, an intersecting car slides sideways and gets hit head-on by another.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS274 	00:23:35,00 --> 00:23:44,50 	following, the armored truck hits a car and fishtails around another.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS277 	00:23:50,00 --> 00:23:57,50 	beneath an overpass, a car evades someone and hits the wall.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS288 	00:24:47,00 --> 00:24:54,50 	as he attempts to stop swerving cars, an suv hits him head on.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS307 	00:26:58,00 --> 00:27:07,50 	the truck hits the van's rear.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS315 	00:27:51,00 --> 00:27:58,50 	he hits the truck again and someone's van spins away, passing by someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS380 	00:34:59,00 --> 00:35:11,50 	scrambling into the next room, someone hits a button.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS515 	00:50:10,00 --> 00:50:16,50 	a man fires at someone, hitting his blonde comrade.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS866 	01:24:47,00 --> 01:24:57,50 	in slow motion, he runs across a series of docks spanning the roof as sparks fly from the rotor blades hitting the sign.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS96 	00:25:11,00 --> 00:25:22,50 	someone swings the axe, he hits the trunk and flies through the air and lands in a patch of spiky plants.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS153 	00:30:26,00 --> 00:30:31,50 	a truck's mirror hits someone's last coffee out of his hands.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS213 	00:29:45,00 --> 00:29:54,50 	it hits an invisible mass.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS519 	01:12:57,00 --> 01:13:06,50 	he holds up a shaking hand and a shaft of light shining through a hole in his chest hits his palm.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS33 	00:02:45,00 --> 00:02:53,50 	a car almost hits the mailman.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS118 	00:16:16,00 --> 00:16:26,50 	bullets hit the hood, sending sparks flying.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS136 	00:20:13,00 --> 00:20:19,50 	a side door slides open and a duffel bag hits the pavement.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS543 	01:24:28,00 --> 01:24:34,50 	they hit a bump and catch air over a cross street.
BRUNO.srt 	BRUNO_DVS48 	00:09:14,00 --> 00:09:18,50 	he hits a pillar.
BRUNO.srt 	BRUNO_DVS157 	00:43:28,00 --> 00:43:44,50 	the speeding car nearly hits them.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS221 	00:39:10,00 --> 00:39:18,50 	the bullet hits the getaway car's driver in the head causing him to crash.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS37 	00:02:43,00 --> 00:02:49,50 	another wave hits the rocks and his head pops out of the water,
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS101 	00:07:50,00 --> 00:07:56,50 	in his dimly hit kitchen, the sandy haired man unscrews the top of a canister.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS167 	00:13:12,00 --> 00:13:19,50 	as another break hits someone, the board goes vertical and flips out of his hands.
CHRONICLE.srt 	CHRONICLE_DVS109 	00:15:23,00 --> 00:15:29,50 	someone throws off to the side, but the ball curves around and hits someone in the head.
CHRONICLE.srt 	CHRONICLE_DVS278 	00:42:51,00 --> 00:42:57,50 	a spotlight hits a stage flat painted like a stone carving of a great cat.
CHRONICLE.srt 	CHRONICLE_DVS487 	01:10:43,00 --> 01:10:52,50 	a bus hits someone head on.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS224 	00:47:00,00 --> 00:47:05,50 	someone's next punch hits someone's cheek.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS500 	01:55:36,00 --> 01:55:43,50 	as someone glares fiercely at someone, the timekeeper hits the bell.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS502 	01:56:00,00 --> 01:56:05,50 	he hits someone's chest.
