21_JUMP_STREET.srt 	21_JUMP_STREET_DVS327 	00:54:14,00 --> 00:54:20,50 	the teens from the three-way join the panicked stampede.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS337 	00:56:20,00 --> 00:56:25,50 	now, someone joins someone in the yearbook room.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS513 	01:21:18,00 --> 01:21:23,50 	someone joins them, slack jawed.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS541 	01:23:44,00 --> 01:23:50,50 	cinnamon and her prostitute friends join the geeks.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS549 	01:24:40,00 --> 01:24:44,50 	someone joins her.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS663 	01:39:07,00 --> 01:39:12,50 	someone joins him in making the arrest.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS32 	00:06:32,00 --> 00:06:36,50 	his friend joins in.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS192 	00:32:48,00 --> 00:32:56,50 	the large crowd of dancers is joined by a marching band in full colorful military style uniform.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS227 	00:42:25,00 --> 00:42:31,50 	someone's little sister runs of to join her football team on the pitch.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS361 	01:05:22,00 --> 01:05:29,50 	they join the throng of guests for a slow dance, smiling happily at one another.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS355 	00:31:32,00 --> 00:31:38,50 	as he joins the others, his son leads someone into the safe house.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS387 	00:35:24,00 --> 00:35:29,50 	someone joins someone and someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS467 	00:45:27,00 --> 00:45:35,50 	wielding a rifle, someone beckons a team of armed thugs out to join him.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS799 	01:20:13,00 --> 01:20:21,50 	someone shoots quick bursts around the pillar and his father joins in.
