21_JUMP_STREET.srt 	21_JUMP_STREET_DVS281 	00:48:51,00 --> 00:48:57,50 	a nerd knocks him into someone and someone swipes the dealer's phone.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS416 	01:10:18,00 --> 01:10:26,50 	knocking him onto the hood.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS569 	01:28:59,00 --> 01:29:04,50 	someone barges in knocking someone aside.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS328 	01:14:03,00 --> 01:14:10,50 	someone pistol-whips someone, knocking him to the dirt.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS836 	01:22:58,00 --> 01:23:06,50 	as someone returns fire, a bullet strikes his vest, knocking him down.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS148 	00:30:06,00 --> 00:30:12,50 	a small car skids to a stop, knocking into someone and spilling his trays.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS391 	01:09:00,00 --> 01:09:05,50 	someone punches someone, knocking him out cold.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS184 	00:25:04,00 --> 00:25:17,50 	he knocks someone back then activates a trapdoor.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS282 	00:40:28,00 --> 00:40:52,50 	the stallion knocks someone off someone sending him tumbling across the dirt.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS403 	00:58:20,00 --> 00:58:30,50 	the carriage skids in blood knocking someone off of someone.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS625 	01:37:04,00 --> 01:37:11,50 	as the thugs swap a look, someone grabs a world atlas and knocks them unconscious with it.
BLINDDATING.srt 	BLINDDATING_DVS104 	00:28:33,00 --> 00:28:38,50 	his date knocks back a shot.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS30 	00:04:11,00 --> 00:04:17,50 	the front wall collapses, knocking the goateed man down.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS303 	00:58:00,00 --> 00:58:06,50 	one guard knocks off a mustached man's bowler hat with a nightstick.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS312 	00:59:25,00 --> 00:59:33,50 	the shield bashes the guard in the faces, knocking him backward.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS363 	01:05:55,00 --> 01:06:05,50 	someone loses his pistol as a second punch knocks him down.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS560 	01:37:47,00 --> 01:38:04,50 	he sprints through the fray, knocking troopers down with his shield.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS419 	00:39:27,00 --> 00:39:34,50 	standing in chest high water, a small wave knocks him over and someone smiles.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS624 	01:00:16,00 --> 01:00:21,50 	he knocks a bell off the counter.
CHRONICLE.srt 	CHRONICLE_DVS423 	01:02:22,00 --> 01:02:28,50 	he punches the air, knocking the clerk back against the cigarette case.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS379 	01:32:55,00 --> 01:33:02,50 	in the film, baer hits campbell repeatedly in the head, knocking him to a corner.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS381 	01:33:11,00 --> 01:33:16,50 	baer knocks his opponent down.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS386 	01:33:47,00 --> 01:34:20,50 	baer hits campbell repeatedly in the head, knocking him to a corner.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS386 	01:33:47,00 --> 01:34:20,50 	as campbell leans over against the ropes, baer winds up his right arm and knocks the fighter down with a haymaker.
COLOMBIANA.srt 	COLOMBIANA_DVS803 	01:17:56,00 --> 01:18:00,50 	he knocks on a wall.
COLOMBIANA.srt 	COLOMBIANA_DVS827 	01:19:47,00 --> 01:19:53,50 	she slams his head against a coffee table, knocking him out.
COLOMBIANA.srt 	COLOMBIANA_DVS1030 	01:37:33,00 --> 01:37:39,50 	she whips the towel at his hand and knocks the gun into the tub.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS62 	00:09:46,00 --> 00:09:52,50 	the guy masseuse knocked over by a log.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS167 	00:38:52,00 --> 00:38:58,50 	someone knocks a pot plant off the fire escape.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS192 	00:46:39,00 --> 00:46:44,50 	they knock chairs over.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS402 	01:40:38,00 --> 01:40:44,50 	the blind fencer storms out, knocking over a tray of drinks.
DISTRICT_9.srt 	DISTRICT_9_DVS784 	01:32:46,00 --> 01:32:51,50 	it knocks it off balance.
EASY_A.srt 	EASY_A_DVS152 	00:48:14,00 --> 00:48:19,50 	now she knocks on mr.
EASY_A.srt 	EASY_A_DVS213 	01:05:27,00 --> 01:05:34,50 	she knocks over a family photo.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS174 	00:47:59,00 --> 00:48:05,50 	he knocks the sandwich out of her hand.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS166 	00:25:53,00 --> 00:25:58,50 	he knocks back some pills.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS244 	00:39:01,00 --> 00:39:08,50 	as the flaming skeleton knocks him onto his back.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS566 	01:21:18,00 --> 01:21:51,50 	the flaming vehicle knocks it off the road.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS569 	01:22:08,00 --> 01:22:13,50 	the rider elbows him then knocks him back.
HUGO.srt 	HUGO_DVS576 	01:24:11,00 --> 01:24:18,50 	one man knocks another man out of the train's path as it crashes through a newsstand.
IN_TIME.srt 	IN_TIME_DVS78 	00:08:58,00 --> 00:09:04,50 	from hiding, someone swings a stall door, knocking out the thug.
IN_TIME.srt 	IN_TIME_DVS420 	00:45:14,00 --> 00:45:19,50 	he obeys and someone knocks him out.
IRON_MAN_2.srt 	IRON_MAN_2_DVS454 	01:23:41,00 --> 01:23:46,50 	someone swings a sledgehammer and knocks holes in a concrete wall.
IRON_MAN_2.srt 	IRON_MAN_2_DVS596 	01:42:43,00 --> 01:43:17,50 	someone breaks his right arm and knocks him out with a kick.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS397 	01:13:12,00 --> 01:13:20,50 	someone delivers a right hook that knocks him clear through a door onto the floor of the adjacent restroom.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS409 	01:17:00,00 --> 01:17:04,50 	half in costume, he knocks on a door.
KARATE_KID.srt 	KARATE_KID_DVS201 	00:17:21,00 --> 00:17:31,50 	the boy knocks it out of his hands.
KARATE_KID.srt 	KARATE_KID_DVS220 	00:18:55,00 --> 00:19:13,50 	it knocks the bully down, but he does an instant kick-up to his feet.
KARATE_KID.srt 	KARATE_KID_DVS264 	00:24:03,00 --> 00:24:08,50 	someone knocks the tray out of his hands.
KARATE_KID.srt 	KARATE_KID_DVS464 	00:41:09,00 --> 00:41:29,50 	someone topples a stack of boxes, knocking them in front of his pursuers.
KARATE_KID.srt 	KARATE_KID_DVS483 	00:43:37,00 --> 00:43:42,50 	he knocks someone to the ground.
KARATE_KID.srt 	KARATE_KID_DVS673 	00:57:32,00 --> 00:57:40,50 	someone dances from side to side, knocking over a ceramic vase.
KARATE_KID.srt 	KARATE_KID_DVS1408 	01:53:35,00 --> 01:53:52,50 	on a mat, someone's teammate with close-cropped hair jumps, and boots his opponent in the chest, knocking him flat, and scoring a point.
KARATE_KID.srt 	KARATE_KID_DVS1413 	01:54:05,00 --> 01:54:13,50 	with a single powerful kick, he knocks the boy off his feet, and sends him crashing to the mat.
KARATE_KID.srt 	KARATE_KID_DVS1624 	02:12:06,00 --> 02:12:17,50 	his descending foot kicks someone, knocking him to the mat.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS126 	00:31:11,00 --> 00:31:15,50 	she knocks over a stool.
