21_JUMP_STREET.srt 	21_JUMP_STREET_DVS112 	00:15:13,00 --> 00:15:22,50 	the teen dances, rips the clothes from his closet, trashes a piano keyboard and then leans close to the camera.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS377 	01:03:49,00 --> 01:03:56,50 	her expression tender, someone leans her lips toward his.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS587 	01:31:36,00 --> 01:31:42,50 	someone leans out from behind the couch and shoots expertly.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS270 	01:04:24,00 --> 01:04:30,50 	leaning forward she spots men's shoes crossing the checkered floor.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS79 	00:41:00,00 --> 00:41:06,50 	she leans on a shelf.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS87 	00:45:48,00 --> 00:46:03,50 	slowly leaning back into view, he peers around the corner at the box of porn.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS351 	01:03:38,00 --> 01:03:43,50 	someone leans over to someone.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS464 	01:18:45,00 --> 01:18:49,50 	she leans forward and kisses him
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS408 	00:38:23,00 --> 00:38:34,50 	leaning out from hiding and craning his neck, the young agent peers up at the hotel.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS410 	00:39:01,00 --> 00:39:06,50 	the two older men lean against a construction truck.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS427 	00:41:40,00 --> 00:41:43,50 	leaning against the wall, someone's straightens.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS483 	00:46:53,00 --> 00:46:59,50 	the beautiful woman leans her lips close to his ear.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS643 	01:06:33,00 --> 01:06:39,50 	someone leans over and inspects the back wall of the locker.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS769 	01:16:14,00 --> 01:16:22,50 	as the old man leans on a rack, someone scans the room.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS917 	01:28:27,00 --> 01:28:34,50 	someone leans his head back in a relieved sigh, then swims to the pool's edge.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS225 	00:32:13,00 --> 00:32:22,50 	beaming hopefully, someone steps closer and rises up on her toes leaning her face toward his.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS284 	00:41:03,00 --> 00:41:22,50 	someone leans back as someone throws a roundhouse kick.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS584 	01:21:07,00 --> 01:21:15,50 	from the engine, someone leans out a window and spots several vampires leaping onto the freight cars.
BAD_TEACHER.srt 	BAD_TEACHER_DVS50 	00:16:38,00 --> 00:16:43,50 	someone leans forward.
BAD_TEACHER.srt 	BAD_TEACHER_DVS303 	01:20:43,00 --> 01:20:48,50 	the superintendent leans back.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS270 	00:45:16,00 --> 00:45:21,50 	he leans over to the stereo.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS418 	01:06:44,00 --> 01:06:48,50 	he leans closer.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS429 	01:09:00,00 --> 01:09:04,50 	he leans closer.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS435 	01:09:44,00 --> 01:09:50,50 	as he leans closer, someone jumps up from the couch.
