21_JUMP_STREET.srt 	21_JUMP_STREET_DVS175 	00:30:14,00 --> 00:30:19,50 	a text, meet at yearbook.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS349 	00:58:15,00 --> 00:58:19,50 	he goes to meet her.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS184 	00:32:03,00 --> 00:32:08,50 	he cheerfully greets the people he meets, even kissing one woman's hand.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS185 	00:32:12,00 --> 00:32:19,50 	he daps and slaps with a couple of guys he meets on his sunny walk to work, shakes a lot of hands, and is wreathed in smiles.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS224 	00:41:18,00 --> 00:41:24,50 	someone challenges his friends who can't meet his eye.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS251 	00:47:12,00 --> 00:47:19,50 	as someone stomps downstairs, he meets two women coming up.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS443 	00:42:42,00 --> 00:42:48,50 	with a loving smile, he meets her halfway.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS227 	00:32:20,00 --> 00:32:26,50 	someone takes a deep breath and makes no move to meet her.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS296 	00:43:24,00 --> 00:43:28,50 	someone meets his gaze.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS329 	00:47:16,00 --> 00:47:21,50 	the seated vampire meets his gaze.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS414 	00:59:22,00 --> 00:59:27,50 	a pastor comes out to meet them.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS540 	01:16:16,00 --> 01:16:22,50 	someone turns over his shoulder to meet her gaze.
BAD_TEACHER.srt 	BAD_TEACHER_DVS273 	01:14:04,00 --> 01:14:14,50 	meeting his gaze, she cocks her head, stands, then reaches behind her back and under her sleeve.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS121 	00:17:28,00 --> 00:17:34,50 	now, in a nightclub, someone and someone meet someone who talks on a cell.
BLINDDATING.srt 	BLINDDATING_DVS331 	01:19:03,00 --> 01:19:08,50 	a reporter meets someone.
BLINDDATING.srt 	BLINDDATING_DVS361 	01:28:44,00 --> 01:28:51,50 	meeting someone's sincere gaze, someone takes a shaky breath.
BURLESQUE.srt 	BURLESQUE_DVS65 	00:05:57,00 --> 00:06:05,50 	as the woman adjusts her striped thigh-highs, her gaze meets the blonde's.
BURLESQUE.srt 	BURLESQUE_DVS448 	01:01:14,00 --> 01:01:20,50 	later she meets someone at the bar.
BURLESQUE.srt 	BURLESQUE_DVS461 	01:03:08,00 --> 01:03:13,50 	leading her downstairs, he meets two guests.,
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS27 	00:03:57,00 --> 00:04:06,50 	a bearded man with gray hair shuffles to meet him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS180 	00:33:40,00 --> 00:33:48,50 	someone meets her gaze.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS49 	00:03:30,00 --> 00:03:37,50 	the girl watches, then runs to meet them with the dog in tow.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS910 	01:29:27,00 --> 01:29:32,50 	their lips meet in a tender kiss.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1125 	01:47:41,00 --> 01:47:48,50 	someone walks into the surf to meet someone and they throw their arms around each other.
CHRONICLE.srt 	CHRONICLE_DVS46 	00:05:48,00 --> 00:05:55,50 	at a little corner park, three guys meet up toting bottles and brown bags.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS64 	00:12:56,00 --> 00:13:02,50 	he meets someone's gaze.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS206 	00:42:58,00 --> 00:43:06,50 	the decommissioned boxer meets his gaze.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS252 	01:02:37,00 --> 01:02:42,50 	someone meets her worried glance.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS305 	01:13:16,00 --> 01:13:20,50 	he meets someone's gaze.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS431 	01:44:43,00 --> 01:44:49,50 	she meets his gaze.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS481 	01:50:17,00 --> 01:50:27,50 	someone crosses to her and she meets him halfway.
COLOMBIANA.srt 	COLOMBIANA_DVS258 	00:21:34,00 --> 00:21:40,50 	he reads it then meets her gaze.
COLOMBIANA.srt 	COLOMBIANA_DVS463 	00:40:36,00 --> 00:40:43,50 	accompanied by a small team of associates, he meets someone warren and his men.
DEAR_JOHN.srt 	DEAR_JOHN_DVS29 	00:03:36,00 --> 00:03:44,50 	on the sand, someone kicks off his flip-flops, and trots into the water, meeting the soldier in the surf.
DEAR_JOHN.srt 	DEAR_JOHN_DVS194 	00:30:48,00 --> 00:30:54,50 	someone meets the kind man who hands him the paper with a pen.
DEAR_JOHN.srt 	DEAR_JOHN_DVS312 	00:48:23,00 --> 00:48:34,50 	as he gazes at her, thumbing her hair around her ear, she meets his gaze and smiles.
DEAR_JOHN.srt 	DEAR_JOHN_DVS334 	00:51:25,00 --> 00:51:30,50 	someone meets her gaze.
DEAR_JOHN.srt 	DEAR_JOHN_DVS365 	00:58:22,00 --> 00:58:29,50 	she meets his gaze, then draws his face closer and kisses his forehead.
