21_JUMP_STREET.srt 	21_JUMP_STREET_DVS35 	00:03:57,00 --> 00:04:03,50 	he notices someone's test which boasts a perfect score.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS146 	00:23:18,00 --> 00:23:23,50 	he notices teens in rockabilly clothes.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS533 	01:22:40,00 --> 01:22:46,50 	then notices the hanging shotgun clipped to the back of his partners holster.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS43 	00:08:21,00 --> 00:08:27,50 	then notices his own reflection in a metallic balloon.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS127 	00:33:47,00 --> 00:33:53,50 	he notices a commercial property for lease in a strip mall.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS393 	01:09:59,00 --> 01:10:06,50 	his jaw sags and his eyes fill with tears as he notices it's a diamond engagement ring.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS538 	01:27:49,00 --> 01:27:52,50 	they notice each other,
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS809 	01:20:47,00 --> 01:20:53,50 	peeking out, someone notices the small forklift.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS815 	01:21:01,00 --> 01:21:11,50 	the forklift comes to rest beside the thug, and he notices the grenade.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS129 	00:15:38,00 --> 00:15:43,50 	someone notices an ax outside.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS209 	00:28:23,00 --> 00:28:30,50 	douglas notices her absence then spots her dancing with someone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS246 	00:34:58,00 --> 00:35:04,50 	noticing a scar on the visitor's cheek, someone remembers.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS356 	00:50:50,00 --> 00:50:58,50 	he removes a red rose petal from one of the slain vampire's eyes then notices something in his hand.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS655 	01:32:49,00 --> 01:32:56,50 	clutching her left arm and breathing heavily, she notices a crate of garlic.
BAD_TEACHER.srt 	BAD_TEACHER_DVS191 	00:53:10,00 --> 00:53:21,50 	she notices an address on the back cover and tears it off.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS46 	00:05:44,00 --> 00:05:51,50 	he points to a large banner reading prodi-g, then notices a pretty girl in the crowd.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS167 	00:27:47,00 --> 00:27:51,50 	the pretty girl notices it.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS182 	00:31:16,00 --> 00:31:22,50 	someone notices someone playing a nearby baby grand piano.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS211 	00:34:33,00 --> 00:34:39,50 	someone notices their disapproval.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS256 	00:43:51,00 --> 00:43:56,50 	someone notices a necklace on the floor and grabs it.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS482 	01:14:27,00 --> 01:14:32,50 	they fail to notice the russians' mercedes.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS564 	01:28:21,00 --> 01:28:26,50 	someone notices the young man.
BLINDDATING.srt 	BLINDDATING_DVS333 	01:19:57,00 --> 01:20:03,50 	crimson elephant, someone notices the tv report.
BURLESQUE.srt 	BURLESQUE_DVS112 	00:14:59,00 --> 00:15:04,50 	as she brings the tray back to the bar, someone notices her.
BURLESQUE.srt 	BURLESQUE_DVS115 	00:15:39,00 --> 00:15:45,50 	as the girl from iowa serves drinks, someone notices her.
