A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS85 	00:07:06,00 --> 00:07:12,50 	she paces.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS428 	01:01:14,00 --> 01:01:21,50 	later, someone stands by as someone paces the empty chamber.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS622 	01:27:32,00 --> 01:27:40,50 	someone angrily paces away.
BAD_TEACHER.srt 	BAD_TEACHER_DVS235 	01:04:59,00 --> 01:05:07,50 	now she visits someone who paces.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS320 	01:00:32,00 --> 01:00:40,50 	in the darkened prisoners ward, a guard paces along a catwalk above circular jail cells.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS267 	01:05:25,00 --> 01:05:32,50 	pacing with aimless steps, someone smiles over a wad of bills.
EASY_A.srt 	EASY_A_DVS188 	00:58:12,00 --> 00:58:18,50 	she paces in her office, a hand cupped over her mouth.
GREEN_ZONE.srt 	GREEN_ZONE_DVS271 	01:03:16,00 --> 01:03:21,50 	she paces and rifles through some papers.
HUGO.srt 	HUGO_DVS733 	01:47:42,00 --> 01:47:49,50 	someone peers down the stairs then at the large clockwork mechanism as he paces frantically.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS360 	01:07:18,00 --> 01:07:24,50 	as he paces, wind buffets his 60s style floral dress.
KNOCKED_UP.srt 	KNOCKED_UP_DVS169 	01:46:56,00 --> 01:47:00,50 	he paces in the hall.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS432 	01:06:47,00 --> 01:06:52,50 	he paces the corner.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS712 	00:46:53,00 --> 00:46:58,50 	a teacher paces an aisle.
