40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS74 	00:40:18,00 --> 00:40:24,50 	she yawns as she places books on shelves.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS171 	01:23:32,00 --> 01:23:37,50 	he places the figure in a bubble.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS520 	01:26:16,00 --> 01:26:20,50 	she places her hand on his
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS151 	00:14:11,00 --> 00:14:18,50 	the soldiers place someone and someone in adjacent thick glass holding cells.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS84 	00:22:44,00 --> 00:22:50,50 	someone places his hands together.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS327 	00:58:39,00 --> 00:58:43,50 	someone places his palms together.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS406 	01:10:37,00 --> 01:10:42,50 	and places it over his mouth again.
BURLESQUE.srt 	BURLESQUE_DVS539 	01:14:28,00 --> 01:14:34,50 	someone places a chair center stage and straddles it.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS494 	01:26:12,00 --> 01:26:18,50 	as he places the tray on a table, someone sits.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS202 	00:42:10,00 --> 00:42:19,50 	the hefty man places a someone in someone's cap.
COLOMBIANA.srt 	COLOMBIANA_DVS56 	00:03:28,00 --> 00:03:33,50 	he places his free hand on his mentor.
COLOMBIANA.srt 	COLOMBIANA_DVS216 	00:18:30,00 --> 00:18:39,50 	his older colleague watches in disbelief as he cleans it off and places it in a disk which he then inserts into his computer.
COLOMBIANA.srt 	COLOMBIANA_DVS599 	00:56:39,00 --> 00:56:44,50 	she places a steak in each of their bowls.
DISTRICT_9.srt 	DISTRICT_9_DVS359 	00:39:45,00 --> 00:39:56,50 	the head doctor places someone's alien hand on the gun.
FLIGHT.srt 	FLIGHT_DVS153 	00:28:44,00 --> 00:28:50,50 	the ntsb officer places a recorder on someone's bed.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS353 	00:52:32,00 --> 00:52:42,50 	he places a hand on someone's head.
HUGO.srt 	HUGO_DVS159 	00:21:52,00 --> 00:21:57,50 	claude palms a nearby pocket watch and places it into his coat.
HUGO.srt 	HUGO_DVS213 	00:31:45,00 --> 00:31:52,50 	tightens it on with screws, then places the repaired mouse back onto the counter.
HUGO.srt 	HUGO_DVS381 	00:58:14,00 --> 00:58:19,50 	she places her hand on the side of his head.
