21_JUMP_STREET.srt 	21_JUMP_STREET_DVS151 	00:24:25,00 --> 00:24:29,50 	someone punches him in the face.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS295 	00:51:09,00 --> 00:51:13,50 	someone punches him in the gut.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS304 	00:51:52,00 --> 00:52:00,50 	as someone punches out a thug, someone backs someone to the mantel where the sedona vase rests.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS556 	01:26:18,00 --> 01:26:23,50 	someone fake punches someone's abs.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS64 	00:15:04,00 --> 00:15:09,50 	he repeatedly punches someone on the hip.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS259 	01:01:35,00 --> 01:01:40,50 	someone punches him in the kidney.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS193 	01:35:40,00 --> 01:35:46,50 	someone in the groins slaps him and punches his shoulder.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS291 	00:25:07,00 --> 00:25:11,50 	someone punches him.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS391 	01:09:00,00 --> 01:09:05,50 	someone punches someone, knocking him out cold.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS27 	00:02:41,00 --> 00:02:49,50 	someone the enforcer down and punches him in the face sending him crashing into the water.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS105 	00:15:10,00 --> 00:15:16,50 	someone punches someone who retaliates with a right hook.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS488 	01:16:00,00 --> 01:16:06,50 	he flips open a laptop and punches a few keys.
BLINDDATING.srt 	BLINDDATING_DVS202 	00:50:24,00 --> 00:50:30,50 	at the limo, someone feels for his brother and punches him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS66 	00:09:51,00 --> 00:09:58,50 	outside in an alley, the large man punches someone to the ground.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS67 	00:09:55,00 --> 00:10:05,50 	someone stands but the thug punches him again.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS67 	00:09:55,00 --> 00:10:05,50 	someone holds up a trash can lid like a shield, but the large man tosses it aside and punches someone in the face.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS69 	00:10:13,00 --> 00:10:20,50 	someone takes a swing, but the man easily blocks it and punches someone into some trashcans.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS71 	00:10:20,00 --> 00:10:30,50 	the army man punches the thug and kicks him down the alley.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS120 	00:20:18,00 --> 00:20:23,50 	someone punches hodge's face, toppling him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS270 	00:49:49,00 --> 00:49:56,50 	someone turns and pretends to punch out a hitler impersonator sneaking up behind him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS360 	01:05:45,00 --> 01:05:50,50 	someone punches someone in the face.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS362 	01:05:52,00 --> 01:05:58,50 	someone punches back, denting someone' shield.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS528 	01:34:47,00 --> 01:34:53,50 	someone punches someone, backhands him, and jabs him in the chest.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS604 	01:42:51,00 --> 01:43:03,50 	using his shield as cover, someone runs up and punches someone in the stomach causing him to drop his blaster.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS604 	01:42:51,00 --> 01:43:03,50 	he slices at his throat with the shield, but someone dodges and punches someone to the deck.
