21_JUMP_STREET.srt 	21_JUMP_STREET_DVS33 	00:03:48,00 --> 00:03:53,50 	he slams him down on the mat and raises his fist.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS199 	00:34:47,00 --> 00:34:52,50 	someone raises his hand.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS68 	00:04:49,00 --> 00:04:54,50 	he raises his gun to the man in the booth.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS89 	00:07:52,00 --> 00:07:56,50 	she raises her eyebrows slightly.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS175 	00:15:46,00 --> 00:15:53,50 	they round a raised curb by a side entrance and park in a line along the courthouse.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS610 	01:02:56,00 --> 01:03:06,50 	as someone surveys the scene, his son raises a pair of binoculars and focuses them on a group of men in yellow suits outside the plant.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS786 	01:18:33,00 --> 01:18:39,50 	someone raises his brow as someone seethes.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS158 	00:30:38,00 --> 00:30:43,50 	someone squints at the doctor, then raises his eyebrows.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS159 	00:30:41,00 --> 00:30:45,50 	the doctor raises his.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS351 	01:00:53,00 --> 01:00:58,50 	raises his hand, pinches his fingertips together,
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS487 	01:23:49,00 --> 01:23:54,50 	someone raises his eyebrow.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS654 	01:32:37,00 --> 01:32:51,50 	our view raises from their tent, ascending a flagpole for a glimpse of the entire camp as runaway slaves arm the union soldiers with the silver-outfitted weaponry.
BAD_TEACHER.srt 	BAD_TEACHER_DVS28 	00:11:29,00 --> 00:11:34,50 	no students raise their hands.
BAD_TEACHER.srt 	BAD_TEACHER_DVS177 	00:49:41,00 --> 00:49:46,50 	someone raises his eyebrows.
BAD_TEACHER.srt 	BAD_TEACHER_DVS305 	01:21:34,00 --> 01:21:39,50 	someone raises her hand.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS118 	00:16:16,00 --> 00:16:26,50 	as the suv speeds toward a closed gate, someone steps in front of it with his gun raised.
