21_JUMP_STREET.srt 	21_JUMP_STREET_DVS537 	01:22:58,00 --> 01:23:02,50 	someone regards his partner
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS569 	01:19:25,00 --> 01:19:35,50 	someone regards his old friend solemnly.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS424 	01:07:59,00 --> 01:08:04,50 	someone regards him amiably.
BLINDDATING.srt 	BLINDDATING_DVS192 	00:48:57,00 --> 00:49:04,50 	someone wryly regards the muscular guy's grin.
BURLESQUE.srt 	BURLESQUE_DVS157 	00:22:13,00 --> 00:22:18,50 	as someone waits, she regards him plainly.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS581 	00:56:20,00 --> 00:56:25,50 	someone regards him with a weary sneer.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS664 	01:04:31,00 --> 01:04:36,50 	the teacher regards him with a concerned gaze.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS688 	01:07:09,00 --> 01:07:15,50 	someone's smile fades and she regards him compassionately.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS769 	01:16:42,00 --> 01:16:48,50 	someone regards her grieving friend with glistening eyes.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS258 	01:03:26,00 --> 01:03:32,50 	someone regards the paper, nods and smiles.
COLOMBIANA.srt 	COLOMBIANA_DVS637 	00:59:59,00 --> 01:00:07,50 	halting a few yards from the foot of the bed, she regards the ponzi schemer with a cold determined gaze.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS270 	01:06:09,00 --> 01:06:16,50 	someone hands the napkin to someone, who regards him dubiously.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS543 	01:17:32,00 --> 01:17:37,50 	the boy regards him with a knitted brow.
IN_TIME.srt 	IN_TIME_DVS357 	00:37:34,00 --> 00:37:39,50 	someone regards her incredulously.
IN_TIME.srt 	IN_TIME_DVS399 	00:41:47,00 --> 00:41:53,50 	someone twiddles his thumbs and regards the suspect impassively.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS260 	00:49:48,00 --> 00:49:54,50 	a surprised someone regards her new friends.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS328 	01:45:07,00 --> 01:45:13,50 	someone regards her with a sober frown.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS187 	00:43:42,00 --> 00:43:47,50 	she regards someone.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS234 	00:54:48,00 --> 00:54:54,50 	someone regards him uneasily.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS309 	01:13:00,00 --> 01:13:07,50 	he regards his sober students with wide eyes.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS519 	00:56:58,00 --> 00:57:03,50 	someone regards the tiger woefully.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1110 	01:56:45,00 --> 01:56:51,50 	someone regards the younger man with a calm, sad expression.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS91 	00:20:23,00 --> 00:20:31,50 	the someone regards someone frankly.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS253 	00:52:54,00 --> 00:54:08,50 	someone lays it aside and regards the velveteen.
PROMETHEUS.srt 	PROMETHEUS_DVS146 	00:09:21,00 --> 00:09:26,50 	the young someone regards the local priest.
PROMETHEUS.srt 	PROMETHEUS_DVS304 	00:29:55,00 --> 00:30:01,50 	someone regards the space with a calm expression.
PROMETHEUS.srt 	PROMETHEUS_DVS589 	01:05:54,00 --> 01:05:59,50 	holloway regards him suspiciously.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS106 	00:27:01,00 --> 00:27:13,50 	the bright sun halos someone as he regards the knight.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS454 	01:52:56,00 --> 01:53:02,50 	someone regards her squarely.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS460 	01:10:47,00 --> 01:10:53,50 	regarding her with a sad worried gaze.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS973 	01:03:20,00 --> 01:03:25,50 	she regards her friend compassionately, her eyes glistening.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1051 	01:08:50,00 --> 01:08:55,50 	someone regards her with a smile.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1247 	01:23:47,00 --> 01:23:52,50 	the contemporary woman regards her sadly.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS259 	00:52:16,00 --> 00:52:22,50 	someone regards her tenderly, then types in a new command.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS286 	00:59:42,00 --> 00:59:48,50 	someone regards someone's ring on his finger.
SOUL_SURFER.srt 	SOUL_SURFER_DVS126 	00:40:59,00 --> 00:41:04,50 	her mother regards her with wide eyes.
SOUL_SURFER.srt 	SOUL_SURFER_DVS212 	01:08:48,00 --> 01:08:52,50 	she regards him.
SOUL_SURFER.srt 	SOUL_SURFER_DVS290 	01:22:41,00 --> 01:22:46,50 	someone regards her friend thoughtfully.
SPARKLE_2012.srt 	SPARKLE_2012_DVS589 	01:36:16,00 --> 01:36:20,50 	someone regards her.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS396 	01:16:13,00 --> 01:16:40,50 	someone regards him proudly.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS383 	01:12:53,00 --> 01:12:58,50 	someone regards him thoughtfully.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS132 	00:21:42,00 --> 00:21:47,50 	someone regards her with a disapproving smirk.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS520 	01:16:35,00 --> 01:16:43,50 	someone regards his cousin with a flinty stare.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS67 	00:05:15,00 --> 00:05:27,50 	inside, a lovely blonde in her 40s steps away from her desk and regards him sympathetically.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS222 	01:14:00,00 --> 01:14:06,50 	someone regards her son, then fetches her handbag from the hallway.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS156 	00:54:44,00 --> 00:54:50,50 	then regards him sympathetically.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS320 	01:53:37,00 --> 01:53:42,50 	someone regards him sympathetically.
THE_VOW.srt 	THE_VOW_DVS450 	01:04:52,00 --> 01:04:57,50 	her husband regards her with a tender gaze.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS502 	01:27:04,00 --> 01:27:09,50 	someone regards his friend with a concerned frown.
