21_JUMP_STREET.srt 	21_JUMP_STREET_DVS534 	01:22:48,00 --> 01:22:52,50 	he removes the weapon.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS323 	01:12:40,00 --> 01:12:48,50 	someone removes the shirt from someone's face and she hugs him.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS729 	01:13:28,00 --> 01:13:37,50 	strolling deeper inside, the elderly man eyes his merchandise and removes glasses from his pocket.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS271 	00:50:21,00 --> 00:50:27,50 	someone removes the handcuffs.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS422 	01:07:45,00 --> 01:07:51,50 	he removes his scarf and shrugs.
BLINDDATING.srt 	BLINDDATING_DVS293 	01:12:50,00 --> 01:12:58,50 	dr. sato removes a power pack wired with a pair of modified sunglasses.
BLINDDATING.srt 	BLINDDATING_DVS320 	01:17:12,00 --> 01:17:24,50 	someone removes two framed baseball pictures from in front of a dresser-top mirror.
BURLESQUE.srt 	BURLESQUE_DVS591 	01:27:35,00 --> 01:27:41,50 	someone removes her earrings, her back to the bedroom.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS80 	00:12:22,00 --> 00:12:27,50 	the models remove the car's tires.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS107 	00:17:54,00 --> 00:18:06,50 	the nazi officer places the box he removed from the tower onto a table.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS129 	00:22:21,00 --> 00:22:27,50 	someone removes two pins at the base of the flagpole, tipping it over.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS452 	01:20:47,00 --> 01:21:01,50 	in the strategy room, someone removes another flag from a wall map.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS443 	00:42:36,00 --> 00:42:40,50 	he removes his shirt.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS448 	00:43:25,00 --> 00:43:29,50 	she quickly removes her top.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS556 	00:53:36,00 --> 00:53:41,50 	she tosses her purse and keys down then removes her coat.
CHRONICLE.srt 	CHRONICLE_DVS250 	00:37:17,00 --> 00:37:23,50 	someone removes his backpack and digs inside.
CHRONICLE.srt 	CHRONICLE_DVS436 	01:03:36,00 --> 01:03:44,50 	someone cross to a large window and remove his jacket.
