21_JUMP_STREET.srt 	21_JUMP_STREET_DVS148 	00:23:28,00 --> 00:23:37,50 	in slow-motion a fresh-faced blonde with a sunny smile rides a bicycle through the quad.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS443 	01:13:31,00 --> 01:13:38,50 	as the beetle rides up alongside a tanker truck, one of the bikers gains on them.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS454 	01:14:32,00 --> 01:14:40,50 	the gang leader cuts off a sedan and rides up alongside them again.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS162 	01:21:37,00 --> 01:21:45,50 	someone rides his new mountain bike down the road.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS40 	00:03:06,00 --> 00:03:12,50 	the boy rides on a miniature railway.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS50 	00:03:37,00 --> 00:03:41,50 	the girl rides a horse.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS236 	00:33:27,00 --> 00:33:39,50 	now in the deep south, a veiled woman rides a horse up a dirt path to a plantation house.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS256 	00:37:33,00 --> 00:37:38,50 	someone rides up in a carriage.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS488 	01:08:19,00 --> 01:08:26,50 	a carriage rides past the mist-enshrouded white house.
BRUNO.srt 	BRUNO_DVS148 	00:37:27,00 --> 00:37:31,50 	someone rides the exercise bike.
BURLESQUE.srt 	BURLESQUE_DVS179 	00:25:37,00 --> 00:25:43,50 	now someone rides down a street on a motorcycle and parks.
BURLESQUE.srt 	BURLESQUE_DVS453 	01:02:01,00 --> 01:02:08,50 	later someone rides in a vintage convertible speedster as someone drives.
