21_JUMP_STREET.srt 	21_JUMP_STREET_DVS134 	00:22:08,00 --> 00:22:14,50 	he drives toward someone who nimbly rolls over the hood and lands safely on the ground.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS687 	01:43:11,00 --> 01:43:17,50 	a rolled $20 someone sucks up a line of coke.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS56 	00:12:10,00 --> 00:12:19,50 	now in an apartment the shaggy-haired delivery guy grabs a rolling rock from a refrigerator, then enters the living room.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS119 	00:31:25,00 --> 00:31:30,50 	someone rolls his eyes then sits on someone's couch.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS236 	00:56:16,00 --> 00:56:25,50 	the black car rolls up and parks between an abandoned building and the railroad tracks, about 20 feet away from someone's car.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS344 	01:15:59,00 --> 01:16:04,50 	he kneels at his friend's side and rolls him over.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS202 	00:33:27,00 --> 00:33:41,50 	day 35 rolls forward to day 303, and the lift door opens revealing a despondent, disheveled someone.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS205 	00:34:26,00 --> 00:34:34,50 	day 303 rolls back to day 45.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS213 	00:37:47,00 --> 00:37:51,50 	he rolls up her sleeve.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS318 	00:56:46,00 --> 00:56:54,50 	day 321 rolls back to day 167.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS409 	01:11:09,00 --> 01:11:14,50 	then rolls himself up in his bed clothes.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS731 	01:13:38,00 --> 01:13:44,50 	with an aggressive kick, he rolls the body over and crouches beside it.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS884 	01:26:09,00 --> 01:26:15,50 	someone lands hard, rolling in shattered glass on the floor.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS179 	00:34:10,00 --> 00:34:15,50 	someone tilts back his head and rolls his eyes.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS389 	01:08:43,00 --> 01:08:49,50 	someone lies motionless, as someone rolls him onto his back.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS52 	00:04:59,00 --> 00:05:06,50 	her eyes roll back.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS279 	00:39:58,00 --> 00:40:22,50 	he rolls to a stop and stands up to find himself facing the oncoming stampede.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS288 	00:41:53,00 --> 00:42:11,50 	rolling to a stop, he loses his ax.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS316 	00:45:57,00 --> 00:46:02,50 	someone's eyes roll back.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS320 	00:46:11,00 --> 00:46:17,50 	with his boot, someone rolls her on her back.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS470 	01:06:47,00 --> 01:06:55,50 	staring off, someone remembers his dying mother writhing as her eyes rolled back in her head.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS538 	01:16:10,00 --> 01:16:15,50 	she rolls her head to face him.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS47 	00:05:53,00 --> 00:05:58,50 	she rolls her eyes and leaves.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS549 	01:25:25,00 --> 01:25:30,50 	as someone heads out, someone rolls his eyes.
BLINDDATING.srt 	BLINDDATING_DVS278 	01:09:41,00 --> 01:10:00,50 	as he passes, his head rolls to the side in her direction.
BURLESQUE.srt 	BURLESQUE_DVS160 	00:22:46,00 --> 00:22:51,50 	onstage, the nurses roll someone along in the chair.
BURLESQUE.srt 	BURLESQUE_DVS283 	00:38:50,00 --> 00:38:54,50 	someone rolls her eyes.
BURLESQUE.srt 	BURLESQUE_DVS555 	01:20:10,00 --> 01:20:15,50 	someone rolls her eyes resentfully and pulls the doors shut.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS136 	00:23:44,00 --> 00:23:50,50 	he pulls the pin and rolls the grenade onto the field full of recruits.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS234 	00:40:42,00 --> 00:41:09,50 	rolling from side to side, someone avoids the bullets but slips off the roof and clings to the cab's passenger side door.
