21_JUMP_STREET.srt 	21_JUMP_STREET_DVS73 	00:08:08,00 --> 00:08:13,50 	the biker knocks him over and runs off.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS135 	00:22:14,00 --> 00:22:18,50 	someone runs back to him.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS182 	00:31:14,00 --> 00:31:18,50 	now the two cops run down a hall.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS225 	00:37:54,00 --> 00:38:01,50 	someone run into a school band practice and trips over free-standing cymbals.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS269 	00:46:52,00 --> 00:47:01,50 	later they run from a liquor store with carts full of beer and booze.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS330 	00:54:25,00 --> 00:54:31,50 	running down the street with someone, someone slows to a halt.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS345 	00:57:16,00 --> 00:57:22,50 	then run to a safe distance.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS427 	01:11:33,00 --> 01:11:38,50 	someone spots him running away.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS437 	01:12:54,00 --> 01:12:59,50 	they jump out and run on foot.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS448 	01:13:55,00 --> 01:14:00,50 	the truck runs over his legs.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS462 	01:15:54,00 --> 01:15:58,50 	someone runs off.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS464 	01:16:04,00 --> 01:16:08,50 	someone runs on stage.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS582 	01:31:13,00 --> 01:31:19,50 	he runs around it.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS157 	00:41:25,00 --> 00:41:32,50 	someone and someone watch from inside the van as someone runs past the entrance.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS161 	00:42:06,00 --> 00:42:13,50 	someone talks on his cell as he runs into the building with the flower store.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS210 	00:51:50,00 --> 00:51:54,50 	they run through an alley.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS313 	01:10:49,00 --> 01:10:55,50 	someone runs down a path strewn with garbage.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS337 	01:15:27,00 --> 01:15:31,50 	someone runs back with the bag.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS228 	01:50:44,00 --> 01:50:51,50 	someone runs her fingertips between the straps of her white camisole.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS395 	01:10:06,00 --> 01:10:10,50 	he is running down the stairs.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS516 	00:50:13,00 --> 00:50:20,50 	the agent fires back, then drops the blonde man's body and runs to his father.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS527 	00:51:09,00 --> 00:51:17,50 	the bald man runs up to him.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS541 	00:52:39,00 --> 00:52:47,50 	they scramble to their feet and run through the room.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS560 	00:53:59,00 --> 00:54:05,50 	they run across an empty street, as a police cruiser whizzes by.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS727 	01:13:18,00 --> 01:13:26,50 	he tucks radio into his breast pocket as she runs out of the vault.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS789 	01:19:24,00 --> 01:19:31,50 	outside, someone yanks the bald thugs weapon away and runs toward the building.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS803 	01:20:30,00 --> 01:20:35,50 	someone runs off as someone fires.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS821 	01:21:49,00 --> 01:22:09,50 	he runs through the flaming room in his dirty and bloodstained white t-shirt.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS866 	01:24:47,00 --> 01:24:57,50 	in slow motion, he runs across a series of docks spanning the roof as sparks fly from the rotor blades hitting the sign.
