21_JUMP_STREET.srt 	21_JUMP_STREET_DVS21 	00:02:57,00 --> 00:03:02,50 	sitting on a nearby bench, the nerd looks over.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS249 	00:41:13,00 --> 00:41:19,50 	at the far end of the chemistry classroom someone sits with two other nerds.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS250 	00:41:55,00 --> 00:42:03,50 	someone sits down on a stool in front of someone, who tinkers with several cell phones.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS260 	00:45:14,00 --> 00:45:18,50 	he sits on his head.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS372 	01:01:23,00 --> 01:01:27,50 	someone sits close to someone.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS379 	01:04:01,00 --> 01:04:07,50 	someone and the others come in and sit around them.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS382 	01:04:52,00 --> 01:04:59,50 	sitting tensely behind him someone opens his desk drawer, then slams it.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS495 	01:18:52,00 --> 01:18:58,50 	someone hangs up, sitting alone on a weightlifting bench.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS497 	01:18:56,00 --> 01:19:04,50 	inside, someone sits at a laptop.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS553 	01:25:30,00 --> 01:25:41,50 	the teenager opens the doors of a suit to reveal coach someone who sits with a few piatas, watching tv and eating cool ranch doritos.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS669 	01:40:45,00 --> 01:40:49,50 	someone sits by someone.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS670 	01:40:49,00 --> 01:40:57,50 	someone sits glumly in the back of an ambulance as a someone checks on her.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS21 	00:03:50,00 --> 00:03:59,50 	that night sitting on a stoop, the shaggy-haired young man opens a bottle of beer, tosses the cap and takes a sip.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS38 	00:07:51,00 --> 00:08:03,50 	various vehicles sit in the driveway, including an rv and a boat.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS61 	00:14:27,00 --> 00:14:31,50 	they both sit back down.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS117 	00:30:49,00 --> 00:30:54,50 	someone's sitting on a toilet fully clothed.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS119 	00:31:25,00 --> 00:31:30,50 	someone rolls his eyes then sits on someone's couch.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS262 	01:02:03,00 --> 01:02:07,50 	he sits across from someone.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS263 	01:02:10,00 --> 01:02:14,50 	someone sits up.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS306 	01:10:07,00 --> 01:10:14,50 	someone sits in the passenger seat while someone grabs the loot and gets behind the wheel.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS338 	01:15:30,00 --> 01:15:35,50 	someone sits up and sees them getting into the mustang.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS95 	00:48:58,00 --> 00:49:04,50 	a woman sits down at his table.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS105 	00:54:50,00 --> 00:54:58,50 	entering the suite, he looks around and steps into an empty sitting area.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS137 	01:09:22,00 --> 01:09:31,50 	someone sits up with mussed hair.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS164 	01:22:44,00 --> 01:22:51,50 	now the state puffed marshmallow man sit neatly in its box.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS185 	01:31:01,00 --> 01:31:06,50 	someone sits on his lap.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS195 	01:36:08,00 --> 01:36:18,50 	sitting beside him with a beer in his hands, someone furrows his brow.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS219 	01:47:29,00 --> 01:47:34,50 	he sits up then gets to his feet.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS86 	00:12:57,00 --> 00:13:02,50 	he studies her as she sits at her desk
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS87 	00:12:59,00 --> 00:13:04,50 	he sits down at his work station.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS108 	00:18:40,00 --> 00:18:49,50 	someone's sitting in a booth with mackenzie.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS147 	00:28:01,00 --> 00:28:09,50 	someone jumps up from the sofa they've been sitting on and walks off.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS148 	00:28:20,00 --> 00:28:24,50 	he clowns, sitting at a table
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS202 	00:33:27,00 --> 00:33:41,50 	he sits hollow-eyed, staring towards the desk where someone used to sit.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS202 	00:33:27,00 --> 00:33:41,50 	he sits hollow-eyed, staring towards the desk where someone used to sit.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS211 	00:36:07,00 --> 00:36:14,50 	they sit on the park bench overlooking some of the downtown buildings.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS228 	00:42:29,00 --> 00:42:34,50 	someone remains sitting thoughtfully on the bleachers.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS249 	00:46:57,00 --> 00:47:01,50 	she sits on the bed and he shrugs, challenging her.
