21_JUMP_STREET.srt 	21_JUMP_STREET_DVS181 	00:31:02,00 --> 00:31:06,50 	she smiles coquettishly.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS375 	01:03:44,00 --> 01:03:48,50 	someone smiles warmly.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS224 	01:50:13,00 --> 01:50:20,50 	as someone's face hovers over her, he smiles.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS38 	00:03:02,00 --> 00:03:07,50 	the children smile at the cameras.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS114 	00:24:02,00 --> 00:24:06,50 	she smiles back.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS232 	00:43:21,00 --> 00:43:25,50 	they smile happily and she studies him as they drive.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS280 	00:53:02,00 --> 00:53:07,50 	they smile and eat popcorn in the theater
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS292 	00:53:43,00 --> 00:53:47,50 	the mime smiles happily
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS320 	00:57:32,00 --> 00:57:36,50 	she smiles at him.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS361 	01:05:22,00 --> 01:05:29,50 	they join the throng of guests for a slow dance, smiling happily at one another.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS527 	01:26:50,00 --> 01:26:54,50 	she smiles sweetly at him,
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS623 	01:04:23,00 --> 01:04:27,50 	he smiles at someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS693 	01:11:10,00 --> 01:11:19,50 	he empties the clip in someone's dead body, then connects a hard glare with his daughter's smiling sadistic gaze.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS267 	00:49:40,00 --> 00:49:45,50 	someone squints, then smiles.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS298 	00:55:06,00 --> 00:55:15,50 	someone leans close to the blond woman, picks up a french fry from her plate, places it halfway into his mouth, then smiles at her.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS329 	00:58:48,00 --> 00:58:54,50 	smiling someone dashes off.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS340 	00:59:54,00 --> 00:59:58,50 	smiling she cradles her cat.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS460 	01:19:19,00 --> 01:19:24,50 	smiling someone turns and leaves.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS480 	01:22:12,00 --> 01:22:20,50 	standing in someone's backyard, someone smiles up at the bodhi tree, which is now covered with green leaves.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS56 	00:05:33,00 --> 00:05:37,50 	she smiles at him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS221 	00:31:28,00 --> 00:31:32,50 	she smiles playfully.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS348 	00:49:37,00 --> 00:49:44,50 	later, the smiling bride and groom clink their glasses and sip champagne.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS456 	01:05:21,00 --> 01:05:27,50 	later, she smiles and nods demurely as she passes someone.
BAD_TEACHER.srt 	BAD_TEACHER_DVS163 	00:44:18,00 --> 00:44:23,50 	someone smiles bashfully.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS56 	00:07:21,00 --> 00:07:26,50 	someone glances over at his sullen face, then smiles.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS175 	00:29:54,00 --> 00:29:59,50 	the pretty girl chants amiably, smiling at someone.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS254 	00:42:29,00 --> 00:42:34,50 	someone watches, then eyes the other smiling girls.
BLINDDATING.srt 	BLINDDATING_DVS21 	00:07:05,00 --> 00:07:10,50 	someone smiles boyishly.
BLINDDATING.srt 	BLINDDATING_DVS138 	00:38:00,00 --> 00:38:07,50 	someone smiles mischievously as they continue to dance.
BLINDDATING.srt 	BLINDDATING_DVS166 	00:42:41,00 --> 00:42:50,50 	someone smiles across the table at someone who smiles hard.
BLINDDATING.srt 	BLINDDATING_DVS166 	00:42:41,00 --> 00:42:50,50 	someone smiles across the table at someone who smiles hard.
BLINDDATING.srt 	BLINDDATING_DVS224 	00:55:20,00 --> 00:55:25,50 	the blonde smiles up at someone.
BLINDDATING.srt 	BLINDDATING_DVS306 	01:15:14,00 --> 01:15:27,50 	both men smile.
BLINDDATING.srt 	BLINDDATING_DVS320 	01:17:12,00 --> 01:17:24,50 	she smiles at someone's reflection.
BRUNO.srt 	BRUNO_DVS236 	01:04:50,00 --> 01:04:58,50 	reverse cowgirl on his lap smiling dreamily.
BRUNO.srt 	BRUNO_DVS246 	01:06:21,00 --> 01:06:27,50 	someone smiles uncomfortably.
BURLESQUE.srt 	BURLESQUE_DVS91 	00:10:09,00 --> 00:10:14,50 	the posed dancers frame the smiling diva.
BURLESQUE.srt 	BURLESQUE_DVS370 	00:51:14,00 --> 00:51:18,50 	she smiles.
BURLESQUE.srt 	BURLESQUE_DVS579 	01:26:16,00 --> 01:26:23,50 	someone smiles genteelly.
BURLESQUE.srt 	BURLESQUE_DVS742 	01:52:29,00 --> 01:52:44,50 	another girl tickles the doorman's lips and he smiles.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS266 	00:48:25,00 --> 00:48:30,50 	smiling chorus girls march in place behind someone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS649 	01:49:01,00 --> 01:49:07,50 	the men drink as people smile and hug one another around them.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS511 	00:49:50,00 --> 00:49:57,50 	someone smiles enviously as the veteran starts a 30-foot drop.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS856 	01:24:32,00 --> 01:24:37,50 	someone regards his smiling mother appreciatively.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS889 	01:26:46,00 --> 01:26:53,50 	as someone smiles proudly, someone allows one wave after another to crash down on him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS947 	01:33:14,00 --> 01:33:19,50 	smiling at him, blond moves on.
CHRONICLE.srt 	CHRONICLE_DVS51 	00:06:15,00 --> 00:06:20,50 	switches it on, and smiles to himself.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS28 	00:07:02,00 --> 00:07:07,50 	towering over him, she smiles as they
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS333 	01:23:47,00 --> 01:24:20,50 	he smiles.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS481 	01:50:17,00 --> 01:50:27,50 	she nods, smiling broadly.
COLOMBIANA.srt 	COLOMBIANA_DVS355 	00:32:19,00 --> 00:32:23,50 	the someone smiles.
COLOMBIANA.srt 	COLOMBIANA_DVS553 	00:50:37,00 --> 00:50:43,50 	she smiles, springs up, and greets him with a hungry kiss.
COLOMBIANA.srt 	COLOMBIANA_DVS800 	01:17:19,00 --> 01:17:23,50 	he smiles fondly.
DEAR_JOHN.srt 	DEAR_JOHN_DVS97 	00:14:23,00 --> 00:14:27,50 	she smiles back.
DEAR_JOHN.srt 	DEAR_JOHN_DVS99 	00:14:59,00 --> 00:15:03,50 	she smiles quizzically.
DEAR_JOHN.srt 	DEAR_JOHN_DVS134 	00:21:56,00 --> 00:22:04,50 	he leans his face closer to her, and she smiles.
DEAR_JOHN.srt 	DEAR_JOHN_DVS165 	00:25:55,00 --> 00:26:00,50 	she smiles contentedly in his arms.
DEAR_JOHN.srt 	DEAR_JOHN_DVS495 	01:12:18,00 --> 01:12:23,50 	she smiles down at the groggy soldier.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS389 	01:35:07,00 --> 01:35:12,50 	someone smiles back at him.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS400 	01:38:50,00 --> 01:38:55,50 	someone's jaw drops and he smiles.
DISTRICT_9.srt 	DISTRICT_9_DVS382 	00:41:45,00 --> 00:41:50,50 	the executive smiles at the monitors.
DISTRICT_9.srt 	DISTRICT_9_DVS450 	00:50:53,00 --> 00:50:59,50 	meat seller smiles at his associates.
EASY_A.srt 	EASY_A_DVS97 	00:33:23,00 --> 00:33:29,50 	as she smiles and nods, he leans his forehead against hers.
